"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","numPic","interval","test","day.and.time","correct","include","first.trial","numPicN","intervalN"
"14","A00236363DL2ZN8A4FD78","Apr 02 2013","16:25:45",16,5,"Same",0,"Novel60",2,"Novel60",5,973,"8","0",1,(Apr 02 2013 16:25:45),TRUE,TRUE,FALSE,8,0
"15","A00236363DL2ZN8A4FD78","Apr 02 2013","16:25:45",18,6,"Switch",1,"Novel73",2,"Novel48",7,2898,"8","0",1,(Apr 02 2013 16:25:45),FALSE,TRUE,FALSE,8,0
"16","A00236363DL2ZN8A4FD78","Apr 02 2013","16:25:45",20,7,"Same",0,"Novel84",3,"Novel84",4,1120,"8","0",1,(Apr 02 2013 16:25:45),TRUE,TRUE,FALSE,8,0
"17","A09265903LS1OKAES4KAC","Apr 03 2013","04:30:47",13,0,"Switch",0,"Novel75",1,"Novel75",7,3465,"8","7",1,(Apr 03 2013 04:30:47),TRUE,TRUE,TRUE,8,7
"18","A09265903LS1OKAES4KAC","Apr 03 2013","04:30:47",14,1,"Same",1,"Novel103",0,"Novel103",0,1865,"8","7",1,(Apr 03 2013 04:30:47),TRUE,TRUE,FALSE,8,7
"19","A09265903LS1OKAES4KAC","Apr 03 2013","04:30:47",15,2,"Switch",1,"Novel140",4,"Novel58",7,3474,"8","7",1,(Apr 03 2013 04:30:47),FALSE,TRUE,FALSE,8,7
"20","A09265903LS1OKAES4KAC","Apr 03 2013","04:30:47",16,3,"Same",0,"Novel138",0,"Novel138",1,1456,"8","7",1,(Apr 03 2013 04:30:47),TRUE,TRUE,FALSE,8,7
"21","A09265903LS1OKAES4KAC","Apr 03 2013","04:30:47",17,4,"Switch",1,"Novel65",3,"Novel35",2,4801,"8","7",1,(Apr 03 2013 04:30:47),FALSE,TRUE,FALSE,8,7
"22","A09265903LS1OKAES4KAC","Apr 03 2013","04:30:47",18,5,"Same",0,"Novel89",2,"Novel9",3,1737,"8","7",1,(Apr 03 2013 04:30:47),FALSE,TRUE,FALSE,8,7
"23","A09265903LS1OKAES4KAC","Apr 03 2013","04:30:47",19,6,"Switch",0,"Novel131",1,"Novel131",2,4294,"8","7",1,(Apr 03 2013 04:30:47),TRUE,TRUE,FALSE,8,7
"24","A09265903LS1OKAES4KAC","Apr 03 2013","04:30:47",20,7,"Same",1,"Novel15",0,"Novel109",4,2024,"8","7",1,(Apr 03 2013 04:30:47),FALSE,TRUE,FALSE,8,7
"25","A0987913304TQJJ683IBA","Aug 11 2013","13:11:47",6,0,"Switch",0,"Novel6",0,"Novel6",1,3225,"2","0",1,(Aug 11 2013 13:11:47),TRUE,TRUE,TRUE,2,0
"26","A0987913304TQJJ683IBA","Aug 11 2013","13:11:47",8,1,"Same",0,"Novel111",0,"Novel111",1,1496,"2","0",1,(Aug 11 2013 13:11:47),TRUE,TRUE,FALSE,2,0
"27","A0987913304TQJJ683IBA","Aug 11 2013","13:11:47",10,2,"Switch",1,"Novel5",0,"Novel103",1,827,"2","0",1,(Aug 11 2013 13:11:47),FALSE,TRUE,FALSE,2,0
"28","A0987913304TQJJ683IBA","Aug 11 2013","13:11:47",12,3,"Same",1,"Novel46",0,"Novel46",0,1105,"2","0",1,(Aug 11 2013 13:11:47),TRUE,TRUE,FALSE,2,0
"29","A0987913304TQJJ683IBA","Aug 11 2013","13:11:47",14,4,"Switch",1,"Novel94",1,"Novel2",0,1267,"2","0",1,(Aug 11 2013 13:11:47),FALSE,TRUE,FALSE,2,0
"30","A0987913304TQJJ683IBA","Aug 11 2013","13:11:47",16,5,"Same",0,"Novel134",0,"Novel134",1,905,"2","0",1,(Aug 11 2013 13:11:47),TRUE,TRUE,FALSE,2,0
"31","A0987913304TQJJ683IBA","Aug 11 2013","13:11:47",18,6,"Switch",0,"Novel137",1,"Novel137",0,3468,"2","0",1,(Aug 11 2013 13:11:47),TRUE,TRUE,FALSE,2,0
"32","A0987913304TQJJ683IBA","Aug 11 2013","13:11:47",20,7,"Same",1,"Novel36",1,"Novel36",1,1673,"2","0",1,(Aug 11 2013 13:11:47),TRUE,TRUE,FALSE,2,0
"33","A1015EI76K26I3","Aug 11 2013","12:40:04",13,0,"Switch",1,"Novel64",3,"Novel4",4,23659,"8","7",1,(Aug 11 2013 12:40:04),FALSE,TRUE,TRUE,8,7
"34","A1015EI76K26I3","Aug 11 2013","12:40:04",14,1,"Same",0,"Novel121",4,"Novel121",6,5525,"8","7",1,(Aug 11 2013 12:40:04),TRUE,TRUE,FALSE,8,7
"35","A1015EI76K26I3","Aug 11 2013","12:40:04",15,2,"Switch",0,"Novel19",7,"Novel16",2,2442,"8","7",1,(Aug 11 2013 12:40:04),FALSE,TRUE,FALSE,8,7
"36","A1015EI76K26I3","Aug 11 2013","12:40:04",16,3,"Same",1,"Novel63",5,"Novel65",7,1857,"8","7",1,(Aug 11 2013 12:40:04),FALSE,TRUE,FALSE,8,7
"37","A1015EI76K26I3","Aug 11 2013","12:40:04",17,4,"Switch",0,"Novel29",7,"Novel123",7,2011,"8","7",1,(Aug 11 2013 12:40:04),FALSE,TRUE,FALSE,8,7
"38","A1015EI76K26I3","Aug 11 2013","12:40:04",18,5,"Same",0,"Novel122",1,"Novel98",0,1453,"8","7",1,(Aug 11 2013 12:40:04),FALSE,TRUE,FALSE,8,7
"39","A1015EI76K26I3","Aug 11 2013","12:40:04",19,6,"Switch",1,"Novel77",4,"Novel44",6,1520,"8","7",1,(Aug 11 2013 12:40:04),FALSE,TRUE,FALSE,8,7
"40","A1015EI76K26I3","Aug 11 2013","12:40:04",20,7,"Same",1,"Novel37",4,"Novel105",0,1290,"8","7",1,(Aug 11 2013 12:40:04),FALSE,TRUE,FALSE,8,7
"41","A101KWAN3V926J","Aug 11 2013","23:57:47",6,0,"Switch",1,"Novel52",0,"Novel52",0,2526,"2","0",1,(Aug 11 2013 23:57:47),TRUE,TRUE,TRUE,2,0
"42","A101KWAN3V926J","Aug 11 2013","23:57:47",8,1,"Same",0,"Novel135",1,"Novel135",0,2523,"2","0",1,(Aug 11 2013 23:57:47),TRUE,TRUE,FALSE,2,0
"43","A101KWAN3V926J","Aug 11 2013","23:57:47",10,2,"Switch",1,"Novel45",0,"Novel45",0,1918,"2","0",1,(Aug 11 2013 23:57:47),TRUE,TRUE,FALSE,2,0
"44","A101KWAN3V926J","Aug 11 2013","23:57:47",12,3,"Same",1,"Novel73",0,"Novel73",0,1221,"2","0",1,(Aug 11 2013 23:57:47),TRUE,TRUE,FALSE,2,0
"45","A101KWAN3V926J","Aug 11 2013","23:57:47",14,4,"Switch",0,"Novel41",1,"Novel41",0,1271,"2","0",1,(Aug 11 2013 23:57:47),TRUE,TRUE,FALSE,2,0
"46","A101KWAN3V926J","Aug 11 2013","23:57:47",16,5,"Same",1,"Novel128",1,"Novel128",1,931,"2","0",1,(Aug 11 2013 23:57:47),TRUE,TRUE,FALSE,2,0
"47","A101KWAN3V926J","Aug 11 2013","23:57:47",18,6,"Switch",0,"Novel23",0,"Novel23",1,1200,"2","0",1,(Aug 11 2013 23:57:47),TRUE,TRUE,FALSE,2,0
"48","A101KWAN3V926J","Aug 11 2013","23:57:47",20,7,"Same",0,"Novel55",0,"Novel55",1,903,"2","0",1,(Aug 11 2013 23:57:47),TRUE,TRUE,FALSE,2,0
"49","A102RC1Y60DUS4","Aug 11 2013","18:22:51",7,0,"Same",1,"Novel44",1,"Novel49",0,5408,"2","1",1,(Aug 11 2013 18:22:51),FALSE,TRUE,TRUE,2,1
"50","A102RC1Y60DUS4","Aug 11 2013","18:22:51",8,1,"Switch",1,"Novel83",0,"Novel31",1,2306,"2","1",1,(Aug 11 2013 18:22:51),FALSE,TRUE,FALSE,2,1
"51","A102RC1Y60DUS4","Aug 11 2013","18:22:51",11,2,"Same",1,"Novel20",1,"Novel20",1,2365,"2","1",1,(Aug 11 2013 18:22:51),TRUE,TRUE,FALSE,2,1
"52","A102RC1Y60DUS4","Aug 11 2013","18:22:51",12,3,"Switch",0,"Novel130",1,"Novel130",0,4549,"2","1",1,(Aug 11 2013 18:22:51),TRUE,TRUE,FALSE,2,1
"53","A102RC1Y60DUS4","Aug 11 2013","18:22:51",15,4,"Same",0,"Novel5",0,"Novel5",1,1682,"2","1",1,(Aug 11 2013 18:22:51),TRUE,TRUE,FALSE,2,1
"54","A102RC1Y60DUS4","Aug 11 2013","18:22:51",16,5,"Switch",0,"Novel129",1,"Novel129",0,1732,"2","1",1,(Aug 11 2013 18:22:51),TRUE,TRUE,FALSE,2,1
"55","A102RC1Y60DUS4","Aug 11 2013","18:22:51",19,6,"Same",0,"Novel64",1,"Novel82",1,1809,"2","1",1,(Aug 11 2013 18:22:51),FALSE,TRUE,FALSE,2,1
"56","A102RC1Y60DUS4","Aug 11 2013","18:22:51",20,7,"Switch",1,"Novel7",1,"Novel7",1,2124,"2","1",1,(Aug 11 2013 18:22:51),TRUE,TRUE,FALSE,2,1
"57","A102Z6M3FALPXT","Aug 11 2013","23:01:20",9,0,"Same",0,"Novel82",2,"Novel82",1,1804,"4","3",1,(Aug 11 2013 23:01:20),TRUE,TRUE,TRUE,4,3
"58","A102Z6M3FALPXT","Aug 11 2013","23:01:20",10,1,"Switch",0,"Novel56",1,"Novel77",3,1864,"4","3",1,(Aug 11 2013 23:01:20),FALSE,TRUE,FALSE,4,3
"59","A102Z6M3FALPXT","Aug 11 2013","23:01:20",11,2,"Same",0,"Novel53",0,"Novel53",2,2412,"4","3",1,(Aug 11 2013 23:01:20),TRUE,TRUE,FALSE,4,3
"60","A102Z6M3FALPXT","Aug 11 2013","23:01:20",12,3,"Switch",1,"Novel133",2,"Novel99",1,1488,"4","3",1,(Aug 11 2013 23:01:20),FALSE,TRUE,FALSE,4,3
"61","A102Z6M3FALPXT","Aug 11 2013","23:01:20",17,4,"Same",1,"Novel83",2,"Novel68",1,1034,"4","3",1,(Aug 11 2013 23:01:20),FALSE,TRUE,FALSE,4,3
"62","A102Z6M3FALPXT","Aug 11 2013","23:01:20",18,5,"Switch",1,"Novel104",1,"Novel123",3,1052,"4","3",1,(Aug 11 2013 23:01:20),FALSE,TRUE,FALSE,4,3
"63","A102Z6M3FALPXT","Aug 11 2013","23:01:20",19,6,"Same",1,"Novel61",1,"Novel61",1,1422,"4","3",1,(Aug 11 2013 23:01:20),TRUE,TRUE,FALSE,4,3
"64","A102Z6M3FALPXT","Aug 11 2013","23:01:20",20,7,"Switch",0,"Novel7",2,"Novel59",2,1770,"4","3",1,(Aug 11 2013 23:01:20),FALSE,TRUE,FALSE,4,3
"65","A104336318AW2NFOC4SE3","Aug 11 2013","16:04:40",7,0,"Same",0,"Novel121",0,"Novel121",1,1885,"2","1",1,(Aug 11 2013 16:04:40),TRUE,TRUE,TRUE,2,1
"66","A104336318AW2NFOC4SE3","Aug 11 2013","16:04:40",8,1,"Switch",1,"Novel130",1,"Novel130",1,3804,"2","1",1,(Aug 11 2013 16:04:40),TRUE,TRUE,FALSE,2,1
"67","A104336318AW2NFOC4SE3","Aug 11 2013","16:04:40",11,2,"Same",0,"Novel17",0,"Novel17",1,1552,"2","1",1,(Aug 11 2013 16:04:40),TRUE,TRUE,FALSE,2,1
"68","A104336318AW2NFOC4SE3","Aug 11 2013","16:04:40",12,3,"Switch",1,"Novel76",0,"Novel76",0,1159,"2","1",1,(Aug 11 2013 16:04:40),TRUE,TRUE,FALSE,2,1
"69","A104336318AW2NFOC4SE3","Aug 11 2013","16:04:40",15,4,"Same",1,"Novel40",0,"Novel40",0,3401,"2","1",1,(Aug 11 2013 16:04:40),TRUE,TRUE,FALSE,2,1
"70","A104336318AW2NFOC4SE3","Aug 11 2013","16:04:40",16,5,"Switch",0,"Novel25",0,"Novel25",1,1084,"2","1",1,(Aug 11 2013 16:04:40),TRUE,TRUE,FALSE,2,1
"71","A104336318AW2NFOC4SE3","Aug 11 2013","16:04:40",19,6,"Same",1,"Novel67",1,"Novel67",1,3453,"2","1",1,(Aug 11 2013 16:04:40),TRUE,TRUE,FALSE,2,1
"72","A104336318AW2NFOC4SE3","Aug 11 2013","16:04:40",20,7,"Switch",0,"Novel69",0,"Novel69",1,1174,"2","1",1,(Aug 11 2013 16:04:40),TRUE,TRUE,FALSE,2,1
"73","A104N820YHGZDI","Aug 11 2013","18:04:41",7,0,"Same",0,"Novel73",3,"Novel73",0,2559,"4","1",1,(Aug 11 2013 18:04:41),TRUE,TRUE,TRUE,4,1
"74","A104N820YHGZDI","Aug 11 2013","18:04:41",8,1,"Switch",1,"Novel121",0,"Novel101",2,2713,"4","1",1,(Aug 11 2013 18:04:41),FALSE,TRUE,FALSE,4,1
"75","A104N820YHGZDI","Aug 11 2013","18:04:41",11,2,"Same",0,"Novel131",2,"Novel131",3,2913,"4","1",1,(Aug 11 2013 18:04:41),TRUE,TRUE,FALSE,4,1
"76","A104N820YHGZDI","Aug 11 2013","18:04:41",12,3,"Switch",0,"Novel67",0,"Novel139",3,2787,"4","1",1,(Aug 11 2013 18:04:41),FALSE,TRUE,FALSE,4,1
"77","A104N820YHGZDI","Aug 11 2013","18:04:41",15,4,"Same",1,"Novel106",3,"Novel106",3,2376,"4","1",1,(Aug 11 2013 18:04:41),TRUE,TRUE,FALSE,4,1
"78","A104N820YHGZDI","Aug 11 2013","18:04:41",16,5,"Switch",1,"Novel20",0,"Novel64",1,2164,"4","1",1,(Aug 11 2013 18:04:41),FALSE,TRUE,FALSE,4,1
"79","A104N820YHGZDI","Aug 11 2013","18:04:41",19,6,"Same",1,"Novel37",2,"Novel138",3,3003,"4","1",1,(Aug 11 2013 18:04:41),FALSE,TRUE,FALSE,4,1
"80","A104N820YHGZDI","Aug 11 2013","18:04:41",20,7,"Switch",0,"Novel43",1,"Novel21",3,2942,"4","1",1,(Aug 11 2013 18:04:41),FALSE,TRUE,FALSE,4,1
"81","A105ETHFWRUGM7","Aug 11 2013","21:38:04",7,0,"Same",0,"Novel53",2,"Novel53",0,1257,"3","1",1,(Aug 11 2013 21:38:04),TRUE,TRUE,TRUE,3,1
"82","A105ETHFWRUGM7","Aug 11 2013","21:38:04",8,1,"Switch",0,"Novel35",1,"Novel64",1,4723,"3","1",1,(Aug 11 2013 21:38:04),FALSE,TRUE,FALSE,3,1
"83","A105ETHFWRUGM7","Aug 11 2013","21:38:04",11,2,"Same",1,"Novel13",0,"Novel13",0,818,"3","1",1,(Aug 11 2013 21:38:04),TRUE,TRUE,FALSE,3,1
"84","A105ETHFWRUGM7","Aug 11 2013","21:38:04",12,3,"Switch",1,"Novel116",0,"Novel116",0,2482,"3","1",1,(Aug 11 2013 21:38:04),TRUE,TRUE,FALSE,3,1
"85","A105ETHFWRUGM7","Aug 11 2013","21:38:04",15,4,"Same",1,"Novel32",1,"Novel32",1,1193,"3","1",1,(Aug 11 2013 21:38:04),TRUE,TRUE,FALSE,3,1
"86","A105ETHFWRUGM7","Aug 11 2013","21:38:04",16,5,"Switch",1,"Novel87",0,"Novel107",2,3951,"3","1",1,(Aug 11 2013 21:38:04),FALSE,TRUE,FALSE,3,1
"87","A105ETHFWRUGM7","Aug 11 2013","21:38:04",19,6,"Same",0,"Novel76",2,"Novel1",2,1664,"3","1",1,(Aug 11 2013 21:38:04),FALSE,TRUE,FALSE,3,1
"88","A105ETHFWRUGM7","Aug 11 2013","21:38:04",20,7,"Switch",0,"Novel111",2,"Novel111",0,1395,"3","1",1,(Aug 11 2013 21:38:04),TRUE,TRUE,FALSE,3,1
"89","A10B7OQ3GMIFD3","Apr 07 2013","12:42:52",9,0,"Switch",0,"Novel7",0,"Novel28",1,3518,"3","3",1,(Apr 07 2013 12:42:52),FALSE,TRUE,TRUE,3,3
"90","A10B7OQ3GMIFD3","Apr 07 2013","12:42:52",10,1,"Same",0,"Novel3",2,"Novel3",1,1964,"3","3",1,(Apr 07 2013 12:42:52),TRUE,TRUE,FALSE,3,3
"91","A10B7OQ3GMIFD3","Apr 07 2013","12:42:52",11,2,"Switch",1,"Novel118",2,"Novel23",1,3996,"3","3",1,(Apr 07 2013 12:42:52),FALSE,TRUE,FALSE,3,3
"92","A10B7OQ3GMIFD3","Apr 07 2013","12:42:52",12,3,"Same",1,"Novel60",1,"Novel60",1,1268,"3","3",1,(Apr 07 2013 12:42:52),TRUE,TRUE,FALSE,3,3
"93","A10B7OQ3GMIFD3","Apr 07 2013","12:42:52",17,4,"Switch",0,"Novel86",2,"Novel38",2,4131,"3","3",1,(Apr 07 2013 12:42:52),FALSE,TRUE,FALSE,3,3
"94","A10B7OQ3GMIFD3","Apr 07 2013","12:42:52",18,5,"Same",1,"Novel32",1,"Novel32",1,3016,"3","3",1,(Apr 07 2013 12:42:52),TRUE,TRUE,FALSE,3,3
"95","A10B7OQ3GMIFD3","Apr 07 2013","12:42:52",19,6,"Switch",1,"Novel30",1,"Novel30",1,3349,"3","3",1,(Apr 07 2013 12:42:52),TRUE,TRUE,FALSE,3,3
"96","A10B7OQ3GMIFD3","Apr 07 2013","12:42:52",20,7,"Same",0,"Novel10",1,"Novel10",0,1758,"3","3",1,(Apr 07 2013 12:42:52),TRUE,TRUE,FALSE,3,3
"97","A10CKZJTAF6OCS","Aug 11 2013","20:48:49",7,0,"Same",0,"Novel27",0,"Novel27",1,1797,"2","1",1,(Aug 11 2013 20:48:49),TRUE,TRUE,TRUE,2,1
"98","A10CKZJTAF6OCS","Aug 11 2013","20:48:49",8,1,"Switch",0,"Novel72",0,"Novel72",1,2363,"2","1",1,(Aug 11 2013 20:48:49),TRUE,TRUE,FALSE,2,1
"99","A10CKZJTAF6OCS","Aug 11 2013","20:48:49",11,2,"Same",1,"Novel96",0,"Novel96",0,1525,"2","1",1,(Aug 11 2013 20:48:49),TRUE,TRUE,FALSE,2,1
"100","A10CKZJTAF6OCS","Aug 11 2013","20:48:49",12,3,"Switch",1,"Novel28",1,"Novel15",0,5203,"2","1",1,(Aug 11 2013 20:48:49),FALSE,TRUE,FALSE,2,1
"101","A10CKZJTAF6OCS","Aug 11 2013","20:48:49",15,4,"Same",1,"Novel136",0,"Novel136",0,906,"2","1",1,(Aug 11 2013 20:48:49),TRUE,TRUE,FALSE,2,1
"102","A10CKZJTAF6OCS","Aug 11 2013","20:48:49",16,5,"Switch",0,"Novel88",0,"Novel88",1,1026,"2","1",1,(Aug 11 2013 20:48:49),TRUE,TRUE,FALSE,2,1
"103","A10CKZJTAF6OCS","Aug 11 2013","20:48:49",19,6,"Same",0,"Novel39",1,"Novel39",0,3426,"2","1",1,(Aug 11 2013 20:48:49),TRUE,TRUE,FALSE,2,1
"104","A10CKZJTAF6OCS","Aug 11 2013","20:48:49",20,7,"Switch",1,"Novel84",0,"Novel84",0,1030,"2","1",1,(Aug 11 2013 20:48:49),TRUE,TRUE,FALSE,2,1
"105","A10MEXRNAC2LV2","Apr 06 2013","16:29:49",13,0,"Same",1,"Novel119",1,"Novel119",1,1544,"3","7",1,(Apr 06 2013 16:29:49),TRUE,TRUE,TRUE,3,7
"106","A10MEXRNAC2LV2","Apr 06 2013","16:29:49",14,1,"Switch",1,"Novel87",1,"Novel87",1,4037,"3","7",1,(Apr 06 2013 16:29:49),TRUE,TRUE,FALSE,3,7
"107","A10MEXRNAC2LV2","Apr 06 2013","16:29:49",15,2,"Same",1,"Novel78",0,"Novel78",0,2188,"3","7",1,(Apr 06 2013 16:29:49),TRUE,TRUE,FALSE,3,7
"108","A10MEXRNAC2LV2","Apr 06 2013","16:29:49",16,3,"Switch",0,"Novel100",2,"Novel100",0,2531,"3","7",1,(Apr 06 2013 16:29:49),TRUE,TRUE,FALSE,3,7
"109","A10MEXRNAC2LV2","Apr 06 2013","16:29:49",17,4,"Same",0,"Novel24",0,"Novel24",1,2682,"3","7",1,(Apr 06 2013 16:29:49),TRUE,TRUE,FALSE,3,7
"110","A10MEXRNAC2LV2","Apr 06 2013","16:29:49",18,5,"Switch",0,"Novel50",2,"Novel50",0,6371,"3","7",1,(Apr 06 2013 16:29:49),TRUE,TRUE,FALSE,3,7
"111","A10MEXRNAC2LV2","Apr 06 2013","16:29:49",19,6,"Same",0,"Novel19",0,"Novel19",1,2341,"3","7",1,(Apr 06 2013 16:29:49),TRUE,TRUE,FALSE,3,7
"112","A10MEXRNAC2LV2","Apr 06 2013","16:29:49",20,7,"Switch",1,"Novel70",1,"Novel140",0,2211,"3","7",1,(Apr 06 2013 16:29:49),FALSE,TRUE,FALSE,3,7
"113","A10MW1BTKLF1FD","Aug 11 2013","22:47:23",6,0,"Same",1,"Novel68",1,"Novel68",1,773,"3","0",1,(Aug 11 2013 22:47:23),TRUE,TRUE,TRUE,3,0
"114","A10MW1BTKLF1FD","Aug 11 2013","22:47:23",8,1,"Switch",0,"Novel128",2,"Novel20",1,781,"3","0",1,(Aug 11 2013 22:47:23),FALSE,TRUE,FALSE,3,0
"115","A10MW1BTKLF1FD","Aug 11 2013","22:47:23",10,2,"Same",1,"Novel79",0,"Novel79",0,529,"3","0",1,(Aug 11 2013 22:47:23),TRUE,TRUE,FALSE,3,0
"116","A10MW1BTKLF1FD","Aug 11 2013","22:47:23",12,3,"Switch",1,"Novel72",0,"Novel72",0,697,"3","0",1,(Aug 11 2013 22:47:23),TRUE,TRUE,FALSE,3,0
"117","A10MW1BTKLF1FD","Aug 11 2013","22:47:23",14,4,"Same",0,"Novel22",2,"Novel22",0,404,"3","0",1,(Aug 11 2013 22:47:23),TRUE,TRUE,FALSE,3,0
"118","A10MW1BTKLF1FD","Aug 11 2013","22:47:23",16,5,"Switch",1,"Novel103",0,"Novel103",0,483,"3","0",1,(Aug 11 2013 22:47:23),TRUE,TRUE,FALSE,3,0
"119","A10MW1BTKLF1FD","Aug 11 2013","22:47:23",18,6,"Same",0,"Novel70",0,"Novel70",2,588,"3","0",1,(Aug 11 2013 22:47:23),TRUE,TRUE,FALSE,3,0
"120","A10MW1BTKLF1FD","Aug 11 2013","22:47:23",20,7,"Switch",0,"Novel129",0,"Novel129",2,533,"3","0",1,(Aug 11 2013 22:47:23),TRUE,TRUE,FALSE,3,0
"121","A10NAKQZQ4I9NH","Apr 03 2013","20:27:34",7,0,"Same",0,"Novel71",2,"Novel71",1,1442,"4","1",1,(Apr 03 2013 20:27:34),TRUE,TRUE,TRUE,4,1
"122","A10NAKQZQ4I9NH","Apr 03 2013","20:27:34",8,1,"Switch",1,"Novel47",1,"Novel47",1,3826,"4","1",1,(Apr 03 2013 20:27:34),TRUE,TRUE,FALSE,4,1
"123","A10NAKQZQ4I9NH","Apr 03 2013","20:27:34",11,2,"Same",0,"Novel122",1,"Novel122",2,1013,"4","1",1,(Apr 03 2013 20:27:34),TRUE,TRUE,FALSE,4,1
"124","A10NAKQZQ4I9NH","Apr 03 2013","20:27:34",12,3,"Switch",1,"Novel82",0,"Novel82",0,4012,"4","1",1,(Apr 03 2013 20:27:34),TRUE,TRUE,FALSE,4,1
"125","A10NAKQZQ4I9NH","Apr 03 2013","20:27:34",15,4,"Same",1,"Novel24",3,"Novel24",3,1360,"4","1",1,(Apr 03 2013 20:27:34),TRUE,TRUE,FALSE,4,1
"126","A10NAKQZQ4I9NH","Apr 03 2013","20:27:34",16,5,"Switch",0,"Novel131",3,"Novel68",3,3808,"4","1",1,(Apr 03 2013 20:27:34),FALSE,TRUE,FALSE,4,1
"127","A10NAKQZQ4I9NH","Apr 03 2013","20:27:34",19,6,"Same",1,"Novel48",1,"Novel48",1,2790,"4","1",1,(Apr 03 2013 20:27:34),TRUE,TRUE,FALSE,4,1
"128","A10NAKQZQ4I9NH","Apr 03 2013","20:27:34",20,7,"Switch",0,"Novel111",0,"Novel21",1,3655,"4","1",1,(Apr 03 2013 20:27:34),FALSE,TRUE,FALSE,4,1
"129","A10NEFAVKVWB8H","Aug 11 2013","22:05:02",6,0,"Same",0,"Novel42",6,"Novel42",0,4738,"8","0",1,(Aug 11 2013 22:05:02),TRUE,TRUE,TRUE,8,0
"130","A10NEFAVKVWB8H","Aug 11 2013","22:05:02",8,1,"Switch",1,"Novel63",0,"Novel125",5,7820,"8","0",1,(Aug 11 2013 22:05:02),FALSE,TRUE,FALSE,8,0
"131","A10NEFAVKVWB8H","Aug 11 2013","22:05:02",10,2,"Same",1,"Novel97",3,"Novel97",3,1514,"8","0",1,(Aug 11 2013 22:05:02),TRUE,TRUE,FALSE,8,0
"132","A10NEFAVKVWB8H","Aug 11 2013","22:05:02",12,3,"Switch",0,"Novel77",3,"Novel119",2,3569,"8","0",1,(Aug 11 2013 22:05:02),FALSE,TRUE,FALSE,8,0
"133","A10NEFAVKVWB8H","Aug 11 2013","22:05:02",14,4,"Same",1,"Novel45",7,"Novel45",7,1244,"8","0",1,(Aug 11 2013 22:05:02),TRUE,TRUE,FALSE,8,0
