"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","numPic","interval","test","exposure","day.and.time","faceIdx","choseSocial"
"86","A1HXAMI9F1CUEF","Jan 18 2014","15:13:31",6,1,"Switch",0,"Novel18",1,"Novel11",0,1490,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:13:31),"1",TRUE
"87","A1HXAMI9F1CUEF","Jan 18 2014","15:13:31",7,2,"Same",0,"Novel19",2,"Novel19",2,1425,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:13:31),"2",TRUE
"88","A1HXAMI9F1CUEF","Jan 18 2014","15:13:31",8,3,"Switch",0,"Novel121",3,"Novel50",0,1361,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:13:31),"3",TRUE
"93","A1HXAMI9F1CUEF","Jan 18 2014","15:13:31",13,4,"Same",0,"Novel28",3,"Novel28",3,1086,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:13:31),"3",TRUE
"94","A1HXAMI9F1CUEF","Jan 18 2014","15:13:31",14,5,"Switch",1,"Novel59",1,"Novel45",2,1166,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:13:31),"1",TRUE
"95","A1HXAMI9F1CUEF","Jan 18 2014","15:13:31",15,6,"Same",1,"Novel8",0,"Novel8",0,1611,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:13:31),"0",TRUE
"96","A1HXAMI9F1CUEF","Jan 18 2014","15:13:31",16,7,"Switch",1,"Novel14",1,"Novel91",3,874,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:13:31),"1",TRUE
"185","A1JUKBY3NQH74W","Jan 18 2014","15:20:51",5,0,"Switch",1,"Novel79",3,"Novel10",1,3199,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:20:51),"3",TRUE
"186","A1JUKBY3NQH74W","Jan 18 2014","15:20:51",6,1,"Same",0,"Novel8",1,"Novel8",1,2035,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:20:51),"1",TRUE
"187","A1JUKBY3NQH74W","Jan 18 2014","15:20:51",7,2,"Switch",0,"Novel117",2,"Novel100",3,1364,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:20:51),"2",TRUE
"188","A1JUKBY3NQH74W","Jan 18 2014","15:20:51",8,3,"Same",1,"Novel36",3,"Novel36",3,897,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:20:51),"3",TRUE
"193","A1JUKBY3NQH74W","Jan 18 2014","15:20:51",13,4,"Switch",1,"Novel92",0,"Novel121",2,782,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:20:51),"0",TRUE
"194","A1JUKBY3NQH74W","Jan 18 2014","15:20:51",14,5,"Same",1,"Novel31",2,"Novel31",2,828,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:20:51),"2",TRUE
"195","A1JUKBY3NQH74W","Jan 18 2014","15:20:51",15,6,"Switch",0,"Novel90",3,"Novel102",2,963,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:20:51),"3",TRUE
"196","A1JUKBY3NQH74W","Jan 18 2014","15:20:51",16,7,"Same",0,"Novel5",2,"Novel5",2,958,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:20:51),"2",TRUE
"225","A1LII69V58R8OF","Jan 18 2014","15:22:44",5,0,"Same",0,"Novel16",1,"Novel16",1,5286,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:22:44),"1",TRUE
"226","A1LII69V58R8OF","Jan 18 2014","15:22:44",6,1,"Switch",1,"Novel11",1,"Novel85",3,6946,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:22:44),"1",TRUE
"227","A1LII69V58R8OF","Jan 18 2014","15:22:44",7,2,"Same",0,"Novel48",1,"Novel48",1,3398,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:22:44),"1",TRUE
"228","A1LII69V58R8OF","Jan 18 2014","15:22:44",8,3,"Switch",0,"Novel94",2,"Novel124",0,1692,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:22:44),"2",TRUE
"233","A1LII69V58R8OF","Jan 18 2014","15:22:44",13,4,"Same",1,"Novel116",2,"Novel116",2,4058,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:22:44),"2",TRUE
"234","A1LII69V58R8OF","Jan 18 2014","15:22:44",14,5,"Switch",1,"Novel1",3,"Novel7",1,2289,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:22:44),"3",TRUE
"235","A1LII69V58R8OF","Jan 18 2014","15:22:44",15,6,"Same",1,"Novel133",1,"Novel133",1,1523,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:22:44),"1",TRUE
"236","A1LII69V58R8OF","Jan 18 2014","15:22:44",16,7,"Switch",0,"Novel100",3,"Novel73",1,3390,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:22:44),"3",TRUE
"465","A1MVX5US03MRC5","Jan 18 2014","15:33:08",5,0,"Switch",0,"Novel102",0,"Novel88",2,3269,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:33:08),"0",TRUE
"466","A1MVX5US03MRC5","Jan 18 2014","15:33:08",6,1,"Same",0,"Novel28",2,"Novel28",2,4247,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:33:08),"2",TRUE
"467","A1MVX5US03MRC5","Jan 18 2014","15:33:08",7,2,"Switch",1,"Novel118",2,"Novel38",3,2162,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:33:08),"2",TRUE
"468","A1MVX5US03MRC5","Jan 18 2014","15:33:08",8,3,"Same",1,"Novel21",1,"Novel21",1,2022,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:33:08),"1",TRUE
"473","A1MVX5US03MRC5","Jan 18 2014","15:33:08",13,4,"Switch",1,"Novel76",2,"Novel14",3,1002,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:33:08),"2",TRUE
"474","A1MVX5US03MRC5","Jan 18 2014","15:33:08",14,5,"Same",1,"Novel61",0,"Novel61",0,1315,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:33:08),"0",TRUE
"475","A1MVX5US03MRC5","Jan 18 2014","15:33:08",15,6,"Switch",0,"Novel90",2,"Novel11",0,697,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:33:08),"2",TRUE
"476","A1MVX5US03MRC5","Jan 18 2014","15:33:08",16,7,"Same",0,"Novel37",0,"Novel37",0,495,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:33:08),"0",TRUE
"305","A1WULB4219PC28","Jan 18 2014","15:27:41",5,0,"Switch",0,"Novel28",0,"Novel44",1,6185,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:27:41),"3",FALSE
"306","A1WULB4219PC28","Jan 18 2014","15:27:41",6,1,"Same",0,"Novel40",2,"Novel40",2,2654,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:27:41),"2",TRUE
"307","A1WULB4219PC28","Jan 18 2014","15:27:41",7,2,"Switch",1,"Novel15",1,"Novel14",2,2358,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:27:41),"0",FALSE
"308","A1WULB4219PC28","Jan 18 2014","15:27:41",8,3,"Same",0,"Novel75",1,"Novel75",1,3733,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:27:41),"0",FALSE
"313","A1WULB4219PC28","Jan 18 2014","15:27:41",13,4,"Switch",0,"Novel52",2,"Novel131",0,2491,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:27:41),"2",TRUE
"314","A1WULB4219PC28","Jan 18 2014","15:27:41",14,5,"Same",1,"Novel118",2,"Novel118",2,3104,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:27:41),"3",FALSE
"315","A1WULB4219PC28","Jan 18 2014","15:27:41",15,6,"Switch",1,"Novel58",3,"Novel102",1,2456,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:27:41),"3",TRUE
"316","A1WULB4219PC28","Jan 18 2014","15:27:41",16,7,"Same",1,"Novel51",2,"Novel51",2,1693,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:27:41),"2",TRUE
"405","A1ZRK6K5JUPJAV","Jan 18 2014","15:29:58",5,0,"Same",0,"Novel11",1,"Novel11",1,5223,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:29:58),"0",FALSE
"406","A1ZRK6K5JUPJAV","Jan 18 2014","15:29:58",6,1,"Switch",0,"Novel82",3,"Novel80",1,3614,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:29:58),"1",FALSE
"407","A1ZRK6K5JUPJAV","Jan 18 2014","15:29:58",7,2,"Same",1,"Novel20",0,"Novel20",0,2627,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:29:58),"0",TRUE
"408","A1ZRK6K5JUPJAV","Jan 18 2014","15:29:58",8,3,"Switch",0,"Novel119",2,"Novel71",1,2229,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:29:58),"2",TRUE
"413","A1ZRK6K5JUPJAV","Jan 18 2014","15:29:58",13,4,"Same",1,"Novel73",3,"Novel73",3,7190,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:29:58),"3",TRUE
"414","A1ZRK6K5JUPJAV","Jan 18 2014","15:29:58",14,5,"Switch",1,"Novel37",0,"Novel21",2,1331,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:29:58),"0",TRUE
"415","A1ZRK6K5JUPJAV","Jan 18 2014","15:29:58",15,6,"Same",0,"Novel56",1,"Novel56",1,2060,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:29:58),"0",FALSE
"416","A1ZRK6K5JUPJAV","Jan 18 2014","15:29:58",16,7,"Switch",1,"Novel139",2,"Novel102",3,1490,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:29:58),"2",TRUE
"565","A25DP39XRZDLQM","Jan 18 2014","15:39:13",5,0,"Switch",0,"Novel109",0,"Novel62",1,1791,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:39:13),"0",TRUE
"566","A25DP39XRZDLQM","Jan 18 2014","15:39:13",6,1,"Same",0,"Novel45",0,"Novel45",0,565,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:39:13),"0",TRUE
"567","A25DP39XRZDLQM","Jan 18 2014","15:39:13",7,2,"Switch",1,"Novel120",2,"Novel49",1,683,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:39:13),"2",TRUE
"568","A25DP39XRZDLQM","Jan 18 2014","15:39:13",8,3,"Same",1,"Novel3",1,"Novel3",1,679,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:39:13),"1",TRUE
"573","A25DP39XRZDLQM","Jan 18 2014","15:39:13",13,4,"Switch",1,"Novel85",2,"Novel35",1,1292,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:39:13),"2",TRUE
"574","A25DP39XRZDLQM","Jan 18 2014","15:39:13",14,5,"Same",1,"Novel82",1,"Novel82",1,596,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:39:13),"1",TRUE
"575","A25DP39XRZDLQM","Jan 18 2014","15:39:13",15,6,"Switch",0,"Novel107",2,"Novel48",0,622,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:39:13),"2",TRUE
"576","A25DP39XRZDLQM","Jan 18 2014","15:39:13",16,7,"Same",0,"Novel50",2,"Novel50",2,216,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:39:13),"2",TRUE
"345","A2739GEXW0HL34","Jan 18 2014","15:28:28",5,0,"Same",0,"Novel117",1,"Novel117",1,4370,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:28:28),"1",TRUE
"346","A2739GEXW0HL34","Jan 18 2014","15:28:28",6,1,"Switch",0,"Novel43",3,"Novel24",2,3090,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:28:28),"3",TRUE
"347","A2739GEXW0HL34","Jan 18 2014","15:28:28",7,2,"Same",1,"Novel91",3,"Novel91",3,1596,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:28:28),"3",TRUE
"348","A2739GEXW0HL34","Jan 18 2014","15:28:28",8,3,"Switch",0,"Novel95",2,"Novel125",0,908,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:28:28),"2",TRUE
"353","A2739GEXW0HL34","Jan 18 2014","15:28:28",13,4,"Same",0,"Novel110",2,"Novel110",2,1226,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:28:28),"2",TRUE
"354","A2739GEXW0HL34","Jan 18 2014","15:28:28",14,5,"Switch",1,"Novel98",1,"Novel13",2,1330,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:28:28),"1",TRUE
"355","A2739GEXW0HL34","Jan 18 2014","15:28:28",15,6,"Same",1,"Novel129",2,"Novel129",2,906,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:28:28),"2",TRUE
"356","A2739GEXW0HL34","Jan 18 2014","15:28:28",16,7,"Switch",1,"Novel11",2,"Novel134",0,913,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:28:28),"2",TRUE
"425","A2C73Y1COWCA51","Jan 18 2014","15:30:12",5,0,"Same",1,"Novel127",3,"Novel127",3,12254,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:30:12),"3",TRUE
"426","A2C73Y1COWCA51","Jan 18 2014","15:30:12",6,1,"Switch",1,"Novel104",1,"Novel112",0,4250,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:30:12),"1",TRUE
"427","A2C73Y1COWCA51","Jan 18 2014","15:30:12",7,2,"Same",0,"Novel45",2,"Novel45",2,3221,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:30:12),"2",TRUE
"428","A2C73Y1COWCA51","Jan 18 2014","15:30:12",8,3,"Switch",0,"Novel71",2,"Novel124",0,13540,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:30:12),"2",TRUE
"433","A2C73Y1COWCA51","Jan 18 2014","15:30:12",13,4,"Same",0,"Novel56",2,"Novel56",2,2139,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:30:12),"2",TRUE
"434","A2C73Y1COWCA51","Jan 18 2014","15:30:12",14,5,"Switch",0,"Novel4",1,"Novel28",2,11990,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:30:12),"1",TRUE
"435","A2C73Y1COWCA51","Jan 18 2014","15:30:12",15,6,"Same",1,"Novel92",1,"Novel92",1,1239,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:30:12),"1",TRUE
"436","A2C73Y1COWCA51","Jan 18 2014","15:30:12",16,7,"Switch",1,"Novel42",3,"Novel27",1,1491,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:30:12),"3",TRUE
"45","A2NA2OJT15COZY","Jan 18 2014","15:11:42",5,0,"Switch",0,"Novel102",0,"Novel65",3,4039,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:11:42),"0",TRUE
"46","A2NA2OJT15COZY","Jan 18 2014","15:11:42",6,1,"Same",0,"Novel115",3,"Novel115",3,3632,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:11:42),"2",FALSE
"47","A2NA2OJT15COZY","Jan 18 2014","15:11:42",7,2,"Switch",0,"Novel44",3,"Novel9",1,2999,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:11:42),"3",TRUE
"48","A2NA2OJT15COZY","Jan 18 2014","15:11:42",8,3,"Same",0,"Novel99",2,"Novel99",2,1815,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:11:42),"2",TRUE
"53","A2NA2OJT15COZY","Jan 18 2014","15:11:42",13,4,"Switch",1,"Novel118",1,"Novel84",3,1603,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:11:42),"1",TRUE
"54","A2NA2OJT15COZY","Jan 18 2014","15:11:42",14,5,"Same",1,"Novel12",1,"Novel12",1,2568,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:11:42),"1",TRUE
"55","A2NA2OJT15COZY","Jan 18 2014","15:11:42",15,6,"Switch",1,"Novel50",3,"Novel64",1,1712,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:11:42),"3",TRUE
"56","A2NA2OJT15COZY","Jan 18 2014","15:11:42",16,7,"Same",1,"Novel23",3,"Novel23",3,1921,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:11:42),"3",TRUE
"325","A2OXXHGAM7B0Y","Jan 18 2014","15:28:20",5,0,"Switch",1,"Novel25",2,"Novel42",0,2144,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:28:20),"2",TRUE
"326","A2OXXHGAM7B0Y","Jan 18 2014","15:28:20",6,1,"Same",1,"Novel13",2,"Novel13",2,1481,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:28:20),"2",TRUE
"327","A2OXXHGAM7B0Y","Jan 18 2014","15:28:20",7,2,"Switch",1,"Novel114",2,"Novel116",1,1772,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:28:20),"2",TRUE
"328","A2OXXHGAM7B0Y","Jan 18 2014","15:28:20",8,3,"Same",0,"Novel47",0,"Novel47",0,1712,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:28:20),"0",TRUE
"333","A2OXXHGAM7B0Y","Jan 18 2014","15:28:20",13,4,"Switch",0,"Novel99",2,"Novel139",0,1873,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:28:20),"2",TRUE
"334","A2OXXHGAM7B0Y","Jan 18 2014","15:28:20",14,5,"Same",0,"Novel53",3,"Novel53",3,1768,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:28:20),"3",TRUE
"335","A2OXXHGAM7B0Y","Jan 18 2014","15:28:20",15,6,"Switch",0,"Novel40",1,"Novel109",3,1150,"eyesdownleftarrow","4","3",NA,1,(Jan 18 2014 15:28:20),"1",TRUE
"336","A2OXXHGAM7B0Y","Jan 18 2014","15:28:20",16,7,"Same",1,"Novel92",0,"Novel92",0,1299,"eyesleftarrow","4","3",NA,1,(Jan 18 2014 15:28:20),"0",TRUE
"25","A2TQUCYSLJJV47","Jan 18 2014","15:11:29",5,0,"Switch",0,"Novel134",3,"Novel50",2,3229,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:11:29),"3",TRUE
"26","A2TQUCYSLJJV47","Jan 18 2014","15:11:29",6,1,"Same",0,"Novel136",2,"Novel136",2,2612,"eyesdownrightarrow","4","3",NA,1,(Jan 18 2014 15:11:29),"2",TRUE
"27","A2TQUCYSLJJV47","Jan 18 2014","15:11:29",7,2,"Switch",0,"Novel49",3,"Novel32",0,3247,"eyesrightarrow","4","3",NA,1,(Jan 18 2014 15:11:29),"3",TRUE
