"","X.1","X","subid","submit.time","trial.num","condition","interval","numPic","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","exposureTrial","testTrial","exampleTrial","intervalNum","include","first.trial","numPicN","correct","dataset"
"7692",7692,76921,"A0607295133OZ2DIJW5P8","02:37:40",12,"Social","Seven",4,7,"Switch",1,"Novel34",0,"Novel88",2,1107,"eyes_left",0,1,0,0,7,TRUE,FALSE,4,FALSE,"km"
"7693",7693,76931,"A0607295133OZ2DIJW5P8","02:37:40",13,"Social","Seven",4,0,"Same",0,"Novel5",3,"Novel5",2,5021,"eyescenter",-1,0,1,0,7,TRUE,TRUE,4,TRUE,"km"
"7694",7694,76941,"A0607295133OZ2DIJW5P8","02:37:40",14,"Social","Seven",4,1,"Switch",0,"Novel130",2,"Novel70",2,3456,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,FALSE,"km"
"7695",7695,76951,"A0607295133OZ2DIJW5P8","02:37:40",15,"Social","Seven",4,2,"Same",1,"Novel101",1,"Novel51",2,2721,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,FALSE,"km"
"7696",7696,76961,"A0607295133OZ2DIJW5P8","02:37:40",16,"Social","Seven",4,3,"Switch",1,"Novel122",2,"Novel133",1,2339,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,FALSE,"km"
"7697",7697,76971,"A0607295133OZ2DIJW5P8","02:37:40",17,"Social","Seven",4,4,"Same",1,"Novel16",1,"Novel49",2,2697,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,FALSE,"km"
"7698",7698,76981,"A0607295133OZ2DIJW5P8","02:37:40",18,"Social","Seven",4,5,"Switch",0,"Novel54",3,"Novel52",1,2409,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,FALSE,"km"
"7699",7699,76991,"A0607295133OZ2DIJW5P8","02:37:40",19,"Social","Seven",4,6,"Same",0,"Novel50",2,"Novel62",3,1387,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,FALSE,"km"
"7700",7700,77001,"A0607295133OZ2DIJW5P8","02:37:40",20,"Social","Seven",4,7,"Switch",1,"Novel119",3,"Novel88",2,1441,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,FALSE,"km"
"17849",17849,1,"A0877319FSQMNZX627BU","15:22:08",1,"Social","Seven",4,0,"Same",1,"squirrel",0,"",0,1935,"eyescenter",-1,0,0,1,7,TRUE,FALSE,4,FALSE,"km-batch2"
"17850",17850,2,"A0877319FSQMNZX627BU","15:22:08",2,"Social","Seven",4,0,"Same",1,"squirrel",0,"",0,1877,"eyescenter",-1,0,0,1,7,TRUE,FALSE,4,FALSE,"km-batch2"
"17851",17851,3,"A0877319FSQMNZX627BU","15:22:08",3,"Social","Seven",4,0,"Same",1,"tomato",1,"",0,1316,"eyescenter",-1,0,0,1,7,TRUE,FALSE,4,FALSE,"km-batch2"
"17852",17852,4,"A0877319FSQMNZX627BU","15:22:08",4,"Social","Seven",4,0,"Same",1,"tomato",2,"",0,1122,"eyescenter",-1,0,0,1,7,TRUE,FALSE,4,FALSE,"km-batch2"
"17853",17853,5,"A0877319FSQMNZX627BU","15:22:08",5,"Social","Seven",4,0,"Same",1,"Novel40",1,"Novel40",1,4417,"eyes_down_right",2,1,0,0,7,TRUE,FALSE,4,TRUE,"km-batch2"
"17854",17854,6,"A0877319FSQMNZX627BU","15:22:08",6,"Social","Seven",4,1,"Switch",1,"Novel3",0,"Novel97",1,4449,"eyes_down_left",1,1,0,0,7,TRUE,FALSE,4,FALSE,"km-batch2"
"17855",17855,7,"A0877319FSQMNZX627BU","15:22:08",7,"Social","Seven",4,2,"Same",1,"Novel32",0,"Novel32",0,6247,"eyes_down_right",2,1,0,0,7,TRUE,FALSE,4,TRUE,"km-batch2"
"17856",17856,8,"A0877319FSQMNZX627BU","15:22:08",8,"Social","Seven",4,3,"Switch",1,"Novel65",2,"Novel27",3,5355,"eyes_down_left",1,1,0,0,7,TRUE,FALSE,4,FALSE,"km-batch2"
"17857",17857,9,"A0877319FSQMNZX627BU","15:22:08",9,"Social","Seven",4,4,"Same",0,"Novel131",0,"Novel131",0,3157,"eyes_down_right",2,1,0,0,7,TRUE,FALSE,4,TRUE,"km-batch2"
"17858",17858,10,"A0877319FSQMNZX627BU","15:22:08",10,"Social","Seven",4,5,"Switch",0,"Novel2",1,"Novel105",2,3754,"eyes_down_right",2,1,0,0,7,TRUE,FALSE,4,FALSE,"km-batch2"
"17859",17859,11,"A0877319FSQMNZX627BU","15:22:08",11,"Social","Seven",4,6,"Same",0,"Novel109",2,"Novel109",2,4593,"eyes_down_right",2,1,0,0,7,TRUE,FALSE,4,TRUE,"km-batch2"
"17860",17860,12,"A0877319FSQMNZX627BU","15:22:08",12,"Social","Seven",4,7,"Switch",0,"Novel81",0,"Novel134",3,4090,"eyes_down_left",1,1,0,0,7,TRUE,FALSE,4,FALSE,"km-batch2"
"17861",17861,13,"A0877319FSQMNZX627BU","15:22:08",13,"Social","Seven",4,0,"Same",1,"Novel40",1,"Novel40",1,3597,"eyescenter",-1,0,1,0,7,TRUE,TRUE,4,TRUE,"km-batch2"
"17862",17862,14,"A0877319FSQMNZX627BU","15:22:08",14,"Social","Seven",4,1,"Switch",1,"Novel97",1,"Novel97",1,6379,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,TRUE,"km-batch2"
"17863",17863,15,"A0877319FSQMNZX627BU","15:22:08",15,"Social","Seven",4,2,"Same",1,"Novel32",0,"Novel32",0,2520,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,TRUE,"km-batch2"
"17864",17864,16,"A0877319FSQMNZX627BU","15:22:08",16,"Social","Seven",4,3,"Switch",1,"Novel27",3,"Novel27",3,4651,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,TRUE,"km-batch2"
"17865",17865,17,"A0877319FSQMNZX627BU","15:22:08",17,"Social","Seven",4,4,"Same",0,"Novel131",2,"Novel131",0,1570,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,TRUE,"km-batch2"
"17866",17866,18,"A0877319FSQMNZX627BU","15:22:08",18,"Social","Seven",4,5,"Switch",0,"Novel105",0,"Novel105",2,2599,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,TRUE,"km-batch2"
"17867",17867,19,"A0877319FSQMNZX627BU","15:22:08",19,"Social","Seven",4,6,"Same",0,"Novel109",3,"Novel109",2,2331,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,TRUE,"km-batch2"
"17868",17868,20,"A0877319FSQMNZX627BU","15:22:08",20,"Social","Seven",4,7,"Switch",0,"Novel134",1,"Novel134",3,4466,"eyescenter",-1,0,1,0,7,TRUE,FALSE,4,TRUE,"km-batch2"
"10901",10901,10901,"A0987913304TQJJ683IBA","18:40:17",1,"No-Social","Zero",4,0,"Switch",1,"squirrel",0,"",0,949,"eyescenter",-1,0,0,1,0,TRUE,FALSE,4,FALSE,"km"
"10902",10902,10902,"A0987913304TQJJ683IBA","18:40:17",2,"No-Social","Zero",4,0,"Switch",1,"squirrel",0,"",0,915,"eyescenter",-1,0,0,1,0,TRUE,FALSE,4,FALSE,"km"
"10903",10903,10903,"A0987913304TQJJ683IBA","18:40:17",3,"No-Social","Zero",4,0,"Switch",1,"tomato",1,"",0,1042,"eyescenter",-1,0,0,1,0,TRUE,FALSE,4,FALSE,"km"
"10904",10904,10904,"A0987913304TQJJ683IBA","18:40:17",4,"No-Social","Zero",4,0,"Switch",1,"tomato",2,"",0,980,"eyescenter",-1,0,0,1,0,TRUE,FALSE,4,FALSE,"km"
"10905",10905,10905,"A0987913304TQJJ683IBA","18:40:17",5,"No-Social","Zero",4,0,"Switch",1,"Novel114",2,"Novel38",1,2485,"eyescenter",-1,1,0,0,0,TRUE,FALSE,4,FALSE,"km"
"10906",10906,10906,"A0987913304TQJJ683IBA","18:40:17",6,"No-Social","Zero",4,0,"Switch",1,"Novel73",2,"Novel38",1,3368,"eyescenter",-1,0,1,0,0,TRUE,TRUE,4,FALSE,"km"
"10907",10907,10907,"A0987913304TQJJ683IBA","18:40:17",7,"No-Social","Zero",4,1,"Same",1,"Novel49",3,"Novel49",3,2506,"eyescenter",-1,1,0,0,0,TRUE,FALSE,4,TRUE,"km"
"10908",10908,10908,"A0987913304TQJJ683IBA","18:40:17",8,"No-Social","Zero",4,1,"Same",1,"Novel49",3,"Novel49",3,1113,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,TRUE,"km"
"10909",10909,10909,"A0987913304TQJJ683IBA","18:40:17",9,"No-Social","Zero",4,2,"Switch",1,"Novel29",2,"Novel107",3,2449,"eyescenter",-1,1,0,0,0,TRUE,FALSE,4,FALSE,"km"
"10910",10910,10910,"A0987913304TQJJ683IBA","18:40:17",10,"No-Social","Zero",4,2,"Switch",1,"Novel107",3,"Novel107",3,1843,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,TRUE,"km"
"10911",10911,10911,"A0987913304TQJJ683IBA","18:40:17",11,"No-Social","Zero",4,3,"Same",0,"Novel104",0,"Novel104",0,3323,"eyescenter",-1,1,0,0,0,TRUE,FALSE,4,TRUE,"km"
"10912",10912,10912,"A0987913304TQJJ683IBA","18:40:17",12,"No-Social","Zero",4,3,"Same",0,"Novel104",1,"Novel104",0,1035,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,TRUE,"km"
"10913",10913,10913,"A0987913304TQJJ683IBA","18:40:17",13,"No-Social","Zero",4,4,"Switch",0,"Novel44",1,"Novel87",3,3298,"eyescenter",-1,1,0,0,0,TRUE,FALSE,4,FALSE,"km"
"10914",10914,10914,"A0987913304TQJJ683IBA","18:40:17",14,"No-Social","Zero",4,4,"Switch",0,"Novel69",0,"Novel87",3,2376,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,FALSE,"km"
"10915",10915,10915,"A0987913304TQJJ683IBA","18:40:17",15,"No-Social","Zero",4,5,"Same",1,"Novel118",3,"Novel118",3,2755,"eyescenter",-1,1,0,0,0,TRUE,FALSE,4,TRUE,"km"
"10916",10916,10916,"A0987913304TQJJ683IBA","18:40:17",16,"No-Social","Zero",4,5,"Same",1,"Novel118",3,"Novel118",3,1236,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,TRUE,"km"
"10917",10917,10917,"A0987913304TQJJ683IBA","18:40:17",17,"No-Social","Zero",4,6,"Switch",0,"Novel88",0,"Novel5",3,3042,"eyescenter",-1,1,0,0,0,TRUE,FALSE,4,FALSE,"km"
"10918",10918,10918,"A0987913304TQJJ683IBA","18:40:17",18,"No-Social","Zero",4,6,"Switch",0,"Novel58",2,"Novel5",3,2672,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,FALSE,"km"
"10919",10919,10919,"A0987913304TQJJ683IBA","18:40:17",19,"No-Social","Zero",4,7,"Same",0,"Novel42",1,"Novel42",1,2636,"eyescenter",-1,1,0,0,0,TRUE,FALSE,4,TRUE,"km"
"10920",10920,10920,"A0987913304TQJJ683IBA","18:40:17",20,"No-Social","Zero",4,7,"Same",0,"Novel42",0,"Novel42",1,1090,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,TRUE,"km"
"15521",15521,57,"A102Z6M3FALPXT","23:01:20",9,"No-Social","3",4,0,"Same",0,"Novel82",2,"Novel82",1,1804,NA,NA,NA,1,NA,3,TRUE,TRUE,4,TRUE,"dy"
"15522",15522,58,"A102Z6M3FALPXT","23:01:20",10,"No-Social","3",4,1,"Switch",0,"Novel56",1,"Novel77",3,1864,NA,NA,NA,1,NA,3,TRUE,FALSE,4,FALSE,"dy"
"15523",15523,59,"A102Z6M3FALPXT","23:01:20",11,"No-Social","3",4,2,"Same",0,"Novel53",0,"Novel53",2,2412,NA,NA,NA,1,NA,3,TRUE,FALSE,4,TRUE,"dy"
"15524",15524,60,"A102Z6M3FALPXT","23:01:20",12,"No-Social","3",4,3,"Switch",1,"Novel133",2,"Novel99",1,1488,NA,NA,NA,1,NA,3,TRUE,FALSE,4,FALSE,"dy"
"15525",15525,61,"A102Z6M3FALPXT","23:01:20",17,"No-Social","3",4,4,"Same",1,"Novel83",2,"Novel68",1,1034,NA,NA,NA,1,NA,3,TRUE,FALSE,4,FALSE,"dy"
"15526",15526,62,"A102Z6M3FALPXT","23:01:20",18,"No-Social","3",4,5,"Switch",1,"Novel104",1,"Novel123",3,1052,NA,NA,NA,1,NA,3,TRUE,FALSE,4,FALSE,"dy"
"15527",15527,63,"A102Z6M3FALPXT","23:01:20",19,"No-Social","3",4,6,"Same",1,"Novel61",1,"Novel61",1,1422,NA,NA,NA,1,NA,3,TRUE,FALSE,4,TRUE,"dy"
"15528",15528,64,"A102Z6M3FALPXT","23:01:20",20,"No-Social","3",4,7,"Switch",0,"Novel7",2,"Novel59",2,1770,NA,NA,NA,1,NA,3,TRUE,FALSE,4,FALSE,"dy"
"15529",15529,73,"A104N820YHGZDI","18:04:41",7,"No-Social","1",4,0,"Same",0,"Novel73",3,"Novel73",0,2559,NA,NA,NA,1,NA,1,TRUE,TRUE,4,TRUE,"dy"
"15530",15530,74,"A104N820YHGZDI","18:04:41",8,"No-Social","1",4,1,"Switch",1,"Novel121",0,"Novel101",2,2713,NA,NA,NA,1,NA,1,TRUE,FALSE,4,FALSE,"dy"
"15531",15531,75,"A104N820YHGZDI","18:04:41",11,"No-Social","1",4,2,"Same",0,"Novel131",2,"Novel131",3,2913,NA,NA,NA,1,NA,1,TRUE,FALSE,4,TRUE,"dy"
"15532",15532,76,"A104N820YHGZDI","18:04:41",12,"No-Social","1",4,3,"Switch",0,"Novel67",0,"Novel139",3,2787,NA,NA,NA,1,NA,1,TRUE,FALSE,4,FALSE,"dy"
"15533",15533,77,"A104N820YHGZDI","18:04:41",15,"No-Social","1",4,4,"Same",1,"Novel106",3,"Novel106",3,2376,NA,NA,NA,1,NA,1,TRUE,FALSE,4,TRUE,"dy"
"15534",15534,78,"A104N820YHGZDI","18:04:41",16,"No-Social","1",4,5,"Switch",1,"Novel20",0,"Novel64",1,2164,NA,NA,NA,1,NA,1,TRUE,FALSE,4,FALSE,"dy"
"15535",15535,79,"A104N820YHGZDI","18:04:41",19,"No-Social","1",4,6,"Same",1,"Novel37",2,"Novel138",3,3003,NA,NA,NA,1,NA,1,TRUE,FALSE,4,FALSE,"dy"
"15536",15536,80,"A104N820YHGZDI","18:04:41",20,"No-Social","1",4,7,"Switch",0,"Novel43",1,"Novel21",3,2942,NA,NA,NA,1,NA,1,TRUE,FALSE,4,FALSE,"dy"
"10921",10921,10921,"A10A1AU0JBL6Z3","10:03:38",1,"Social","Zero",4,0,"Switch",1,"squirrel",0,"",0,3973,"eyescenter",-1,0,0,1,0,TRUE,FALSE,4,FALSE,"km"
"10922",10922,10922,"A10A1AU0JBL6Z3","10:03:38",2,"Social","Zero",4,0,"Switch",1,"squirrel",0,"",0,1473,"eyescenter",-1,0,0,1,0,TRUE,FALSE,4,FALSE,"km"
"10923",10923,10923,"A10A1AU0JBL6Z3","10:03:38",3,"Social","Zero",4,0,"Switch",1,"tomato",1,"",0,1668,"eyescenter",-1,0,0,1,0,TRUE,FALSE,4,FALSE,"km"
"10924",10924,10924,"A10A1AU0JBL6Z3","10:03:38",4,"Social","Zero",4,0,"Switch",1,"tomato",2,"",0,1351,"eyescenter",-1,0,0,1,0,TRUE,FALSE,4,FALSE,"km"
"10925",10925,10925,"A10A1AU0JBL6Z3","10:03:38",5,"Social","Zero",4,0,"Switch",1,"Novel119",0,"Novel44",1,2916,"eyes_left",0,1,0,0,0,TRUE,FALSE,4,FALSE,"km"
"10926",10926,10926,"A10A1AU0JBL6Z3","10:03:38",6,"Social","Zero",4,0,"Switch",1,"Novel3",2,"Novel44",1,4148,"eyescenter",-1,0,1,0,0,TRUE,TRUE,4,FALSE,"km"
"10927",10927,10927,"A10A1AU0JBL6Z3","10:03:38",7,"Social","Zero",4,1,"Same",1,"Novel80",2,"Novel80",2,3925,"eyes_down_right",2,1,0,0,0,TRUE,FALSE,4,TRUE,"km"
"10928",10928,10928,"A10A1AU0JBL6Z3","10:03:38",8,"Social","Zero",4,1,"Same",1,"Novel80",2,"Novel80",2,1434,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,TRUE,"km"
"10929",10929,10929,"A10A1AU0JBL6Z3","10:03:38",9,"Social","Zero",4,2,"Switch",0,"Novel27",1,"Novel109",2,1990,"eyes_down_left",1,1,0,0,0,TRUE,FALSE,4,FALSE,"km"
"10930",10930,10930,"A10A1AU0JBL6Z3","10:03:38",10,"Social","Zero",4,2,"Switch",0,"Novel85",2,"Novel109",2,3831,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,FALSE,"km"
"10931",10931,10931,"A10A1AU0JBL6Z3","10:03:38",11,"Social","Zero",4,3,"Same",0,"Novel81",0,"Novel81",0,2477,"eyes_left",0,1,0,0,0,TRUE,FALSE,4,TRUE,"km"
"10932",10932,10932,"A10A1AU0JBL6Z3","10:03:38",12,"Social","Zero",4,3,"Same",0,"Novel81",2,"Novel81",0,1619,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,TRUE,"km"
"10933",10933,10933,"A10A1AU0JBL6Z3","10:03:38",13,"Social","Zero",4,4,"Switch",1,"Novel50",0,"Novel130",2,1726,"eyes_left",0,1,0,0,0,TRUE,FALSE,4,FALSE,"km"
"10934",10934,10934,"A10A1AU0JBL6Z3","10:03:38",14,"Social","Zero",4,4,"Switch",1,"Novel116",0,"Novel130",2,1614,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,FALSE,"km"
"10935",10935,10935,"A10A1AU0JBL6Z3","10:03:38",15,"Social","Zero",4,5,"Same",1,"Novel90",2,"Novel90",2,1465,"eyes_down_right",2,1,0,0,0,TRUE,FALSE,4,TRUE,"km"
"10936",10936,10936,"A10A1AU0JBL6Z3","10:03:38",16,"Social","Zero",4,5,"Same",1,"Novel90",2,"Novel90",2,990,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,TRUE,"km"
"10937",10937,10937,"A10A1AU0JBL6Z3","10:03:38",17,"Social","Zero",4,6,"Switch",0,"Novel110",2,"Novel36",3,3244,"eyes_left",0,1,0,0,0,TRUE,FALSE,4,FALSE,"km"
"10938",10938,10938,"A10A1AU0JBL6Z3","10:03:38",18,"Social","Zero",4,6,"Switch",0,"Novel36",1,"Novel36",3,5676,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,TRUE,"km"
"10939",10939,10939,"A10A1AU0JBL6Z3","10:03:38",19,"Social","Zero",4,7,"Same",0,"Novel18",0,"Novel18",0,4341,"eyes_left",0,1,0,0,0,TRUE,FALSE,4,TRUE,"km"
"10940",10940,10940,"A10A1AU0JBL6Z3","10:03:38",20,"Social","Zero",4,7,"Same",0,"Novel13",0,"Novel18",0,1179,"eyescenter",-1,0,1,0,0,TRUE,FALSE,4,FALSE,"km"
"10941",10941,10941,"A10BMPJA7PA4W4","13:09:01",1,"No-Social","One",4,0,"Same",1,"squirrel",0,"",0,2584,"eyescenter",-1,0,0,1,1,TRUE,FALSE,4,FALSE,"km"
"10942",10942,10942,"A10BMPJA7PA4W4","13:09:01",2,"No-Social","One",4,0,"Same",1,"squirrel",0,"",0,1268,"eyescenter",-1,0,0,1,1,TRUE,FALSE,4,FALSE,"km"
"10943",10943,10943,"A10BMPJA7PA4W4","13:09:01",3,"No-Social","One",4,0,"Same",1,"tomato",1,"",0,1596,"eyescenter",-1,0,0,1,1,TRUE,FALSE,4,FALSE,"km"
"10944",10944,10944,"A10BMPJA7PA4W4","13:09:01",4,"No-Social","One",4,0,"Same",1,"tomato",2,"",0,1305,"eyescenter",-1,0,0,1,1,TRUE,FALSE,4,FALSE,"km"
"10945",10945,10945,"A10BMPJA7PA4W4","13:09:01",5,"No-Social","One",4,0,"Same",1,"Novel46",1,"Novel46",1,9644,"eyescenter",-1,1,0,0,1,TRUE,FALSE,4,TRUE,"km"
"10946",10946,10946,"A10BMPJA7PA4W4","13:09:01",6,"No-Social","One",4,1,"Switch",0,"Novel69",2,"Novel40",0,4348,"eyescenter",-1,1,0,0,1,TRUE,FALSE,4,FALSE,"km"
"10947",10947,10947,"A10BMPJA7PA4W4","13:09:01",7,"No-Social","One",4,0,"Same",1,"Novel46",1,"Novel46",1,3074,"eyescenter",-1,0,1,0,1,TRUE,TRUE,4,TRUE,"km"
"10948",10948,10948,"A10BMPJA7PA4W4","13:09:01",8,"No-Social","One",4,1,"Switch",0,"Novel40",1,"Novel40",0,1403,"eyescenter",-1,0,1,0,1,TRUE,FALSE,4,TRUE,"km"
"10949",10949,10949,"A10BMPJA7PA4W4","13:09:01",9,"No-Social","One",4,2,"Same",0,"Novel115",2,"Novel115",2,2505,"eyescenter",-1,1,0,0,1,TRUE,FALSE,4,TRUE,"km"
"10950",10950,10950,"A10BMPJA7PA4W4","13:09:01",10,"No-Social","One",4,3,"Switch",1,"Novel24",1,"Novel44",0,2548,"eyescenter",-1,1,0,0,1,TRUE,FALSE,4,FALSE,"km"
"10951",10951,10951,"A10BMPJA7PA4W4","13:09:01",11,"No-Social","One",4,2,"Same",0,"Novel115",0,"Novel115",2,1185,"eyescenter",-1,0,1,0,1,TRUE,FALSE,4,TRUE,"km"
"10952",10952,10952,"A10BMPJA7PA4W4","13:09:01",12,"No-Social","One",4,3,"Switch",1,"Novel44",0,"Novel44",0,1948,"eyescenter",-1,0,1,0,1,TRUE,FALSE,4,TRUE,"km"
"10953",10953,10953,"A10BMPJA7PA4W4","13:09:01",13,"No-Social","One",4,4,"Same",1,"Novel18",1,"Novel18",1,3370,"eyescenter",-1,1,0,0,1,TRUE,FALSE,4,TRUE,"km"
"10954",10954,10954,"A10BMPJA7PA4W4","13:09:01",14,"No-Social","One",4,5,"Switch",1,"Novel25",3,"Novel87",1,1366,"eyescenter",-1,1,0,0,1,TRUE,FALSE,4,FALSE,"km"
"10955",10955,10955,"A10BMPJA7PA4W4","13:09:01",15,"No-Social","One",4,4,"Same",1,"Novel18",1,"Novel18",1,867,"eyescenter",-1,0,1,0,1,TRUE,FALSE,4,TRUE,"km"
"10956",10956,10956,"A10BMPJA7PA4W4","13:09:01",16,"No-Social","One",4,5,"Switch",1,"Novel105",3,"Novel87",1,835,"eyescenter",-1,0,1,0,1,TRUE,FALSE,4,FALSE,"km"
"10957",10957,10957,"A10BMPJA7PA4W4","13:09:01",17,"No-Social","One",4,6,"Same",0,"Novel19",0,"Novel19",0,1672,"eyescenter",-1,1,0,0,1,TRUE,FALSE,4,TRUE,"km"
"10958",10958,10958,"A10BMPJA7PA4W4","13:09:01",18,"No-Social","One",4,7,"Switch",0,"Novel125",0,"Novel132",1,929,"eyescenter",-1,1,0,0,1,TRUE,FALSE,4,FALSE,"km"
"10959",10959,10959,"A10BMPJA7PA4W4","13:09:01",19,"No-Social","One",4,6,"Same",0,"Novel19",1,"Novel19",0,589,"eyescenter",-1,0,1,0,1,TRUE,FALSE,4,TRUE,"km"
"10960",10960,10960,"A10BMPJA7PA4W4","13:09:01",20,"No-Social","One",4,7,"Switch",0,"Novel132",2,"Novel132",1,569,"eyescenter",-1,0,1,0,1,TRUE,FALSE,4,TRUE,"km"
"1",1,1,"A10EEFN0OZB72L","12:46:43",1,"Social","One",6,0,"Switch",0,"squirrel",3,"",0,1826,"eyescenter",-1,0,0,1,1,TRUE,FALSE,6,FALSE,"km"
"2",2,2,"A10EEFN0OZB72L","12:46:43",2,"Social","One",6,0,"Switch",0,"squirrel",1,"",0,1034,"eyescenter",-1,0,0,1,1,TRUE,FALSE,6,FALSE,"km"
"3",3,3,"A10EEFN0OZB72L","12:46:43",3,"Social","One",6,0,"Switch",0,"tomato",4,"",0,1152,"eyescenter",-1,0,0,1,1,TRUE,FALSE,6,FALSE,"km"
"4",4,4,"A10EEFN0OZB72L","12:46:43",4,"Social","One",6,0,"Switch",0,"tomato",0,"",0,1432,"eyescenter",-1,0,0,1,1,TRUE,FALSE,6,FALSE,"km"
"5",5,5,"A10EEFN0OZB72L","12:46:43",5,"Social","One",6,0,"Switch",0,"Novel94",3,"Novel5",4,2779,"eyes_down_left",1,1,0,0,1,TRUE,FALSE,6,FALSE,"km"
"6",6,6,"A10EEFN0OZB72L","12:46:43",6,"Social","One",6,1,"Same",1,"Novel123",4,"Novel123",4,1660,"eyes_down_right",2,1,0,0,1,TRUE,FALSE,6,TRUE,"km"
"7",7,7,"A10EEFN0OZB72L","12:46:43",7,"Social","One",6,0,"Switch",0,"Novel48",2,"Novel5",4,4235,"eyescenter",-1,0,1,0,1,TRUE,TRUE,6,FALSE,"km"
"8",8,8,"A10EEFN0OZB72L","12:46:43",8,"Social","One",6,1,"Same",1,"Novel123",4,"Novel123",4,1778,"eyescenter",-1,0,1,0,1,TRUE,FALSE,6,TRUE,"km"
"9",9,9,"A10EEFN0OZB72L","12:46:43",9,"Social","One",6,2,"Switch",1,"Novel140",2,"Novel73",4,1359,"eyes_left",0,1,0,0,1,TRUE,FALSE,6,FALSE,"km"
