"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","numPic","interval","test","exposure","day.and.time"
"585","A1FDAQBV8RBA5K","Dec 03 2013","09:43:28",5,0,"Same",0,"Novel108",1,"Novel108",1,2294,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:43:28)
"587","A1FDAQBV8RBA5K","Dec 03 2013","09:43:28",7,1,"Switch",1,"Novel53",1,"Novel127",3,1373,"eyesright","4","0",0,1,(Dec 03 2013 09:43:28)
"589","A1FDAQBV8RBA5K","Dec 03 2013","09:43:28",9,2,"Same",0,"Novel37",2,"Novel37",2,2481,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:43:28)
"591","A1FDAQBV8RBA5K","Dec 03 2013","09:43:28",11,3,"Switch",0,"Novel114",2,"Novel8",1,2496,"eyesright","4","0",0,1,(Dec 03 2013 09:43:28)
"593","A1FDAQBV8RBA5K","Dec 03 2013","09:43:28",13,4,"Same",1,"Novel95",0,"Novel95",0,1685,"eyesdownright","4","0",0,1,(Dec 03 2013 09:43:28)
"595","A1FDAQBV8RBA5K","Dec 03 2013","09:43:28",15,5,"Switch",0,"Novel124",3,"Novel62",1,3149,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:43:28)
"597","A1FDAQBV8RBA5K","Dec 03 2013","09:43:28",17,6,"Same",1,"Novel97",1,"Novel97",1,2636,"eyesright","4","0",0,1,(Dec 03 2013 09:43:28)
"599","A1FDAQBV8RBA5K","Dec 03 2013","09:43:28",19,7,"Switch",1,"Novel138",0,"Novel112",1,2918,"eyesright","4","0",0,1,(Dec 03 2013 09:43:28)
"465","A1KQGF9L042R9I","Dec 03 2013","09:38:35",5,0,"Same",1,"Novel72",1,"Novel72",1,1619,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:38:35)
"467","A1KQGF9L042R9I","Dec 03 2013","09:38:35",7,1,"Switch",1,"Novel87",1,"Novel79",0,2196,"eyesleft","4","0",0,1,(Dec 03 2013 09:38:35)
"469","A1KQGF9L042R9I","Dec 03 2013","09:38:35",9,2,"Same",0,"Novel10",0,"Novel10",0,2663,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:38:35)
"471","A1KQGF9L042R9I","Dec 03 2013","09:38:35",11,3,"Switch",1,"Novel76",3,"Novel6",2,3045,"eyesright","4","0",0,1,(Dec 03 2013 09:38:35)
"473","A1KQGF9L042R9I","Dec 03 2013","09:38:35",13,4,"Same",1,"Novel97",2,"Novel97",2,1762,"eyesright","4","0",0,1,(Dec 03 2013 09:38:35)
"475","A1KQGF9L042R9I","Dec 03 2013","09:38:35",15,5,"Switch",0,"Novel136",0,"Novel59",2,2299,"eyesleft","4","0",0,1,(Dec 03 2013 09:38:35)
"477","A1KQGF9L042R9I","Dec 03 2013","09:38:35",17,6,"Same",0,"Novel73",0,"Novel73",0,3014,"eyesdownright","4","0",0,1,(Dec 03 2013 09:38:35)
"479","A1KQGF9L042R9I","Dec 03 2013","09:38:35",19,7,"Switch",0,"Novel36",3,"Novel42",0,2653,"eyesdownright","4","0",0,1,(Dec 03 2013 09:38:35)
"105","A1NRSTQ6HURYZC","Dec 03 2013","09:33:04",5,0,"Same",0,"Novel100",3,"Novel100",3,2530,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:33:04)
"107","A1NRSTQ6HURYZC","Dec 03 2013","09:33:04",7,1,"Switch",1,"Novel86",0,"Novel94",1,2682,"eyesdownright","4","0",0,1,(Dec 03 2013 09:33:04)
"109","A1NRSTQ6HURYZC","Dec 03 2013","09:33:04",9,2,"Same",0,"Novel44",2,"Novel44",2,2132,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:33:04)
"111","A1NRSTQ6HURYZC","Dec 03 2013","09:33:04",11,3,"Switch",0,"Novel76",0,"Novel109",3,2400,"eyesdownright","4","0",0,1,(Dec 03 2013 09:33:04)
"113","A1NRSTQ6HURYZC","Dec 03 2013","09:33:04",13,4,"Same",1,"Novel138",3,"Novel138",3,2816,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:33:04)
"115","A1NRSTQ6HURYZC","Dec 03 2013","09:33:04",15,5,"Switch",1,"Novel68",0,"Novel119",3,2635,"eyesright","4","0",0,1,(Dec 03 2013 09:33:04)
"117","A1NRSTQ6HURYZC","Dec 03 2013","09:33:04",17,6,"Same",1,"Novel24",2,"Novel24",2,1979,"eyesleft","4","0",0,1,(Dec 03 2013 09:33:04)
"119","A1NRSTQ6HURYZC","Dec 03 2013","09:33:04",19,7,"Switch",0,"Novel78",3,"Novel39",1,1520,"eyesright","4","0",0,1,(Dec 03 2013 09:33:04)
"285","A26JIHKBORI9X","Dec 03 2013","09:36:54",5,0,"Same",0,"Novel118",1,"Novel118",1,2418,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:36:54)
"287","A26JIHKBORI9X","Dec 03 2013","09:36:54",7,1,"Switch",0,"Novel71",2,"Novel62",3,1903,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:36:54)
"289","A26JIHKBORI9X","Dec 03 2013","09:36:54",9,2,"Same",0,"Novel3",3,"Novel3",3,2371,"eyesdownright","4","0",0,1,(Dec 03 2013 09:36:54)
"291","A26JIHKBORI9X","Dec 03 2013","09:36:54",11,3,"Switch",1,"Novel76",0,"Novel63",3,2547,"eyesright","4","0",0,1,(Dec 03 2013 09:36:54)
"293","A26JIHKBORI9X","Dec 03 2013","09:36:54",13,4,"Same",1,"Novel80",3,"Novel80",3,1436,"eyesdownright","4","0",0,1,(Dec 03 2013 09:36:54)
"295","A26JIHKBORI9X","Dec 03 2013","09:36:54",15,5,"Switch",1,"Novel54",0,"Novel129",3,2902,"eyesright","4","0",0,1,(Dec 03 2013 09:36:54)
"297","A26JIHKBORI9X","Dec 03 2013","09:36:54",17,6,"Same",1,"Novel2",0,"Novel2",0,2480,"eyesdownright","4","0",0,1,(Dec 03 2013 09:36:54)
"299","A26JIHKBORI9X","Dec 03 2013","09:36:54",19,7,"Switch",0,"Novel49",3,"Novel47",0,2918,"eyesright","4","0",0,1,(Dec 03 2013 09:36:54)
"485","A278FBYZ0NHZYN","Dec 03 2013","09:39:10",5,0,"Switch",1,"Novel43",2,"Novel84",0,2896,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:39:10)
"487","A278FBYZ0NHZYN","Dec 03 2013","09:39:10",7,1,"Same",1,"Novel11",0,"Novel11",0,4116,"eyesleft","4","0",0,1,(Dec 03 2013 09:39:10)
"489","A278FBYZ0NHZYN","Dec 03 2013","09:39:10",9,2,"Switch",0,"Novel128",3,"Novel122",1,3983,"eyesright","4","0",0,1,(Dec 03 2013 09:39:10)
"491","A278FBYZ0NHZYN","Dec 03 2013","09:39:10",11,3,"Same",1,"Novel25",0,"Novel25",0,3242,"eyesleft","4","0",0,1,(Dec 03 2013 09:39:10)
"493","A278FBYZ0NHZYN","Dec 03 2013","09:39:10",13,4,"Switch",1,"Novel136",2,"Novel27",0,2661,"eyesright","4","0",0,1,(Dec 03 2013 09:39:10)
"495","A278FBYZ0NHZYN","Dec 03 2013","09:39:10",15,5,"Same",0,"Novel34",2,"Novel34",2,2522,"eyesdownright","4","0",0,1,(Dec 03 2013 09:39:10)
"497","A278FBYZ0NHZYN","Dec 03 2013","09:39:10",17,6,"Switch",0,"Novel33",0,"Novel89",1,4553,"eyesright","4","0",0,1,(Dec 03 2013 09:39:10)
"499","A278FBYZ0NHZYN","Dec 03 2013","09:39:10",19,7,"Same",0,"Novel99",1,"Novel99",1,2936,"eyesright","4","0",0,1,(Dec 03 2013 09:39:10)
"425","A28XFC7F3F89W8","Dec 03 2013","09:38:09",5,0,"Same",0,"Novel113",0,"Novel113",0,4992,"eyesleft","4","0",0,1,(Dec 03 2013 09:38:09)
"427","A28XFC7F3F89W8","Dec 03 2013","09:38:09",7,1,"Switch",0,"Novel69",3,"Novel18",2,3136,"eyesright","4","0",0,1,(Dec 03 2013 09:38:09)
"429","A28XFC7F3F89W8","Dec 03 2013","09:38:09",9,2,"Same",1,"Novel139",0,"Novel139",0,2730,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:38:09)
"431","A28XFC7F3F89W8","Dec 03 2013","09:38:09",11,3,"Switch",1,"Novel66",3,"Novel39",2,1888,"eyesright","4","0",0,1,(Dec 03 2013 09:38:09)
"433","A28XFC7F3F89W8","Dec 03 2013","09:38:09",13,4,"Same",0,"Novel32",3,"Novel32",3,2028,"eyesright","4","0",0,1,(Dec 03 2013 09:38:09)
"435","A28XFC7F3F89W8","Dec 03 2013","09:38:09",15,5,"Switch",1,"Novel31",3,"Novel10",1,1451,"eyesright","4","0",0,1,(Dec 03 2013 09:38:09)
"437","A28XFC7F3F89W8","Dec 03 2013","09:38:09",17,6,"Same",1,"Novel115",3,"Novel115",3,1388,"eyesdownright","4","0",0,1,(Dec 03 2013 09:38:09)
"439","A28XFC7F3F89W8","Dec 03 2013","09:38:09",19,7,"Switch",0,"Novel49",3,"Novel138",2,1170,"eyesdownright","4","0",0,1,(Dec 03 2013 09:38:09)
"525","A2GXE6MIDN8DPR","Dec 03 2013","09:39:48",5,0,"Switch",1,"Novel90",2,"Novel33",3,6302,"eyesdownright","4","0",0,1,(Dec 03 2013 09:39:48)
"527","A2GXE6MIDN8DPR","Dec 03 2013","09:39:48",7,1,"Same",1,"Novel40",1,"Novel40",1,7644,"eyesdownright","4","0",0,1,(Dec 03 2013 09:39:48)
"529","A2GXE6MIDN8DPR","Dec 03 2013","09:39:48",9,2,"Switch",0,"Novel31",1,"Novel107",3,7644,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:39:48)
"531","A2GXE6MIDN8DPR","Dec 03 2013","09:39:48",11,3,"Same",0,"Novel80",0,"Novel80",0,6989,"eyesdownright","4","0",0,1,(Dec 03 2013 09:39:48)
"533","A2GXE6MIDN8DPR","Dec 03 2013","09:39:48",13,4,"Switch",0,"Novel34",3,"Novel99",2,4431,"eyesdownright","4","0",0,1,(Dec 03 2013 09:39:48)
"535","A2GXE6MIDN8DPR","Dec 03 2013","09:39:48",15,5,"Same",0,"Novel138",0,"Novel138",0,8466,"eyesright","4","0",0,1,(Dec 03 2013 09:39:48)
"537","A2GXE6MIDN8DPR","Dec 03 2013","09:39:48",17,6,"Switch",1,"Novel121",0,"Novel39",3,9719,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:39:48)
"539","A2GXE6MIDN8DPR","Dec 03 2013","09:39:48",19,7,"Same",1,"Novel108",3,"Novel108",3,7192,"eyesright","4","0",0,1,(Dec 03 2013 09:39:48)
"5","A2NHC0F1J1XYFX","Dec 03 2013","09:31:46",5,0,"Switch",0,"Novel9",0,"Novel16",1,2975,"eyesright","4","0",0,1,(Dec 03 2013 09:31:46)
"7","A2NHC0F1J1XYFX","Dec 03 2013","09:31:46",7,1,"Same",0,"Novel127",2,"Novel127",2,8416,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:31:46)
"9","A2NHC0F1J1XYFX","Dec 03 2013","09:31:46",9,2,"Switch",0,"Novel78",2,"Novel117",3,2249,"eyesright","4","0",0,1,(Dec 03 2013 09:31:46)
"11","A2NHC0F1J1XYFX","Dec 03 2013","09:31:46",11,3,"Same",1,"Novel129",3,"Novel129",3,2064,"eyesright","4","0",0,1,(Dec 03 2013 09:31:46)
"13","A2NHC0F1J1XYFX","Dec 03 2013","09:31:46",13,4,"Switch",1,"Novel97",1,"Novel32",0,1636,"eyesleft","4","0",0,1,(Dec 03 2013 09:31:46)
"15","A2NHC0F1J1XYFX","Dec 03 2013","09:31:46",15,5,"Same",1,"Novel11",0,"Novel11",0,4539,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:31:46)
"17","A2NHC0F1J1XYFX","Dec 03 2013","09:31:46",17,6,"Switch",1,"Novel124",3,"Novel34",1,1217,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:31:46)
"19","A2NHC0F1J1XYFX","Dec 03 2013","09:31:46",19,7,"Same",0,"Novel74",2,"Novel74",2,2333,"eyesdownright","4","0",0,1,(Dec 03 2013 09:31:46)
"565","A2NIXIX2LIA624","Dec 03 2013","09:41:16",5,0,"Same",0,"Novel15",3,"Novel15",3,2777,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:41:16)
"567","A2NIXIX2LIA624","Dec 03 2013","09:41:16",7,1,"Switch",0,"Novel33",3,"Novel75",2,1404,"eyesdownright","4","0",0,1,(Dec 03 2013 09:41:16)
"569","A2NIXIX2LIA624","Dec 03 2013","09:41:16",9,2,"Same",0,"Novel136",2,"Novel136",2,1404,"eyesright","4","0",0,1,(Dec 03 2013 09:41:16)
"571","A2NIXIX2LIA624","Dec 03 2013","09:41:16",11,3,"Switch",1,"Novel87",2,"Novel80",0,1716,"eyesleft","4","0",0,1,(Dec 03 2013 09:41:16)
"573","A2NIXIX2LIA624","Dec 03 2013","09:41:16",13,4,"Same",1,"Novel40",3,"Novel40",3,1809,"eyesdownright","4","0",0,1,(Dec 03 2013 09:41:16)
"575","A2NIXIX2LIA624","Dec 03 2013","09:41:16",15,5,"Switch",1,"Novel104",1,"Novel115",3,2574,"eyesright","4","0",0,1,(Dec 03 2013 09:41:16)
"577","A2NIXIX2LIA624","Dec 03 2013","09:41:16",17,6,"Same",1,"Novel106",0,"Novel106",0,1919,"eyesdownright","4","0",0,1,(Dec 03 2013 09:41:16)
"579","A2NIXIX2LIA624","Dec 03 2013","09:41:16",19,7,"Switch",0,"Novel98",3,"Novel3",1,1591,"eyesright","4","0",0,1,(Dec 03 2013 09:41:16)
"385","A2RCVGSZVKB036","Dec 03 2013","09:37:52",5,0,"Switch",0,"Novel103",1,"Novel88",0,2891,"eyesleft","4","0",0,1,(Dec 03 2013 09:37:52)
"387","A2RCVGSZVKB036","Dec 03 2013","09:37:52",7,1,"Same",0,"Novel135",0,"Novel135",0,3827,"eyesleft","4","0",0,1,(Dec 03 2013 09:37:52)
"389","A2RCVGSZVKB036","Dec 03 2013","09:37:52",9,2,"Switch",1,"Novel24",3,"Novel123",2,4338,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:37:52)
"391","A2RCVGSZVKB036","Dec 03 2013","09:37:52",11,3,"Same",0,"Novel31",3,"Novel31",3,3238,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:37:52)
"393","A2RCVGSZVKB036","Dec 03 2013","09:37:52",13,4,"Switch",1,"Novel53",3,"Novel36",0,3595,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:37:52)
"395","A2RCVGSZVKB036","Dec 03 2013","09:37:52",15,5,"Same",1,"Novel90",2,"Novel90",2,3601,"eyesdownright","4","0",0,1,(Dec 03 2013 09:37:52)
"397","A2RCVGSZVKB036","Dec 03 2013","09:37:52",17,6,"Switch",0,"Novel68",1,"Novel64",0,2943,"eyesright","4","0",0,1,(Dec 03 2013 09:37:52)
"399","A2RCVGSZVKB036","Dec 03 2013","09:37:52",19,7,"Same",1,"Novel4",2,"Novel4",2,1863,"eyesdownright","4","0",0,1,(Dec 03 2013 09:37:52)
"45","A31A20Z5P0UJBH","Dec 03 2013","09:32:27",5,0,"Same",1,"Novel137",0,"Novel137",0,3109,"eyesdownright","4","0",0,1,(Dec 03 2013 09:32:27)
"47","A31A20Z5P0UJBH","Dec 03 2013","09:32:27",7,1,"Switch",0,"Novel34",2,"Novel47",3,1464,"eyesleft","4","0",0,1,(Dec 03 2013 09:32:27)
"49","A31A20Z5P0UJBH","Dec 03 2013","09:32:27",9,2,"Same",1,"Novel2",1,"Novel2",1,1564,"eyesdownright","4","0",0,1,(Dec 03 2013 09:32:27)
"51","A31A20Z5P0UJBH","Dec 03 2013","09:32:27",11,3,"Switch",1,"Novel7",3,"Novel77",1,1441,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:32:27)
"53","A31A20Z5P0UJBH","Dec 03 2013","09:32:27",13,4,"Same",0,"Novel66",2,"Novel66",2,1577,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:32:27)
"55","A31A20Z5P0UJBH","Dec 03 2013","09:32:27",15,5,"Switch",1,"Novel87",2,"Novel138",3,1595,"eyesleft","4","0",0,1,(Dec 03 2013 09:32:27)
"57","A31A20Z5P0UJBH","Dec 03 2013","09:32:27",17,6,"Same",0,"Novel136",1,"Novel136",1,2296,"eyesdownright","4","0",0,1,(Dec 03 2013 09:32:27)
"59","A31A20Z5P0UJBH","Dec 03 2013","09:32:27",19,7,"Switch",0,"Novel31",0,"Novel30",3,1025,"eyesleft","4","0",0,1,(Dec 03 2013 09:32:27)
"445","A33SMNMTMIOJ6T","Dec 03 2013","09:38:11",5,0,"Switch",0,"Novel132",2,"Novel107",0,1577,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:38:11)
"447","A33SMNMTMIOJ6T","Dec 03 2013","09:38:11",7,1,"Same",0,"Novel49",2,"Novel49",2,2315,"eyesdownright","4","0",0,1,(Dec 03 2013 09:38:11)
"449","A33SMNMTMIOJ6T","Dec 03 2013","09:38:11",9,2,"Switch",1,"Novel71",0,"Novel31",1,3213,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:38:11)
"451","A33SMNMTMIOJ6T","Dec 03 2013","09:38:11",11,3,"Same",1,"Novel23",0,"Novel23",0,2179,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:38:11)
"453","A33SMNMTMIOJ6T","Dec 03 2013","09:38:11",13,4,"Switch",1,"Novel120",2,"Novel26",0,1712,"eyesright","4","0",0,1,(Dec 03 2013 09:38:11)
"455","A33SMNMTMIOJ6T","Dec 03 2013","09:38:11",15,5,"Same",1,"Novel79",1,"Novel79",1,1860,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:38:11)
"457","A33SMNMTMIOJ6T","Dec 03 2013","09:38:11",17,6,"Switch",0,"Novel41",3,"Novel7",1,2403,"eyesleft","4","0",0,1,(Dec 03 2013 09:38:11)
"459","A33SMNMTMIOJ6T","Dec 03 2013","09:38:11",19,7,"Same",0,"Novel87",3,"Novel87",3,2991,"eyesright","4","0",0,1,(Dec 03 2013 09:38:11)
"145","A33UPV2G0DY67H","Dec 03 2013","09:33:48",5,0,"Same",0,"Novel95",1,"Novel95",1,5101,"eyesleft","4","0",0,1,(Dec 03 2013 09:33:48)
"147","A33UPV2G0DY67H","Dec 03 2013","09:33:48",7,1,"Switch",0,"Novel31",2,"Novel39",0,4196,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:33:48)
"149","A33UPV2G0DY67H","Dec 03 2013","09:33:48",9,2,"Same",0,"Novel34",3,"Novel34",3,3198,"eyesdownright","4","0",0,1,(Dec 03 2013 09:33:48)
"151","A33UPV2G0DY67H","Dec 03 2013","09:33:48",11,3,"Switch",1,"Novel11",1,"Novel99",0,2886,"eyesdownright","4","0",0,1,(Dec 03 2013 09:33:48)
"153","A33UPV2G0DY67H","Dec 03 2013","09:33:48",13,4,"Same",1,"Novel66",0,"Novel66",0,3354,"eyesdownright","4","0",0,1,(Dec 03 2013 09:33:48)
"155","A33UPV2G0DY67H","Dec 03 2013","09:33:48",15,5,"Switch",0,"Novel116",2,"Novel137",3,3088,"eyesdownright","4","0",0,1,(Dec 03 2013 09:33:48)
"157","A33UPV2G0DY67H","Dec 03 2013","09:33:48",17,6,"Same",1,"Novel50",1,"Novel50",1,1919,"eyesright","4","0",0,1,(Dec 03 2013 09:33:48)
"159","A33UPV2G0DY67H","Dec 03 2013","09:33:48",19,7,"Switch",1,"Novel33",2,"Novel37",0,2933,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:33:48)
"365","A35BQPABKN4Q8C","Dec 03 2013","09:37:41",5,0,"Same",1,"Novel82",0,"Novel82",0,5600,"eyesright","4","0",0,1,(Dec 03 2013 09:37:41)
"367","A35BQPABKN4Q8C","Dec 03 2013","09:37:41",7,1,"Switch",0,"Novel112",3,"Novel70",2,4883,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:37:41)
"369","A35BQPABKN4Q8C","Dec 03 2013","09:37:41",9,2,"Same",0,"Novel33",1,"Novel33",1,3058,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:37:41)
"371","A35BQPABKN4Q8C","Dec 03 2013","09:37:41",11,3,"Switch",1,"Novel92",0,"Novel63",1,4462,"eyesleft","4","0",0,1,(Dec 03 2013 09:37:41)
"373","A35BQPABKN4Q8C","Dec 03 2013","09:37:41",13,4,"Same",0,"Novel97",2,"Novel97",2,5725,"eyesleft","4","0",0,1,(Dec 03 2013 09:37:41)
"375","A35BQPABKN4Q8C","Dec 03 2013","09:37:41",15,5,"Switch",0,"Novel84",3,"Novel10",0,3837,"eyesleft","4","0",0,1,(Dec 03 2013 09:37:41)
"377","A35BQPABKN4Q8C","Dec 03 2013","09:37:41",17,6,"Same",1,"Novel48",2,"Novel48",2,4649,"eyesleft","4","0",0,1,(Dec 03 2013 09:37:41)
"379","A35BQPABKN4Q8C","Dec 03 2013","09:37:41",19,7,"Switch",1,"Novel106",0,"Novel85",2,3542,"eyesleft","4","0",0,1,(Dec 03 2013 09:37:41)
"25","A38DC3BG1ZCVZ2","Dec 03 2013","09:32:15",5,0,"Same",1,"Novel86",1,"Novel86",1,4290,"eyesdownright","4","0",0,1,(Dec 03 2013 09:32:15)
"27","A38DC3BG1ZCVZ2","Dec 03 2013","09:32:15",7,1,"Switch",1,"Novel116",0,"Novel54",1,2293,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:32:15)
"29","A38DC3BG1ZCVZ2","Dec 03 2013","09:32:15",9,2,"Same",1,"Novel36",3,"Novel36",3,2309,"eyesright","4","0",0,1,(Dec 03 2013 09:32:15)
"31","A38DC3BG1ZCVZ2","Dec 03 2013","09:32:15",11,3,"Switch",0,"Novel48",3,"Novel3",0,2340,"eyesright","4","0",0,1,(Dec 03 2013 09:32:15)
"33","A38DC3BG1ZCVZ2","Dec 03 2013","09:32:15",13,4,"Same",0,"Novel81",3,"Novel81",3,3510,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:32:15)
"35","A38DC3BG1ZCVZ2","Dec 03 2013","09:32:15",15,5,"Switch",0,"Novel124",2,"Novel114",1,1107,"eyesleft","4","0",0,1,(Dec 03 2013 09:32:15)
"37","A38DC3BG1ZCVZ2","Dec 03 2013","09:32:15",17,6,"Same",0,"Novel41",1,"Novel41",1,1155,"eyesleft","4","0",0,1,(Dec 03 2013 09:32:15)
"39","A38DC3BG1ZCVZ2","Dec 03 2013","09:32:15",19,7,"Switch",1,"Novel82",3,"Novel13",0,1794,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:32:15)
"165","A3B3AKQ9G1VX9J","Dec 03 2013","09:33:54",5,0,"Switch",0,"Novel7",1,"Novel116",0,969,"eyesdownleft","4","0",0,1,(Dec 03 2013 09:33:54)
"167","A3B3AKQ9G1VX9J","Dec 03 2013","09:33:54",7,1,"Same",0,"Novel5",1,"Novel5",1,1093,"eyesright","4","0",0,1,(Dec 03 2013 09:33:54)
"169","A3B3AKQ9G1VX9J","Dec 03 2013","09:33:54",9,2,"Switch",1,"Novel124",2,"Novel75",1,1281,"eyesleft","4","0",0,1,(Dec 03 2013 09:33:54)
