"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","numPic","interval","condition","test","exposure","day.and.time","include","first.trial","numPicN","intervalN","correct"
"19","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",20,7,"Switch",1,"Novel23",2,"Novel56",3,5589,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,FALSE
"20","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",17,4,"Same",1,"Novel52",3,"Novel52",3,2074,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,TRUE
"21","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",7,2,"Same",0,"Novel117",3,"Novel117",3,1485,"eyesrightarrow","4","3","soc",0,1,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,TRUE
"22","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",8,3,"Switch",1,"Novel122",2,"Novel132",3,2070,"eyesdownrightarrow","4","3","soc",0,1,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,FALSE
"23","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",9,0,"Same",1,"Novel25",3,"Novel25",3,2041,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:14:39),TRUE,TRUE,4,3,TRUE
"28","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",5,0,"Same",1,"Novel25",3,"Novel25",3,8238,"eyesrightarrow","4","3","soc",0,1,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,TRUE
"29","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",6,1,"Switch",0,"Novel15",2,"Novel126",3,2156,"eyesdownrightarrow","4","3","soc",0,1,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,FALSE
"30","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",20,7,"Switch",1,"Novel23",1,"Novel23",1,2666,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,TRUE
"31","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",12,3,"Switch",1,"Novel132",3,"Novel132",3,4303,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,TRUE
"32","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",13,4,"Same",0,"Novel22",2,"Novel22",2,1525,"eyesdownrightarrow","4","3","soc",0,1,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,TRUE
"33","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",10,1,"Switch",0,"Novel21",3,"Novel126",3,5379,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,FALSE
"34","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",11,2,"Same",0,"Novel117",2,"Novel117",3,2207,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,TRUE
"35","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",16,7,"Switch",1,"Novel120",0,"Novel23",1,1555,"eyesleftarrow","4","3","soc",0,1,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,FALSE
"36","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",17,4,"Same",0,"Novel22",3,"Novel22",2,1687,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,TRUE
"37","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",14,5,"Switch",0,"Novel102",3,"Novel136",0,1474,"eyesrightarrow","4","3","soc",0,1,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,FALSE
"38","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",15,6,"Same",1,"Novel67",2,"Novel67",2,1165,"eyesdownrightarrow","4","3","soc",0,1,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,TRUE
"39","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",18,5,"Switch",0,"Novel129",2,"Novel136",0,4235,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,FALSE
"40","A12JZ4O65SKDPI","Jan 18 2014","15:14:39",19,6,"Same",1,"Novel67",2,"Novel67",2,1087,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:14:39),TRUE,FALSE,4,3,TRUE
"41","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",15,5,"Switch",1,"Novel88",1,"Novel28",3,2413,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,FALSE
"42","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",16,5,"Switch",1,"Novel82",1,"Novel28",3,3049,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,FALSE
"43","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",14,4,"Same",0,"Novel115",1,"Novel115",3,1008,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,TRUE
"48","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",5,0,"Same",1,"Novel46",2,"Novel46",2,8452,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,TRUE
"49","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",6,0,"Same",1,"Novel46",2,"Novel46",2,2477,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:05:24),TRUE,TRUE,4,0,TRUE
"50","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",7,1,"Switch",0,"Novel122",1,"Novel96",3,3765,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,FALSE
"51","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",8,1,"Switch",0,"Novel21",0,"Novel96",3,3357,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,FALSE
"52","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",9,2,"Same",1,"Novel76",3,"Novel76",3,3589,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,TRUE
"53","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",10,2,"Same",1,"Novel76",3,"Novel76",3,1565,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,TRUE
"54","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",11,3,"Switch",1,"Novel80",2,"Novel5",3,3563,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,FALSE
"55","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",12,3,"Switch",1,"Novel64",0,"Novel5",3,2260,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,FALSE
"56","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",13,4,"Same",0,"Novel115",3,"Novel115",3,3221,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,TRUE
"57","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",18,6,"Same",0,"Novel62",1,"Novel62",2,1376,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,TRUE
"58","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",19,7,"Switch",0,"Novel112",1,"Novel139",3,2453,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,FALSE
"59","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",20,7,"Switch",0,"Novel139",0,"Novel139",3,1959,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,TRUE
"60","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",17,6,"Same",0,"Novel62",2,"Novel62",2,3176,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:05:24),TRUE,FALSE,4,0,TRUE
"61","A164RBTU9AO3G7","Dec 05 2013","03:19:34",7,1,"Same",1,"Novel76",1,"Novel76",1,2177,"eyesrightarrow","4","0","soc",0,1,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,TRUE
"62","A164RBTU9AO3G7","Dec 05 2013","03:19:34",8,1,"Same",1,"Novel76",1,"Novel76",1,1377,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,TRUE
"63","A164RBTU9AO3G7","Dec 05 2013","03:19:34",9,2,"Switch",1,"Novel46",3,"Novel79",2,2283,"eyesrightarrow","4","0","soc",0,1,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,FALSE
"68","A164RBTU9AO3G7","Dec 05 2013","03:19:34",5,0,"Switch",0,"Novel32",3,"Novel27",0,3337,"eyesdownrightarrow","4","0","soc",0,1,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,FALSE
"69","A164RBTU9AO3G7","Dec 05 2013","03:19:34",6,0,"Switch",0,"Novel109",2,"Novel27",0,3764,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 03:19:34),TRUE,TRUE,4,0,FALSE
"70","A164RBTU9AO3G7","Dec 05 2013","03:19:34",20,7,"Same",1,"Novel24",2,"Novel82",3,2684,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,FALSE
"71","A164RBTU9AO3G7","Dec 05 2013","03:19:34",12,3,"Same",0,"Novel83",3,"Novel135",1,3422,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,FALSE
"72","A164RBTU9AO3G7","Dec 05 2013","03:19:34",13,4,"Switch",1,"Novel58",2,"Novel140",0,1847,"eyesdownrightarrow","4","0","soc",0,1,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,FALSE
"73","A164RBTU9AO3G7","Dec 05 2013","03:19:34",10,2,"Switch",1,"Novel25",1,"Novel79",2,1808,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,FALSE
"74","A164RBTU9AO3G7","Dec 05 2013","03:19:34",11,3,"Same",0,"Novel135",1,"Novel135",1,4101,"eyesdownrightarrow","4","0","soc",0,1,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,TRUE
"75","A164RBTU9AO3G7","Dec 05 2013","03:19:34",16,5,"Same",0,"Novel6",0,"Novel39",1,2559,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,FALSE
"76","A164RBTU9AO3G7","Dec 05 2013","03:19:34",17,6,"Switch",0,"Novel37",2,"Novel81",1,1832,"eyesdownleftarrow","4","0","soc",0,1,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,FALSE
"77","A164RBTU9AO3G7","Dec 05 2013","03:19:34",14,4,"Switch",1,"Novel1",3,"Novel140",0,1342,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,FALSE
"78","A164RBTU9AO3G7","Dec 05 2013","03:19:34",15,5,"Same",0,"Novel39",1,"Novel39",1,3017,"eyesdownleftarrow","4","0","soc",0,1,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,TRUE
"79","A164RBTU9AO3G7","Dec 05 2013","03:19:34",18,6,"Switch",0,"Novel106",1,"Novel81",1,1892,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,FALSE
"80","A164RBTU9AO3G7","Dec 05 2013","03:19:34",19,7,"Same",1,"Novel82",3,"Novel82",3,3000,"eyesleftarrow","4","0","soc",0,1,(Dec 05 2013 03:19:34),TRUE,FALSE,4,0,TRUE
"81","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",15,6,"Same",1,"Novel118",0,"Novel118",0,1044,"eyesleftarrow","4","3","soc",0,1,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,TRUE
"82","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",16,7,"Switch",0,"Novel112",1,"Novel28",3,990,"eyesdownleftarrow","4","3","soc",0,1,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,FALSE
"83","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",14,5,"Switch",0,"Novel26",0,"Novel101",3,1119,"eyesleftarrow","4","3","soc",0,1,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,FALSE
"88","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",5,0,"Same",0,"Novel114",2,"Novel114",2,8178,"eyesrightarrow","4","3","soc",0,1,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,TRUE
"89","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",6,1,"Switch",1,"Novel54",1,"Novel34",0,5475,"eyesdownrightarrow","4","3","soc",0,1,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,FALSE
"90","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",7,2,"Same",1,"Novel64",0,"Novel64",0,2779,"eyesleftarrow","4","3","soc",0,1,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,TRUE
"91","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",8,3,"Switch",1,"Novel61",1,"Novel53",2,2076,"eyesdownleftarrow","4","3","soc",0,1,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,FALSE
"92","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",9,0,"Same",0,"Novel114",0,"Novel114",2,4858,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:25:05),TRUE,TRUE,4,3,TRUE
"93","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",10,1,"Switch",1,"Novel34",0,"Novel34",0,3354,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,TRUE
"94","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",11,2,"Same",1,"Novel78",2,"Novel64",0,1680,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,FALSE
"95","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",12,3,"Switch",1,"Novel76",1,"Novel53",2,2012,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,FALSE
"96","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",13,4,"Same",0,"Novel51",2,"Novel51",2,1199,"eyesdownrightarrow","4","3","soc",0,1,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,TRUE
"97","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",17,4,"Same",0,"Novel128",2,"Novel51",2,2058,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,FALSE
"98","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",18,5,"Switch",0,"Novel101",1,"Novel101",3,2045,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,TRUE
"99","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",19,6,"Same",1,"Novel118",0,"Novel118",0,1771,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,TRUE
"100","A16QWUZ58QTD5W","Jan 18 2014","15:25:05",20,7,"Switch",0,"Novel29",2,"Novel28",3,1371,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:25:05),TRUE,FALSE,4,3,FALSE
"101","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",6,0,"Switch",0,"Novel137",1,"Novel137",3,3859,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:00:56),TRUE,TRUE,4,0,TRUE
"102","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",7,1,"Same",0,"Novel86",1,"Novel86",1,4150,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,TRUE
"103","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",8,1,"Same",0,"Novel86",2,"Novel86",1,2075,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,TRUE
"104","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",9,2,"Switch",1,"Novel74",2,"Novel120",1,1935,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,FALSE
"109","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",5,0,"Switch",0,"Novel55",0,"Novel137",3,7082,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,FALSE
"110","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",19,7,"Same",1,"Novel123",2,"Novel123",2,1014,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,TRUE
"111","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",20,7,"Same",1,"Novel123",2,"Novel123",2,16,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,TRUE
"112","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",12,3,"Same",0,"Novel36",2,"Novel36",3,124,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,TRUE
"113","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",13,4,"Switch",1,"Novel121",0,"Novel85",2,1623,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,FALSE
"114","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",10,2,"Switch",1,"Novel31",0,"Novel120",1,1623,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,FALSE
"115","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",11,3,"Same",0,"Novel36",3,"Novel36",3,2761,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,TRUE
"116","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",16,5,"Same",1,"Novel20",2,"Novel20",2,109,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,TRUE
"117","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",17,6,"Switch",0,"Novel14",1,"Novel17",0,1606,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,FALSE
"118","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",14,4,"Switch",1,"Novel23",0,"Novel85",2,655,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,FALSE
"119","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",15,5,"Same",1,"Novel20",2,"Novel20",2,1342,"eyescenter","4","0","nosoc",0,1,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,TRUE
"120","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",18,6,"Switch",0,"Novel63",2,"Novel17",0,265,"eyescenter","4","0","nosoc",1,0,(Dec 02 2013 16:00:56),TRUE,FALSE,4,0,FALSE
"121","A18O959BLI9ZMM","Dec 05 2013","04:36:12",17,6,"Same",0,"Novel127",1,"Novel127",1,1513,"eyesdownleftarrow","4","0","soc",0,1,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,TRUE
"122","A18O959BLI9ZMM","Dec 05 2013","04:36:12",18,6,"Same",0,"Novel127",3,"Novel127",1,1685,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,TRUE
"123","A18O959BLI9ZMM","Dec 05 2013","04:36:12",15,5,"Switch",1,"Novel1",0,"Novel59",1,1560,"eyesleftarrow","4","0","soc",0,1,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,FALSE
"124","A18O959BLI9ZMM","Dec 05 2013","04:36:12",16,5,"Switch",1,"Novel94",2,"Novel59",1,1669,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,FALSE
"129","A18O959BLI9ZMM","Dec 05 2013","04:36:12",5,0,"Same",1,"Novel93",1,"Novel93",1,2168,"eyesdownleftarrow","4","0","soc",0,1,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,TRUE
"130","A18O959BLI9ZMM","Dec 05 2013","04:36:12",6,0,"Same",1,"Novel93",1,"Novel93",1,2216,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 04:36:12),TRUE,TRUE,4,0,TRUE
"131","A18O959BLI9ZMM","Dec 05 2013","04:36:12",7,1,"Switch",0,"Novel80",0,"Novel26",3,812,"eyesleftarrow","4","0","soc",0,1,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,FALSE
"132","A18O959BLI9ZMM","Dec 05 2013","04:36:12",8,1,"Switch",0,"Novel26",2,"Novel26",3,1996,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,TRUE
"133","A18O959BLI9ZMM","Dec 05 2013","04:36:12",9,2,"Same",0,"Novel47",3,"Novel47",3,2412,"eyesrightarrow","4","0","soc",0,1,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,TRUE
"134","A18O959BLI9ZMM","Dec 05 2013","04:36:12",10,2,"Same",0,"Novel47",2,"Novel47",3,671,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,TRUE
"135","A18O959BLI9ZMM","Dec 05 2013","04:36:12",11,3,"Switch",1,"Novel54",1,"Novel46",3,1201,"eyesdownleftarrow","4","0","soc",0,1,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,FALSE
"136","A18O959BLI9ZMM","Dec 05 2013","04:36:12",12,3,"Switch",1,"Novel56",2,"Novel46",3,1716,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,FALSE
"137","A18O959BLI9ZMM","Dec 05 2013","04:36:12",13,4,"Same",1,"Novel75",0,"Novel75",0,952,"eyesleftarrow","4","0","soc",0,1,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,TRUE
"138","A18O959BLI9ZMM","Dec 05 2013","04:36:12",14,4,"Same",1,"Novel5",1,"Novel75",0,1685,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,FALSE
"139","A18O959BLI9ZMM","Dec 05 2013","04:36:12",19,7,"Switch",0,"Novel9",2,"Novel17",0,1825,"eyesdownrightarrow","4","0","soc",0,1,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,FALSE
"140","A18O959BLI9ZMM","Dec 05 2013","04:36:12",20,7,"Switch",0,"Novel17",1,"Novel17",0,796,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 04:36:12),TRUE,FALSE,4,0,TRUE
"141","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",10,2,"Switch",1,"Novel32",1,"Novel97",2,4024,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 03:34:48),TRUE,FALSE,4,0,FALSE
"142","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",11,3,"Same",0,"Novel110",0,"Novel110",0,1244,"eyesleftarrow","4","0","soc",0,1,(Dec 05 2013 03:34:48),TRUE,FALSE,4,0,TRUE
"147","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",5,0,"Switch",0,"Novel138",3,"Novel2",1,2203,"eyesrightarrow","4","0","soc",0,1,(Dec 05 2013 03:34:48),TRUE,FALSE,4,0,FALSE
"148","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",6,0,"Switch",0,"Novel2",2,"Novel2",1,5218,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 03:34:48),TRUE,TRUE,4,0,TRUE
"149","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",7,1,"Same",0,"Novel56",3,"Novel56",3,2560,"eyesrightarrow","4","0","soc",0,1,(Dec 05 2013 03:34:48),TRUE,FALSE,4,0,TRUE
"150","A1BM57TUNAQIXM","Dec 05 2013","03:34:48",8,1,"Same",0,"Novel56",0,"Novel56",3,1299,"eyescenter2","4","0","soc",1,0,(Dec 05 2013 03:34:48),TRUE,FALSE,4,0,TRUE
