"","subid","submit.time","trial.num","condition","interval","numPic","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","exposureTrial","testTrial","exampleTrial","intervalNum","include","first.trial","numPicN","correct"
"11","A10EEFN0OZB72L","12:46:43",11,"Social","One",6,2,"Switch",1,"Novel53",0,"Novel73",4,1958,"eyescenter",-1,0,1,0,1,TRUE,FALSE,6,FALSE
"12","A10EEFN0OZB72L","12:46:43",12,"Social","One",6,3,"Same",1,"Novel61",1,"Novel61",1,1062,"eyescenter",-1,0,1,0,1,TRUE,FALSE,6,TRUE
"13","A10EEFN0OZB72L","12:46:43",13,"Social","One",6,4,"Switch",0,"Novel11",3,"Novel129",1,907,"eyes_down_left",1,1,0,0,1,TRUE,FALSE,6,FALSE
"14","A10EEFN0OZB72L","12:46:43",14,"Social","One",6,5,"Same",0,"Novel80",2,"Novel80",2,1476,"eyes_left",0,1,0,0,1,TRUE,FALSE,6,TRUE
"15","A10EEFN0OZB72L","12:46:43",15,"Social","One",6,4,"Switch",0,"Novel32",3,"Novel129",1,3257,"eyescenter",-1,0,1,0,1,TRUE,FALSE,6,FALSE
"16","A10EEFN0OZB72L","12:46:43",16,"Social","One",6,5,"Same",0,"Novel80",4,"Novel80",2,1276,"eyescenter",-1,0,1,0,1,TRUE,FALSE,6,TRUE
"17","A10EEFN0OZB72L","12:46:43",17,"Social","One",6,6,"Switch",1,"Novel24",4,"Novel85",5,857,"eyes_down_right",2,1,0,0,1,TRUE,FALSE,6,FALSE
"18","A10EEFN0OZB72L","12:46:43",18,"Social","One",6,7,"Same",0,"Novel58",2,"Novel58",2,1156,"eyes_left",0,1,0,0,1,TRUE,FALSE,6,TRUE
"19","A10EEFN0OZB72L","12:46:43",19,"Social","One",6,6,"Switch",1,"Novel137",4,"Novel85",5,1393,"eyescenter",-1,0,1,0,1,TRUE,FALSE,6,FALSE
"20","A10EEFN0OZB72L","12:46:43",20,"Social","One",6,7,"Same",0,"Novel58",0,"Novel58",2,2374,"eyescenter",-1,0,1,0,1,TRUE,FALSE,6,TRUE
"21","A11DPUCF844DPM","13:52:43",1,"Social","Zero",6,0,"Switch",1,"squirrel",3,"",0,1134,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"22","A11DPUCF844DPM","13:52:43",2,"Social","Zero",6,0,"Switch",1,"squirrel",1,"",0,1226,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"23","A11DPUCF844DPM","13:52:43",3,"Social","Zero",6,0,"Switch",1,"tomato",4,"",0,1281,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"24","A11DPUCF844DPM","13:52:43",4,"Social","Zero",6,0,"Switch",1,"tomato",0,"",0,3040,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"25","A11DPUCF844DPM","13:52:43",5,"Social","Zero",6,0,"Switch",1,"Novel102",4,"Novel119",1,2564,"eyes_down_right",2,1,0,0,0,TRUE,FALSE,6,FALSE
"26","A11DPUCF844DPM","13:52:43",6,"Social","Zero",6,0,"Switch",1,"Novel134",0,"Novel119",1,2820,"eyescenter",-1,0,1,0,0,TRUE,TRUE,6,FALSE
"27","A11DPUCF844DPM","13:52:43",7,"Social","Zero",6,1,"Same",0,"Novel8",5,"Novel8",5,2551,"eyes_right",3,1,0,0,0,TRUE,FALSE,6,TRUE
"28","A11DPUCF844DPM","13:52:43",8,"Social","Zero",6,1,"Same",0,"Novel8",4,"Novel8",5,833,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"29","A11DPUCF844DPM","13:52:43",9,"Social","Zero",6,2,"Switch",0,"Novel51",5,"Novel21",1,1135,"eyes_right",3,1,0,0,0,TRUE,FALSE,6,FALSE
"30","A11DPUCF844DPM","13:52:43",10,"Social","Zero",6,2,"Switch",0,"Novel30",1,"Novel21",1,5626,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,FALSE
"31","A11DPUCF844DPM","13:52:43",11,"Social","Zero",6,3,"Same",1,"Novel78",4,"Novel78",4,1734,"eyes_down_right",2,1,0,0,0,TRUE,FALSE,6,TRUE
"32","A11DPUCF844DPM","13:52:43",12,"Social","Zero",6,3,"Same",1,"Novel78",4,"Novel78",4,600,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"33","A11DPUCF844DPM","13:52:43",13,"Social","Zero",6,4,"Switch",0,"Novel111",0,"Novel94",3,1044,"eyes_left_90",4,1,0,0,0,TRUE,FALSE,6,FALSE
"34","A11DPUCF844DPM","13:52:43",14,"Social","Zero",6,4,"Switch",0,"Novel123",5,"Novel94",3,3489,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,FALSE
"35","A11DPUCF844DPM","13:52:43",15,"Social","Zero",6,5,"Same",1,"Novel67",1,"Novel67",1,1939,"eyes_right_90",5,1,0,0,0,TRUE,FALSE,6,TRUE
"36","A11DPUCF844DPM","13:52:43",16,"Social","Zero",6,5,"Same",1,"Novel67",1,"Novel67",1,538,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"37","A11DPUCF844DPM","13:52:43",17,"Social","Zero",6,6,"Switch",1,"Novel34",1,"Novel71",5,1668,"eyes_right_90",5,1,0,0,0,TRUE,FALSE,6,FALSE
"38","A11DPUCF844DPM","13:52:43",18,"Social","Zero",6,6,"Switch",1,"Novel93",2,"Novel71",5,983,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,FALSE
"39","A11DPUCF844DPM","13:52:43",19,"Social","Zero",6,7,"Same",0,"Novel80",1,"Novel80",1,805,"eyes_right_90",5,1,0,0,0,TRUE,FALSE,6,TRUE
"40","A11DPUCF844DPM","13:52:43",20,"Social","Zero",6,7,"Same",0,"Novel80",2,"Novel80",1,772,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"41","A11YOOX5ZN0Z9C","18:16:32",1,"Social","Zero",6,0,"Same",1,"squirrel",3,"",0,5334,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"42","A11YOOX5ZN0Z9C","18:16:32",2,"Social","Zero",6,0,"Same",1,"squirrel",1,"",0,7619,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"43","A11YOOX5ZN0Z9C","18:16:32",3,"Social","Zero",6,0,"Same",1,"tomato",4,"",0,1962,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"44","A11YOOX5ZN0Z9C","18:16:32",4,"Social","Zero",6,0,"Same",1,"tomato",0,"",0,1789,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"45","A11YOOX5ZN0Z9C","18:16:32",5,"Social","Zero",6,0,"Same",1,"Novel59",5,"Novel59",5,2789,"eyes_down_right",2,1,0,0,0,TRUE,FALSE,6,TRUE
"46","A11YOOX5ZN0Z9C","18:16:32",6,"Social","Zero",6,0,"Same",1,"Novel59",5,"Novel59",5,2064,"eyescenter",-1,0,1,0,0,TRUE,TRUE,6,TRUE
"47","A11YOOX5ZN0Z9C","18:16:32",7,"Social","Zero",6,1,"Switch",1,"Novel5",5,"Novel95",2,4293,"eyes_right",3,1,0,0,0,TRUE,FALSE,6,FALSE
"48","A11YOOX5ZN0Z9C","18:16:32",8,"Social","Zero",6,1,"Switch",1,"Novel95",2,"Novel95",2,6072,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"49","A11YOOX5ZN0Z9C","18:16:32",9,"Social","Zero",6,2,"Same",0,"Novel111",4,"Novel111",4,4217,"eyes_down_right",2,1,0,0,0,TRUE,FALSE,6,TRUE
"50","A11YOOX5ZN0Z9C","18:16:32",10,"Social","Zero",6,2,"Same",0,"Novel111",0,"Novel111",4,1668,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"51","A11YOOX5ZN0Z9C","18:16:32",11,"Social","Zero",6,3,"Switch",0,"Novel91",0,"Novel69",1,1583,"eyes_left_90",4,1,0,0,0,TRUE,FALSE,6,FALSE
"52","A11YOOX5ZN0Z9C","18:16:32",12,"Social","Zero",6,3,"Switch",0,"Novel128",4,"Novel69",1,3647,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,FALSE
"53","A11YOOX5ZN0Z9C","18:16:32",13,"Social","Zero",6,4,"Same",0,"Novel90",5,"Novel90",5,1859,"eyes_right",3,1,0,0,0,TRUE,FALSE,6,TRUE
"54","A11YOOX5ZN0Z9C","18:16:32",14,"Social","Zero",6,4,"Same",0,"Novel90",4,"Novel90",5,762,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"55","A11YOOX5ZN0Z9C","18:16:32",15,"Social","Zero",6,5,"Switch",1,"Novel7",2,"Novel17",5,2322,"eyes_left",0,1,0,0,0,TRUE,FALSE,6,FALSE
"56","A11YOOX5ZN0Z9C","18:16:32",16,"Social","Zero",6,5,"Switch",1,"Novel17",5,"Novel17",5,3881,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"57","A11YOOX5ZN0Z9C","18:16:32",17,"Social","Zero",6,6,"Same",1,"Novel6",0,"Novel6",0,1596,"eyes_left_90",4,1,0,0,0,TRUE,FALSE,6,TRUE
"58","A11YOOX5ZN0Z9C","18:16:32",18,"Social","Zero",6,6,"Same",1,"Novel6",0,"Novel6",0,471,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"59","A11YOOX5ZN0Z9C","18:16:32",19,"Social","Zero",6,7,"Switch",0,"Novel58",3,"Novel57",1,1606,"eyes_down_left",1,1,0,0,0,TRUE,FALSE,6,FALSE
"60","A11YOOX5ZN0Z9C","18:16:32",20,"Social","Zero",6,7,"Switch",0,"Novel135",5,"Novel57",1,3599,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,FALSE
"61","A123F7829DTAYZ","18:15:31",1,"Social","Seven",6,0,"Same",0,"squirrel",3,"",0,2472,"eyescenter",-1,0,0,1,7,TRUE,FALSE,6,FALSE
"62","A123F7829DTAYZ","18:15:31",2,"Social","Seven",6,0,"Same",0,"squirrel",1,"",0,1071,"eyescenter",-1,0,0,1,7,TRUE,FALSE,6,FALSE
"63","A123F7829DTAYZ","18:15:31",3,"Social","Seven",6,0,"Same",0,"tomato",4,"",0,1272,"eyescenter",-1,0,0,1,7,TRUE,FALSE,6,FALSE
"64","A123F7829DTAYZ","18:15:31",4,"Social","Seven",6,0,"Same",0,"tomato",0,"",0,1021,"eyescenter",-1,0,0,1,7,TRUE,FALSE,6,FALSE
"65","A123F7829DTAYZ","18:15:31",5,"Social","Seven",6,0,"Same",0,"Novel82",5,"Novel82",5,1924,"eyes_right",3,1,0,0,7,TRUE,FALSE,6,TRUE
"66","A123F7829DTAYZ","18:15:31",6,"Social","Seven",6,1,"Switch",1,"Novel89",5,"Novel138",0,1004,"eyes_right",3,1,0,0,7,TRUE,FALSE,6,FALSE
"67","A123F7829DTAYZ","18:15:31",7,"Social","Seven",6,2,"Same",1,"Novel9",1,"Novel9",1,926,"eyes_right_90",5,1,0,0,7,TRUE,FALSE,6,TRUE
"68","A123F7829DTAYZ","18:15:31",8,"Social","Seven",6,3,"Switch",1,"Novel77",2,"Novel99",0,1085,"eyes_left",0,1,0,0,7,TRUE,FALSE,6,FALSE
"69","A123F7829DTAYZ","18:15:31",9,"Social","Seven",6,4,"Same",1,"Novel35",1,"Novel35",1,611,"eyes_right_90",5,1,0,0,7,TRUE,FALSE,6,TRUE
"70","A123F7829DTAYZ","18:15:31",10,"Social","Seven",6,5,"Switch",0,"Novel66",4,"Novel136",2,560,"eyes_down_right",2,1,0,0,7,TRUE,FALSE,6,FALSE
"71","A123F7829DTAYZ","18:15:31",11,"Social","Seven",6,6,"Same",0,"Novel98",3,"Novel98",3,257,"eyes_down_left",1,1,0,0,7,TRUE,FALSE,6,TRUE
"72","A123F7829DTAYZ","18:15:31",12,"Social","Seven",6,7,"Switch",0,"Novel57",3,"Novel49",4,155,"eyes_down_left",1,1,0,0,7,TRUE,FALSE,6,FALSE
"73","A123F7829DTAYZ","18:15:31",13,"Social","Seven",6,0,"Same",0,"Novel82",3,"Novel82",5,1242,"eyescenter",-1,0,1,0,7,TRUE,TRUE,6,TRUE
"74","A123F7829DTAYZ","18:15:31",14,"Social","Seven",6,1,"Switch",1,"Novel17",3,"Novel138",0,3813,"eyescenter",-1,0,1,0,7,TRUE,FALSE,6,FALSE
"75","A123F7829DTAYZ","18:15:31",15,"Social","Seven",6,2,"Same",1,"Novel9",1,"Novel9",1,3459,"eyescenter",-1,0,1,0,7,TRUE,FALSE,6,TRUE
"76","A123F7829DTAYZ","18:15:31",16,"Social","Seven",6,3,"Switch",1,"Novel122",5,"Novel99",0,4737,"eyescenter",-1,0,1,0,7,TRUE,FALSE,6,FALSE
"77","A123F7829DTAYZ","18:15:31",17,"Social","Seven",6,4,"Same",1,"Novel106",2,"Novel35",1,3917,"eyescenter",-1,0,1,0,7,TRUE,FALSE,6,FALSE
"78","A123F7829DTAYZ","18:15:31",18,"Social","Seven",6,5,"Switch",0,"Novel15",2,"Novel136",2,2415,"eyescenter",-1,0,1,0,7,TRUE,FALSE,6,FALSE
"79","A123F7829DTAYZ","18:15:31",19,"Social","Seven",6,6,"Same",0,"Novel36",5,"Novel98",3,1932,"eyescenter",-1,0,1,0,7,TRUE,FALSE,6,FALSE
"80","A123F7829DTAYZ","18:15:31",20,"Social","Seven",6,7,"Switch",0,"Novel25",3,"Novel49",4,2262,"eyescenter",-1,0,1,0,7,TRUE,FALSE,6,FALSE
"81","A12C1M9UZ1DZ9H","21:55:12",1,"Social","Zero",6,0,"Switch",0,"squirrel",3,"",0,2568,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"82","A12C1M9UZ1DZ9H","21:55:12",2,"Social","Zero",6,0,"Switch",0,"squirrel",1,"",0,2461,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"83","A12C1M9UZ1DZ9H","21:55:12",3,"Social","Zero",6,0,"Switch",0,"tomato",4,"",0,3531,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"84","A12C1M9UZ1DZ9H","21:55:12",4,"Social","Zero",6,0,"Switch",0,"tomato",0,"",0,6032,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"85","A12C1M9UZ1DZ9H","21:55:12",5,"Social","Zero",6,0,"Switch",0,"Novel140",0,"Novel9",2,8300,"eyes_left_90",4,1,0,0,0,TRUE,FALSE,6,FALSE
"86","A12C1M9UZ1DZ9H","21:55:12",6,"Social","Zero",6,0,"Switch",0,"Novel62",5,"Novel9",2,7278,"eyescenter",-1,0,1,0,0,TRUE,TRUE,6,FALSE
"87","A12C1M9UZ1DZ9H","21:55:12",7,"Social","Zero",6,1,"Same",0,"Novel125",0,"Novel125",0,9421,"eyes_left_90",4,1,0,0,0,TRUE,FALSE,6,TRUE
"88","A12C1M9UZ1DZ9H","21:55:12",8,"Social","Zero",6,1,"Same",0,"Novel125",1,"Novel125",0,1398,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"89","A12C1M9UZ1DZ9H","21:55:12",9,"Social","Zero",6,2,"Switch",0,"Novel34",3,"Novel1",1,2601,"eyes_down_left",1,1,0,0,0,TRUE,FALSE,6,FALSE
"90","A12C1M9UZ1DZ9H","21:55:12",10,"Social","Zero",6,2,"Switch",0,"Novel124",1,"Novel1",1,9689,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,FALSE
"91","A12C1M9UZ1DZ9H","21:55:12",11,"Social","Zero",6,3,"Same",0,"Novel30",3,"Novel30",3,2522,"eyes_down_left",1,1,0,0,0,TRUE,FALSE,6,TRUE
"92","A12C1M9UZ1DZ9H","21:55:12",12,"Social","Zero",6,3,"Same",0,"Novel30",2,"Novel30",3,2031,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"93","A12C1M9UZ1DZ9H","21:55:12",13,"Social","Zero",6,4,"Switch",1,"Novel47",0,"Novel77",2,2247,"eyes_left_90",4,1,0,0,0,TRUE,FALSE,6,FALSE
"94","A12C1M9UZ1DZ9H","21:55:12",14,"Social","Zero",6,4,"Switch",1,"Novel89",1,"Novel77",2,8010,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,FALSE
"95","A12C1M9UZ1DZ9H","21:55:12",15,"Social","Zero",6,5,"Same",1,"Novel99",1,"Novel99",1,2049,"eyes_right_90",5,1,0,0,0,TRUE,FALSE,6,TRUE
"96","A12C1M9UZ1DZ9H","21:55:12",16,"Social","Zero",6,5,"Same",1,"Novel99",1,"Novel99",1,1048,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"97","A12C1M9UZ1DZ9H","21:55:12",17,"Social","Zero",6,6,"Switch",1,"Novel32",0,"Novel84",4,1735,"eyes_left_90",4,1,0,0,0,TRUE,FALSE,6,FALSE
"98","A12C1M9UZ1DZ9H","21:55:12",18,"Social","Zero",6,6,"Switch",1,"Novel23",1,"Novel84",4,1870,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,FALSE
"99","A12C1M9UZ1DZ9H","21:55:12",19,"Social","Zero",6,7,"Same",1,"Novel110",1,"Novel110",1,1568,"eyes_right_90",5,1,0,0,0,TRUE,FALSE,6,TRUE
"100","A12C1M9UZ1DZ9H","21:55:12",20,"Social","Zero",6,7,"Same",1,"Novel110",1,"Novel110",1,700,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"101","A12MSYRHI3XWDT","18:59:12",1,"Social","Three",6,0,"Same",1,"squirrel",3,"",0,2253,"eyescenter",-1,0,0,1,3,TRUE,FALSE,6,FALSE
"102","A12MSYRHI3XWDT","18:59:12",2,"Social","Three",6,0,"Same",1,"squirrel",1,"",0,1067,"eyescenter",-1,0,0,1,3,TRUE,FALSE,6,FALSE
"103","A12MSYRHI3XWDT","18:59:12",3,"Social","Three",6,0,"Same",1,"tomato",4,"",0,1631,"eyescenter",-1,0,0,1,3,TRUE,FALSE,6,FALSE
"104","A12MSYRHI3XWDT","18:59:12",4,"Social","Three",6,0,"Same",1,"tomato",0,"",0,1448,"eyescenter",-1,0,0,1,3,TRUE,FALSE,6,FALSE
"105","A12MSYRHI3XWDT","18:59:12",5,"Social","Three",6,0,"Same",1,"Novel7",3,"Novel7",3,4490,"eyes_down_left",1,1,0,0,3,TRUE,FALSE,6,TRUE
"106","A12MSYRHI3XWDT","18:59:12",6,"Social","Three",6,1,"Switch",1,"Novel34",3,"Novel133",0,2359,"eyes_down_left",1,1,0,0,3,TRUE,FALSE,6,FALSE
"107","A12MSYRHI3XWDT","18:59:12",7,"Social","Three",6,2,"Same",1,"Novel36",3,"Novel36",3,4212,"eyes_down_left",1,1,0,0,3,TRUE,FALSE,6,TRUE
"108","A12MSYRHI3XWDT","18:59:12",8,"Social","Three",6,3,"Switch",0,"Novel126",2,"Novel42",5,1574,"eyes_left",0,1,0,0,3,TRUE,FALSE,6,FALSE
"109","A12MSYRHI3XWDT","18:59:12",9,"Social","Three",6,0,"Same",1,"Novel7",3,"Novel7",3,1816,"eyescenter",-1,0,1,0,3,TRUE,TRUE,6,TRUE
"110","A12MSYRHI3XWDT","18:59:12",10,"Social","Three",6,1,"Switch",1,"Novel111",4,"Novel133",0,4387,"eyescenter",-1,0,1,0,3,TRUE,FALSE,6,FALSE
"111","A12MSYRHI3XWDT","18:59:12",11,"Social","Three",6,2,"Same",1,"Novel106",2,"Novel36",3,10261,"eyescenter",-1,0,1,0,3,TRUE,FALSE,6,FALSE
"112","A12MSYRHI3XWDT","18:59:12",12,"Social","Three",6,3,"Switch",0,"Novel24",4,"Novel42",5,3285,"eyescenter",-1,0,1,0,3,TRUE,FALSE,6,FALSE
"113","A12MSYRHI3XWDT","18:59:12",13,"Social","Three",6,4,"Same",0,"Novel70",4,"Novel70",4,1160,"eyes_down_right",2,1,0,0,3,TRUE,FALSE,6,TRUE
"114","A12MSYRHI3XWDT","18:59:12",14,"Social","Three",6,5,"Switch",0,"Novel84",0,"Novel123",5,437,"eyes_left_90",4,1,0,0,3,TRUE,FALSE,6,FALSE
"115","A12MSYRHI3XWDT","18:59:12",15,"Social","Three",6,6,"Same",0,"Novel3",2,"Novel3",2,1161,"eyes_left",0,1,0,0,3,TRUE,FALSE,6,TRUE
"116","A12MSYRHI3XWDT","18:59:12",16,"Social","Three",6,7,"Switch",1,"Novel40",1,"Novel121",2,1495,"eyes_right_90",5,1,0,0,3,TRUE,FALSE,6,FALSE
"117","A12MSYRHI3XWDT","18:59:12",17,"Social","Three",6,4,"Same",0,"Novel15",4,"Novel70",4,3674,"eyescenter",-1,0,1,0,3,TRUE,FALSE,6,FALSE
"118","A12MSYRHI3XWDT","18:59:12",18,"Social","Three",6,5,"Switch",0,"Novel25",3,"Novel123",5,2633,"eyescenter",-1,0,1,0,3,TRUE,FALSE,6,FALSE
"119","A12MSYRHI3XWDT","18:59:12",19,"Social","Three",6,6,"Same",0,"Novel3",0,"Novel3",2,4922,"eyescenter",-1,0,1,0,3,TRUE,FALSE,6,TRUE
"120","A12MSYRHI3XWDT","18:59:12",20,"Social","Three",6,7,"Switch",1,"Novel63",5,"Novel121",2,4820,"eyescenter",-1,0,1,0,3,TRUE,FALSE,6,FALSE
"121","A12ZPHBEIHN8U7","09:36:11",1,"No-Social","Zero",6,0,"Same",1,"squirrel",3,"",0,1346,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"122","A12ZPHBEIHN8U7","09:36:11",2,"No-Social","Zero",6,0,"Same",1,"squirrel",1,"",0,1123,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"123","A12ZPHBEIHN8U7","09:36:11",3,"No-Social","Zero",6,0,"Same",1,"tomato",4,"",0,961,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"124","A12ZPHBEIHN8U7","09:36:11",4,"No-Social","Zero",6,0,"Same",1,"tomato",0,"",0,969,"eyescenter",-1,0,0,1,0,TRUE,FALSE,6,FALSE
"125","A12ZPHBEIHN8U7","09:36:11",5,"No-Social","Zero",6,0,"Same",1,"Novel114",2,"Novel114",2,3852,"eyescenter",-1,1,0,0,0,TRUE,FALSE,6,TRUE
"126","A12ZPHBEIHN8U7","09:36:11",6,"No-Social","Zero",6,0,"Same",1,"Novel114",2,"Novel114",2,2186,"eyescenter",-1,0,1,0,0,TRUE,TRUE,6,TRUE
"127","A12ZPHBEIHN8U7","09:36:11",7,"No-Social","Zero",6,1,"Switch",0,"Novel87",3,"Novel126",0,5137,"eyescenter",-1,1,0,0,0,TRUE,FALSE,6,FALSE
"128","A12ZPHBEIHN8U7","09:36:11",8,"No-Social","Zero",6,1,"Switch",0,"Novel28",0,"Novel126",0,5514,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,FALSE
"129","A12ZPHBEIHN8U7","09:36:11",9,"No-Social","Zero",6,2,"Same",0,"Novel89",3,"Novel89",3,2988,"eyescenter",-1,1,0,0,0,TRUE,FALSE,6,TRUE
"130","A12ZPHBEIHN8U7","09:36:11",10,"No-Social","Zero",6,2,"Same",0,"Novel89",5,"Novel89",3,1572,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"131","A12ZPHBEIHN8U7","09:36:11",11,"No-Social","Zero",6,3,"Switch",1,"Novel92",3,"Novel111",0,3371,"eyescenter",-1,1,0,0,0,TRUE,FALSE,6,FALSE
"132","A12ZPHBEIHN8U7","09:36:11",12,"No-Social","Zero",6,3,"Switch",1,"Novel31",4,"Novel111",0,5085,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,FALSE
"133","A12ZPHBEIHN8U7","09:36:11",13,"No-Social","Zero",6,4,"Same",1,"Novel30",5,"Novel30",5,3001,"eyescenter",-1,1,0,0,0,TRUE,FALSE,6,TRUE
"134","A12ZPHBEIHN8U7","09:36:11",14,"No-Social","Zero",6,4,"Same",1,"Novel30",5,"Novel30",5,1459,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"135","A12ZPHBEIHN8U7","09:36:11",15,"No-Social","Zero",6,5,"Switch",0,"Novel134",3,"Novel40",2,4822,"eyescenter",-1,1,0,0,0,TRUE,FALSE,6,FALSE
"136","A12ZPHBEIHN8U7","09:36:11",16,"No-Social","Zero",6,5,"Switch",0,"Novel73",5,"Novel40",2,4179,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,FALSE
"137","A12ZPHBEIHN8U7","09:36:11",17,"No-Social","Zero",6,6,"Same",0,"Novel27",1,"Novel27",1,1817,"eyescenter",-1,1,0,0,0,TRUE,FALSE,6,TRUE
"138","A12ZPHBEIHN8U7","09:36:11",18,"No-Social","Zero",6,6,"Same",0,"Novel27",0,"Novel27",1,970,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"139","A12ZPHBEIHN8U7","09:36:11",19,"No-Social","Zero",6,7,"Switch",1,"Novel132",2,"Novel82",0,2835,"eyescenter",-1,1,0,0,0,TRUE,FALSE,6,FALSE
"140","A12ZPHBEIHN8U7","09:36:11",20,"No-Social","Zero",6,7,"Switch",1,"Novel82",0,"Novel82",0,2349,"eyescenter",-1,0,1,0,0,TRUE,FALSE,6,TRUE
"141","A13J6BEMIPNEH6","20:45:36",1,"Social","Three",6,0,"Switch",0,"squirrel",3,"",0,3430,"eyescenter",-1,0,0,1,3,TRUE,FALSE,6,FALSE
"142","A13J6BEMIPNEH6","20:45:36",2,"Social","Three",6,0,"Switch",0,"squirrel",1,"",0,1860,"eyescenter",-1,0,0,1,3,TRUE,FALSE,6,FALSE
