"","subid","submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","exposureTrial","testTrial","exampleTrial","day.and.time","intervalNum","include","first.trial","numPicN","correct"
"39","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",19,"Short","No-social","Zero",4,"Chrome",7,"Same",0,"Novel22",0,"Novel22",0,5996,"straightahead",-1,1,0,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,TRUE
"40","A13BDQ7J8MNP40","Jul 15 2014","19:57:58",20,"Short","No-social","Zero",4,"Chrome",7,"Same",0,"Novel22",3,"Novel22",0,1338,"straightahead",-1,0,1,0,(Jul 15 2014 19:57:58),0,TRUE,FALSE,4,TRUE
"41","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",1,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,4395,"straightahead",-1,0,0,1,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,FALSE
"42","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",2,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,676,"straightahead",-1,0,0,1,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,FALSE
"43","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",3,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"tomato",1,"",0,726,"straightahead",-1,0,0,1,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,FALSE
"44","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",4,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"tomato",2,"",0,75,"straightahead",-1,0,0,1,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,FALSE
"45","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",5,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"Novel131",2,"Novel135",1,846,"straightahead",-1,1,0,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,FALSE
"46","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",6,"Short","No-social","Zero",4,"Chrome",0,"Switch",1,"Novel135",1,"Novel135",1,504,"straightahead",-1,0,1,0,(Jul 15 2014 22:10:06),0,TRUE,TRUE,4,TRUE
"47","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",7,"Short","No-social","Zero",4,"Chrome",1,"Same",1,"Novel82",0,"Novel82",0,827,"straightahead",-1,1,0,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,TRUE
"48","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",8,"Short","No-social","Zero",4,"Chrome",1,"Same",1,"Novel82",0,"Novel82",0,151,"straightahead",-1,0,1,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,TRUE
"49","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",9,"Short","No-social","Zero",4,"Chrome",2,"Switch",0,"Novel83",2,"Novel23",1,1039,"straightahead",-1,1,0,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,FALSE
"50","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",10,"Short","No-social","Zero",4,"Chrome",2,"Switch",0,"Novel94",1,"Novel23",1,489,"straightahead",-1,0,1,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,FALSE
"51","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",11,"Short","No-social","Zero",4,"Chrome",3,"Same",1,"Novel12",3,"Novel12",3,880,"straightahead",-1,1,0,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,TRUE
"52","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",12,"Short","No-social","Zero",4,"Chrome",3,"Same",1,"Novel12",3,"Novel12",3,1268,"straightahead",-1,0,1,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,TRUE
"53","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",13,"Short","No-social","Zero",4,"Chrome",4,"Switch",1,"Novel101",1,"Novel74",0,961,"straightahead",-1,1,0,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,FALSE
"54","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",14,"Short","No-social","Zero",4,"Chrome",4,"Switch",1,"Novel74",0,"Novel74",0,1135,"straightahead",-1,0,1,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,TRUE
"55","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",15,"Short","No-social","Zero",4,"Chrome",5,"Same",0,"Novel34",3,"Novel34",3,172,"straightahead",-1,1,0,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,TRUE
"56","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",16,"Short","No-social","Zero",4,"Chrome",5,"Same",0,"Novel34",2,"Novel34",3,32,"straightahead",-1,0,1,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,TRUE
"57","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",17,"Short","No-social","Zero",4,"Chrome",6,"Switch",0,"Novel19",3,"Novel30",2,50,"straightahead",-1,1,0,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,FALSE
"58","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",18,"Short","No-social","Zero",4,"Chrome",6,"Switch",0,"Novel30",0,"Novel30",2,99,"straightahead",-1,0,1,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,TRUE
"59","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",19,"Short","No-social","Zero",4,"Chrome",7,"Same",0,"Novel71",0,"Novel71",0,134,"straightahead",-1,1,0,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,TRUE
"60","A1A13DW7P0TSX2","Jul 15 2014","22:10:06",20,"Short","No-social","Zero",4,"Chrome",7,"Same",0,"Novel71",2,"Novel71",0,79,"straightahead",-1,0,1,0,(Jul 15 2014 22:10:06),0,TRUE,FALSE,4,TRUE
"61","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",1,"Short","No-social","Zero",4,"Safari",0,"Same",1,"squirrel",0,"",0,7383,"straightahead",-1,0,0,1,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"62","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",2,"Short","No-social","Zero",4,"Safari",0,"Same",1,"squirrel",0,"",0,1832,"straightahead",-1,0,0,1,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"63","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",3,"Short","No-social","Zero",4,"Safari",0,"Same",1,"tomato",1,"",0,1890,"straightahead",-1,0,0,1,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"64","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",4,"Short","No-social","Zero",4,"Safari",0,"Same",1,"tomato",2,"",0,30,"straightahead",-1,0,0,1,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"65","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",5,"Short","No-social","Zero",4,"Safari",0,"Same",1,"Novel49",0,"Novel49",0,101,"straightahead",-1,1,0,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,TRUE
"66","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",6,"Short","No-social","Zero",4,"Safari",0,"Same",1,"Novel49",0,"Novel49",0,732,"straightahead",-1,0,1,0,(Jul 15 2014 09:29:01),0,TRUE,TRUE,4,TRUE
"67","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",7,"Short","No-social","Zero",4,"Safari",1,"Switch",1,"Novel136",3,"Novel3",0,764,"straightahead",-1,1,0,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"68","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",8,"Short","No-social","Zero",4,"Safari",1,"Switch",1,"Novel35",1,"Novel3",0,729,"straightahead",-1,0,1,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"69","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",9,"Short","No-social","Zero",4,"Safari",2,"Same",0,"Novel86",2,"Novel86",2,520,"straightahead",-1,1,0,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,TRUE
"70","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",10,"Short","No-social","Zero",4,"Safari",2,"Same",0,"Novel17",2,"Novel86",2,224,"straightahead",-1,0,1,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"71","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",11,"Short","No-social","Zero",4,"Safari",3,"Switch",1,"Novel22",0,"Novel84",1,1029,"straightahead",-1,1,0,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"72","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",12,"Short","No-social","Zero",4,"Safari",3,"Switch",1,"Novel84",1,"Novel84",1,143,"straightahead",-1,0,1,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,TRUE
"73","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",13,"Short","No-social","Zero",4,"Safari",4,"Same",1,"Novel36",0,"Novel36",0,357,"straightahead",-1,1,0,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,TRUE
"74","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",14,"Short","No-social","Zero",4,"Safari",4,"Same",1,"Novel71",2,"Novel36",0,556,"straightahead",-1,0,1,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"75","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",15,"Short","No-social","Zero",4,"Safari",5,"Switch",0,"Novel74",1,"Novel45",0,69,"straightahead",-1,1,0,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"76","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",16,"Short","No-social","Zero",4,"Safari",5,"Switch",0,"Novel45",1,"Novel45",0,606,"straightahead",-1,0,1,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,TRUE
"77","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",17,"Short","No-social","Zero",4,"Safari",6,"Same",0,"Novel134",1,"Novel134",1,441,"straightahead",-1,1,0,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,TRUE
"78","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",18,"Short","No-social","Zero",4,"Safari",6,"Same",0,"Novel134",3,"Novel134",1,346,"straightahead",-1,0,1,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,TRUE
"79","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",19,"Short","No-social","Zero",4,"Safari",7,"Switch",0,"Novel100",0,"Novel120",3,319,"straightahead",-1,1,0,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"80","A1AHDDD2BRFT6G","Jul 15 2014","09:29:01",20,"Short","No-social","Zero",4,"Safari",7,"Switch",0,"Novel127",0,"Novel120",3,139,"straightahead",-1,0,1,0,(Jul 15 2014 09:29:01),0,TRUE,FALSE,4,FALSE
"81","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",1,"Short","No-social","Zero",4,"Chrome",0,"Switch",0,"squirrel",0,"",0,936,"straightahead",-1,0,0,1,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,FALSE
"82","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",2,"Short","No-social","Zero",4,"Chrome",0,"Switch",0,"squirrel",0,"",0,399,"straightahead",-1,0,0,1,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,FALSE
"83","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",3,"Short","No-social","Zero",4,"Chrome",0,"Switch",0,"tomato",1,"",0,516,"straightahead",-1,0,0,1,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,FALSE
"84","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",4,"Short","No-social","Zero",4,"Chrome",0,"Switch",0,"tomato",2,"",0,464,"straightahead",-1,0,0,1,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,FALSE
"85","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",5,"Short","No-social","Zero",4,"Chrome",0,"Switch",0,"Novel17",0,"Novel99",1,8358,"straightahead",-1,1,0,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,FALSE
"86","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",6,"Short","No-social","Zero",4,"Chrome",0,"Switch",0,"Novel99",3,"Novel99",1,463,"straightahead",-1,0,1,0,(Jul 15 2014 10:49:45),0,TRUE,TRUE,4,TRUE
"87","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",7,"Short","No-social","Zero",4,"Chrome",1,"Same",0,"Novel74",1,"Novel74",1,450,"straightahead",-1,1,0,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,TRUE
"88","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",8,"Short","No-social","Zero",4,"Chrome",1,"Same",0,"Novel74",0,"Novel74",1,356,"straightahead",-1,0,1,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,TRUE
"89","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",9,"Short","No-social","Zero",4,"Chrome",2,"Switch",0,"Novel90",0,"Novel61",3,184,"straightahead",-1,1,0,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,FALSE
"90","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",10,"Short","No-social","Zero",4,"Chrome",2,"Switch",0,"Novel61",0,"Novel61",3,74,"straightahead",-1,0,1,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,TRUE
"91","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",11,"Short","No-social","Zero",4,"Chrome",3,"Same",0,"Novel21",0,"Novel21",0,56,"straightahead",-1,1,0,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,TRUE
"92","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",12,"Short","No-social","Zero",4,"Chrome",3,"Same",0,"Novel21",3,"Novel21",0,1565,"straightahead",-1,0,1,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,TRUE
"93","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",13,"Short","No-social","Zero",4,"Chrome",4,"Switch",1,"Novel44",1,"Novel126",0,614,"straightahead",-1,1,0,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,FALSE
"94","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",14,"Short","No-social","Zero",4,"Chrome",4,"Switch",1,"Novel126",0,"Novel126",0,112,"straightahead",-1,0,1,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,TRUE
"95","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",15,"Short","No-social","Zero",4,"Chrome",5,"Same",1,"Novel15",1,"Novel15",1,115,"straightahead",-1,1,0,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,TRUE
"96","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",16,"Short","No-social","Zero",4,"Chrome",5,"Same",1,"Novel15",1,"Novel15",1,61,"straightahead",-1,0,1,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,TRUE
"97","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",17,"Short","No-social","Zero",4,"Chrome",6,"Switch",1,"Novel4",0,"Novel121",3,278,"straightahead",-1,1,0,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,FALSE
"98","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",18,"Short","No-social","Zero",4,"Chrome",6,"Switch",1,"Novel71",0,"Novel121",3,317,"straightahead",-1,0,1,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,FALSE
"99","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",19,"Short","No-social","Zero",4,"Chrome",7,"Same",1,"Novel34",1,"Novel34",1,1369,"straightahead",-1,1,0,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,TRUE
"100","A1AOP08MELJZPZ","Jul 15 2014","10:49:45",20,"Short","No-social","Zero",4,"Chrome",7,"Same",1,"Novel130",2,"Novel34",1,4516,"straightahead",-1,0,1,0,(Jul 15 2014 10:49:45),0,TRUE,FALSE,4,FALSE
"101","A1BDJFRSELMRDT","Jul 15 2014","20:43:00",1,"Short","Social","Zero",4,"Chrome",0,"Same",1,"squirrel",0,"",0,9378,"straightahead",-1,0,0,1,(Jul 15 2014 20:43:00),0,TRUE,FALSE,4,FALSE
"102","A1BDJFRSELMRDT","Jul 15 2014","20:43:00",2,"Short","Social","Zero",4,"Chrome",0,"Same",1,"squirrel",0,"",0,383,"straightahead",-1,0,0,1,(Jul 15 2014 20:43:00),0,TRUE,FALSE,4,FALSE
"103","A1BDJFRSELMRDT","Jul 15 2014","20:43:00",3,"Short","Social","Zero",4,"Chrome",0,"Same",1,"tomato",1,"",0,678,"straightahead",-1,0,0,1,(Jul 15 2014 20:43:00),0,TRUE,FALSE,4,FALSE
"104","A1BDJFRSELMRDT","Jul 15 2014","20:43:00",4,"Short","Social","Zero",4,"Chrome",0,"Same",1,"tomato",2,"",0,647,"straightahead",-1,0,0,1,(Jul 15 2014 20:43:00),0,TRUE,FALSE,4,FALSE
"105","A1BDJFRSELMRDT","Jul 15 2014","20:43:00",5,"Short","Social","Zero",4,"Chrome",0,"Same",1,"Novel102",2,"Novel102",2,2994,"silentLUshort",1,1,0,0,(Jul 15 2014 20:43:00),0,TRUE,FALSE,4,TRUE
"106","A1BDJFRSELMRDT","Jul 15 2014","20:43:00",6,"Short","Social","Zero",4,"Chrome",0,"Same",1,"Novel102",2,"Novel102",2,1509,"straightahead",-1,0,1,0,(Jul 15 2014 20:43:00),0,TRUE,TRUE,4,TRUE
