subid,gender,age,age_bin,condition,trial,itemNum,trialType,samePos,chosen,chosen_idx,kept,kept_idx,rt,faceVid,faceIdx,trial_cat,correct,include,version_expt,condition_expt,trial_type_redo,chosen_exposure,kept_exposure,correct_exposure,faceVid_expo,faceVid_expo_idx
4,f,4.77,4,Social,4,0,1,1,Novel19,0,Novel19,0,3707,LDkidslonger,0,test,TRUE,0,pilot,social,Same,Novel19,Novel19,TRUE,NA,NA
4,f,4.77,4,Social,6,1,1,0,Novel26,1,Novel26,0,1165,RDkidslonger,1,test,TRUE,0,pilot,social,Same,Novel26,Novel26,FALSE,NA,NA
4,f,4.77,4,Social,8,2,2,0,Novel21,0,Novel21,1,1166,RDkidslonger,1,test,TRUE,0,pilot,social,Same,Novel21,Novel21,TRUE,NA,NA
4,f,4.77,4,Social,10,3,2,1,Novel24,1,Novel24,1,2029,LDkidslonger,0,test,TRUE,0,pilot,social,Same,Novel24,Novel24,FALSE,NA,NA
4,f,4.77,4,Social,12,4,1,[undefined],Novel23,1,Novel23,0,7442,RDkidslonger,1,test,TRUE,0,pilot,social,Switch,Novel17,Novel23,TRUE,NA,NA
4,f,4.77,4,Social,14,5,2,[undefined],Novel18,1,Novel18,0,1341,RDkidslonger,1,test,TRUE,0,pilot,social,Same,Novel18,Novel18,FALSE,NA,NA
5,f,5.19,5,Social,4,0,1,1,Novel12,1,Novel28,0,13488,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel26,Novel28,TRUE,NA,NA
5,f,5.19,5,Social,6,1,1,0,Novel17,1,Novel17,0,2751,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel17,Novel17,TRUE,NA,NA
5,f,5.19,5,Social,8,2,2,1,Novel14,1,Novel23,0,1472,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel13,Novel23,TRUE,NA,NA
5,f,5.19,5,Social,10,3,2,0,Novel24,0,Novel24,1,1047,LDkidslonger,0,test,TRUE,1,v1,social,Switch,Novel9,Novel24,TRUE,NA,NA
5,f,5.19,5,Social,12,4,1,1,Novel15,1,Novel18,0,1341,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel16,Novel18,TRUE,NA,NA
5,f,5.19,5,Social,14,5,2,0,Novel5,0,Novel5,1,7918,LDkidslonger,0,test,TRUE,1,v1,social,Switch,Novel22,Novel5,TRUE,NA,NA
6,m,5.16,5,Social,4,0,1,1,Novel17,0,Novel17,0,1836,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel17,Novel17,TRUE,NA,NA
6,m,5.16,5,Social,6,1,1,0,Novel6,1,Novel6,0,4917,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel6,Novel6,TRUE,NA,NA
6,m,5.16,5,Social,8,2,2,1,Novel28,0,Novel3,1,3092,LDkidslonger,0,test,FALSE,1,v1,social,Switch,Novel7,Novel3,TRUE,NA,NA
6,m,5.16,5,Social,10,3,2,0,Novel10,1,Novel10,0,1827,RDkidslonger,1,test,TRUE,1,v1,social,Switch,Novel4,Novel10,TRUE,NA,NA
6,m,5.16,5,Social,12,4,1,1,Novel15,0,Novel15,0,441,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel15,Novel15,TRUE,NA,NA
6,m,5.16,5,Social,14,5,2,0,Novel16,0,Novel16,1,2080,RDkidslonger,1,test,TRUE,1,v1,social,Same,Novel16,Novel16,TRUE,NA,NA
7,f,4.67,4,Social,4,0,1,1,Novel16,1,Novel28,0,1916,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel5,Novel28,TRUE,NA,NA
7,f,4.67,4,Social,6,1,1,0,Novel13,0,Novel14,0,1155,RDkidslonger,1,test,FALSE,1,v1,social,Same,Novel14,Novel14,FALSE,NA,NA
7,f,4.67,4,Social,8,2,2,0,Novel11,0,Novel11,1,2023,LDkidslonger,0,test,TRUE,1,v1,social,Switch,Novel21,Novel11,TRUE,NA,NA
7,f,4.67,4,Social,10,3,2,1,Novel17,0,Novel17,0,867,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel17,Novel17,TRUE,NA,NA
7,f,4.67,4,Social,12,4,1,1,Novel12,0,Novel12,0,1209,RDkidslonger,1,test,TRUE,1,v1,social,Switch,Novel22,Novel12,TRUE,NA,NA
7,f,4.67,4,Social,14,5,2,0,Novel6,1,Novel19,1,1881,RDkidslonger,1,test,FALSE,1,v1,social,Same,Novel19,Novel19,TRUE,NA,NA
8,f,4.05,4,Social,4,0,1,0,Novel19,1,Novel19,0,4361,RDkidslonger,1,test,TRUE,1,v1,social,Switch,Novel22,Novel19,TRUE,NA,NA
8,f,4.05,4,Social,6,1,1,1,Novel18,0,Novel18,0,3084,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel18,Novel18,TRUE,NA,NA
8,f,4.05,4,Social,8,2,2,1,Novel25,0,Novel25,0,1441,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel25,Novel25,TRUE,NA,NA
8,f,4.05,4,Social,10,3,2,0,Novel3,0,Novel3,1,2667,RDkidslonger,1,test,TRUE,1,v1,social,Same,Novel3,Novel3,TRUE,NA,NA
8,f,4.05,4,Social,12,4,1,0,Novel14,0,Novel20,0,1530,LDkidslonger,0,test,FALSE,1,v1,social,Same,Novel20,Novel20,TRUE,NA,NA
8,f,4.05,4,Social,14,5,2,1,Novel8,1,Novel1,0,6087,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel27,Novel1,TRUE,NA,NA
9,m,4.21,4,No-social,4,0,1,0,Novel16,1,Novel16,0,1930,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel16,Novel16,FALSE,NA,NA
9,m,4.21,4,No-social,6,1,1,1,Novel17,0,Novel17,0,3406,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel17,Novel17,FALSE,NA,NA
9,m,4.21,4,No-social,8,2,2,0,Novel6,0,Novel9,0,3686,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel2,Novel9,FALSE,NA,NA
9,m,4.21,4,No-social,10,3,2,1,Novel28,1,Novel4,0,1839,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel18,Novel4,FALSE,NA,NA
9,m,4.21,4,No-social,12,4,1,0,Novel13,1,Novel13,0,4052,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel1,Novel13,FALSE,NA,NA
9,m,4.21,4,No-social,14,5,2,1,Novel15,1,Novel21,0,1102,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel23,Novel21,FALSE,NA,NA
10,m,4.01,4,No-social,4,0,1,0,Novel8,1,Novel8,0,8687,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel8,Novel8,FALSE,NA,NA
10,m,4.01,4,No-social,6,1,1,1,Novel9,0,Novel9,0,3547,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel11,Novel9,FALSE,NA,NA
10,m,4.01,4,No-social,8,2,2,1,Novel2,1,Novel20,0,9175,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel5,Novel20,FALSE,NA,NA
10,m,4.01,4,No-social,10,3,2,0,Novel22,0,Novel24,0,2808,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Same,Novel24,Novel24,FALSE,NA,NA
10,m,4.01,4,No-social,12,4,1,0,Novel27,0,Novel28,0,6677,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel23,Novel28,FALSE,NA,NA
10,m,4.01,4,No-social,14,5,2,1,Novel17,1,Novel17,1,5001,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel17,Novel17,FALSE,NA,NA
11,f,4.28,4,No-social,4,0,1,0,Novel4,1,Novel4,0,2720,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel4,Novel4,FALSE,NA,NA
11,f,4.28,4,No-social,6,1,1,1,Novel15,0,Novel15,0,2492,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel6,Novel15,FALSE,NA,NA
11,f,4.28,4,No-social,8,2,2,1,Novel3,0,Novel3,0,5466,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel11,Novel3,FALSE,NA,NA
11,f,4.28,4,No-social,10,3,2,0,Novel28,0,Novel28,1,5831,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel22,Novel28,FALSE,NA,NA
11,f,4.28,4,No-social,12,4,1,0,Novel25,1,Novel25,0,12971,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel25,Novel25,FALSE,NA,NA
11,f,4.28,4,No-social,14,5,2,1,Novel13,1,Novel13,1,802,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel13,Novel13,FALSE,NA,NA
12,f,4.15,4,Social,4,0,1,0,Novel14,0,Novel10,0,8861,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel25,Novel10,TRUE,NA,NA
12,f,4.15,4,Social,6,1,1,1,Novel6,0,Novel6,0,24108,LDkidslonger,0,test,TRUE,1,v1,social,Switch,Novel26,Novel6,FALSE,NA,NA
12,f,4.15,4,Social,8,2,2,0,Novel19,0,Novel19,1,7243,LDkidslonger,0,test,TRUE,1,v1,social,Switch,Novel1,Novel19,TRUE,NA,NA
12,f,4.15,4,Social,10,3,2,1,Novel15,0,Novel13,1,5473,LDkidslonger,0,test,FALSE,1,v1,social,Switch,Novel3,Novel13,TRUE,NA,NA
12,f,4.15,4,Social,12,4,1,0,Novel20,0,Novel27,0,14787,LDkidslonger,0,test,FALSE,1,v1,social,Switch,Novel5,Novel27,FALSE,NA,NA
12,f,4.15,4,Social,14,5,2,1,Novel7,0,Novel4,1,12408,LDkidslonger,0,test,FALSE,1,v1,social,Switch,Novel28,Novel4,TRUE,NA,NA
13,m,4.24,4,Social,4,0,1,1,Novel21,0,Novel21,0,5273,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel21,Novel21,TRUE,NA,NA
13,m,4.24,4,Social,6,1,1,0,Novel18,1,Novel18,0,4209,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel18,Novel18,TRUE,NA,NA
13,m,4.24,4,Social,8,2,2,0,Novel7,0,Novel7,1,13936,RDkidslonger,1,test,TRUE,1,v1,social,Same,Novel7,Novel7,TRUE,NA,NA
13,m,4.24,4,Social,10,3,2,1,Novel9,1,Novel9,1,1890,RDkidslonger,1,test,TRUE,1,v1,social,Same,Novel9,Novel9,TRUE,NA,NA
13,m,4.24,4,Social,12,4,1,1,Novel5,0,Novel5,0,1518,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel5,Novel5,TRUE,NA,NA
13,m,4.24,4,Social,14,5,2,0,Novel27,0,Novel27,1,19979,RDkidslonger,1,test,TRUE,1,v1,social,Same,Novel27,Novel27,TRUE,NA,NA
14,f,5.09,5,No-social,4,0,1,1,Novel19,1,Novel18,0,4408,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel3,Novel18,FALSE,NA,NA
14,f,5.09,5,No-social,6,1,1,0,Novel15,1,Novel15,0,4669,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel15,Novel15,FALSE,NA,NA
14,f,5.09,5,No-social,8,2,2,0,Novel24,0,Novel28,0,5645,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel27,Novel28,FALSE,NA,NA
14,f,5.09,5,No-social,10,3,2,1,Novel7,1,Novel25,0,4536,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel14,Novel25,FALSE,NA,NA
14,f,5.09,5,No-social,12,4,1,1,Novel9,0,Novel9,0,3151,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel9,Novel9,FALSE,NA,NA
14,f,5.09,5,No-social,14,5,2,0,Novel13,1,Novel13,0,2029,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel13,Novel13,FALSE,NA,NA
15,f,5.22,5,Social,4,0,1,1,Novel27,0,Novel27,0,6785,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel27,Novel27,TRUE,NA,NA
15,f,5.22,5,Social,6,1,1,0,Novel10,0,Novel20,0,5257,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel15,Novel20,TRUE,NA,NA
15,f,5.22,5,Social,8,2,2,1,Novel21,1,Novel21,1,8114,LDkidslonger,0,test,TRUE,1,v1,social,Switch,Novel1,Novel21,TRUE,NA,NA
15,f,5.22,5,Social,10,3,2,0,Novel12,0,Novel12,1,3571,LDkidslonger,0,test,TRUE,1,v1,social,Switch,Novel5,Novel12,TRUE,NA,NA
15,f,5.22,5,Social,12,4,1,1,Novel18,0,Novel18,0,1198,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel18,Novel18,TRUE,NA,NA
15,f,5.22,5,Social,14,5,2,0,Novel11,0,Novel11,1,5009,LDkidslonger,0,test,TRUE,1,v1,social,Switch,Novel24,Novel11,TRUE,NA,NA
16,m,5.15,5,No-social,4,0,1,1,Novel10,1,Novel3,0,3706,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel5,Novel3,FALSE,NA,NA
16,m,5.15,5,No-social,6,1,1,0,Novel19,1,Novel19,0,1133,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel15,Novel19,FALSE,NA,NA
16,m,5.15,5,No-social,8,2,2,0,Novel20,0,Novel26,0,3804,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel18,Novel26,FALSE,NA,NA
16,m,5.15,5,No-social,10,3,2,1,Novel21,0,Novel23,1,1219,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel4,Novel23,FALSE,NA,NA
16,m,5.15,5,No-social,12,4,1,1,Novel1,0,Novel1,0,1611,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel1,Novel1,FALSE,NA,NA
16,m,5.15,5,No-social,14,5,2,0,Novel11,0,Novel11,1,1070,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel24,Novel11,FALSE,NA,NA
17,m,3.93,3,Social,4,0,1,0,Novel3,1,Novel3,0,2225,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel3,Novel3,TRUE,NA,NA
17,m,3.93,3,Social,6,1,1,1,Novel23,0,Novel23,0,1240,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel23,Novel23,TRUE,NA,NA
17,m,3.93,3,Social,8,2,2,0,Novel8,1,Novel8,0,8006,RDkidslonger,1,test,TRUE,1,v1,social,Switch,Novel13,Novel8,TRUE,NA,NA
17,m,3.93,3,Social,10,3,2,1,Novel14,1,Novel15,0,1046,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel27,Novel15,TRUE,NA,NA
17,m,3.93,3,Social,12,4,1,0,Novel9,1,Novel9,0,979,RDkidslonger,1,test,TRUE,1,v1,social,Switch,Novel20,Novel9,TRUE,NA,NA
17,m,3.93,3,Social,14,5,2,1,Novel25,1,Novel16,0,1042,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel24,Novel16,TRUE,NA,NA
18,f,5.65,5,No-social,4,0,1,1,Novel5,0,Novel5,0,7747,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel17,Novel5,FALSE,NA,NA
18,f,5.65,5,No-social,6,1,1,0,Novel15,1,Novel15,0,2638,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel15,Novel15,FALSE,NA,NA
18,f,5.65,5,No-social,8,2,2,1,Novel28,0,Novel20,1,1431,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel10,Novel20,FALSE,NA,NA
18,f,5.65,5,No-social,10,3,2,0,Novel9,1,Novel22,1,2380,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel24,Novel22,FALSE,NA,NA
18,f,5.65,5,No-social,12,4,1,1,Novel11,1,Novel25,0,1673,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Same,Novel25,Novel25,FALSE,NA,NA
18,f,5.65,5,No-social,14,5,2,0,Novel21,0,Novel21,1,1681,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel21,Novel21,FALSE,NA,NA
19,m,4.28,4,Social,4,0,1,1,Novel3,0,Novel3,0,2285,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel3,Novel3,TRUE,NA,NA
19,m,4.28,4,Social,6,1,1,0,Novel20,1,Novel20,0,3524,RDkidslonger,1,test,TRUE,1,v1,social,Switch,Novel5,Novel20,TRUE,NA,NA
19,m,4.28,4,Social,8,2,2,0,Novel19,0,Novel17,0,3345,LDkidslonger,0,test,FALSE,1,v1,social,Same,Novel17,Novel17,TRUE,NA,NA
19,m,4.28,4,Social,10,3,2,1,Novel4,1,Novel4,1,2382,RDkidslonger,1,test,TRUE,1,v1,social,Same,Novel4,Novel4,TRUE,NA,NA
19,m,4.28,4,Social,12,4,1,1,Novel1,0,Novel1,0,1781,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel1,Novel1,TRUE,NA,NA
19,m,4.28,4,Social,14,5,2,0,Novel9,0,Novel25,0,4264,LDkidslonger,0,test,FALSE,1,v1,social,Same,Novel25,Novel25,TRUE,NA,NA
20,f,4.86,4,No-social,4,0,1,0,Novel12,0,Novel15,0,3680,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel11,Novel15,FALSE,NA,NA
20,f,4.86,4,No-social,6,1,1,1,Novel22,1,Novel4,0,1966,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel1,Novel4,FALSE,NA,NA
20,f,4.86,4,No-social,8,2,2,0,Novel6,0,Novel5,0,1762,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel14,Novel5,FALSE,NA,NA
20,f,4.86,4,No-social,10,3,2,1,Novel23,0,Novel3,1,1290,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel20,Novel3,FALSE,NA,NA
20,f,4.86,4,No-social,12,4,1,0,Novel8,1,Novel8,0,1813,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel8,Novel8,FALSE,NA,NA
20,f,4.86,4,No-social,14,5,2,1,Novel28,0,Novel17,1,1310,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel18,Novel17,FALSE,NA,NA
21,f,3.14,3,Social,4,0,1,0,Novel15,1,Novel15,0,15736,RDkidslonger,1,test,TRUE,1,v1,social,Switch,Novel8,Novel15,TRUE,NA,NA
21,f,3.14,3,Social,6,1,1,1,Novel10,1,Novel6,0,20725,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel13,Novel6,TRUE,NA,NA
21,f,3.14,3,Social,8,2,2,0,Novel1,1,Novel3,1,1904,RDkidslonger,1,test,FALSE,1,v1,social,Same,Novel3,Novel3,TRUE,NA,NA
21,f,3.14,3,Social,10,3,2,1,Novel7,0,Novel7,0,2349,RDkidslonger,1,test,TRUE,1,v1,social,Switch,Novel5,Novel7,TRUE,NA,NA
21,f,3.14,3,Social,12,4,1,0,Novel27,1,Novel27,0,1541,RDkidslonger,1,test,TRUE,1,v1,social,Switch,Novel16,Novel27,TRUE,NA,NA
21,f,3.14,3,Social,14,5,2,1,Novel12,0,Novel12,0,1810,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel12,Novel12,TRUE,NA,NA
22,m,4.87,4,No-social,4,0,1,1,Novel3,0,Novel3,0,6534,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel8,Novel3,FALSE,NA,NA
22,m,4.87,4,No-social,6,1,1,0,Novel24,0,Novel16,0,1682,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Same,Novel16,Novel16,FALSE,NA,NA
22,m,4.87,4,No-social,8,2,2,1,Novel1,0,Novel1,0,2103,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel1,Novel1,FALSE,NA,NA
22,m,4.87,4,No-social,10,3,2,0,Novel19,1,Novel19,0,8718,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel19,Novel19,FALSE,NA,NA
22,m,4.87,4,No-social,12,4,1,1,Novel10,0,Novel10,0,3609,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel2,Novel10,FALSE,NA,NA
22,m,4.87,4,No-social,14,5,2,0,Novel7,0,Novel21,0,11678,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Same,Novel21,Novel21,FALSE,NA,NA
23,f,5.7,5,No-social,4,0,1,0,Novel22,0,Novel15,0,2263,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel7,Novel15,FALSE,NA,NA
23,f,5.7,5,No-social,6,1,1,1,Novel11,0,Novel11,0,1185,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel11,Novel11,FALSE,NA,NA
23,f,5.7,5,No-social,8,2,2,1,Novel9,1,Novel9,1,4342,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel8,Novel9,FALSE,NA,NA
23,f,5.7,5,No-social,10,3,2,0,Novel3,1,Novel23,1,1384,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel20,Novel23,FALSE,NA,NA
23,f,5.7,5,No-social,12,4,1,0,Novel17,1,Novel17,0,1348,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel17,Novel17,FALSE,NA,NA
23,f,5.7,5,No-social,14,5,2,1,Novel14,0,Novel24,1,1540,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel13,Novel24,FALSE,NA,NA
24,f,4.9,4,Social,4,0,1,0,Novel20,1,Novel20,0,2045,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel20,Novel20,TRUE,NA,NA
24,f,4.9,4,Social,6,1,1,1,Novel21,0,Novel21,0,1719,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel21,Novel21,TRUE,NA,NA
24,f,4.9,4,Social,8,2,2,1,Novel10,1,Novel13,0,6024,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel15,Novel13,TRUE,NA,NA
24,f,4.9,4,Social,10,3,2,0,Novel27,0,Novel27,1,1056,RDkidslonger,1,test,TRUE,1,v1,social,Same,Novel27,Novel27,TRUE,NA,NA
24,f,4.9,4,Social,12,4,1,0,Novel8,1,Novel8,0,2890,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel8,Novel8,TRUE,NA,NA
24,f,4.9,4,Social,14,5,2,1,Novel5,0,Novel25,1,14883,LDkidslonger,0,test,FALSE,1,v1,social,Switch,Novel9,Novel25,TRUE,NA,NA
25,f,4.49,4,No-social,4,0,1,0,Novel26,0,Novel18,0,4090,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel28,Novel18,FALSE,NA,NA
25,f,4.49,4,No-social,6,1,1,1,Novel5,1,Novel25,0,2036,straightaheadlonger,-1,test,FALSE,1,v1,no-social,Switch,Novel7,Novel25,FALSE,NA,NA
25,f,4.49,4,No-social,8,2,2,1,Novel11,1,Novel11,1,1506,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel11,Novel11,FALSE,NA,NA
25,f,4.49,4,No-social,10,3,2,0,Novel4,1,Novel4,0,3384,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Switch,Novel9,Novel4,FALSE,NA,NA
25,f,4.49,4,No-social,12,4,1,0,Novel23,1,Novel23,0,1228,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel23,Novel23,FALSE,NA,NA
25,f,4.49,4,No-social,14,5,2,1,Novel21,0,Novel21,0,1233,straightaheadlonger,-1,test,TRUE,1,v1,no-social,Same,Novel21,Novel21,FALSE,NA,NA
26,m,5.73,5,Social,4,0,1,0,Novel14,0,Novel14,1,7237,RDkidslonger,1,test,TRUE,1,v2,social,Same,Novel14,Novel14,TRUE,NA,NA
26,m,5.73,5,Social,6,1,1,1,Novel28,1,Novel28,1,9344,RDkidslonger,1,test,TRUE,1,v2,social,Same,Novel28,Novel28,TRUE,NA,NA
26,m,5.73,5,Social,8,2,2,1,Novel13,1,Novel10,0,14620,RDkidslonger,1,test,FALSE,1,v2,social,Switch,Novel19,Novel10,TRUE,NA,NA
26,m,5.73,5,Social,10,3,2,0,Novel8,1,Novel8,0,13711,RDkidslonger,1,test,TRUE,1,v2,social,Switch,Novel11,Novel8,TRUE,NA,NA
