"subids","itemNum","submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","comments","trialType","samePos","chosen.x","correct","chosenIdx","gaze_target.x","trial_category","kept","keptIdx","rt","face","faceIdx","rel_subj","intervalNum","include","first.trial","numPicN","block","prop_cond_clean","reliability","include_good_rt","gaze_target.y","chosen.y","correct_exposure","total_exposure_correct","chosen","gaze_target"
1,12,"Feb 14 2015","11:11:13",27,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,NA,TRUE,2,NA,"exposure","Novel104",0,308,"down-left-4sec",0,37,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel66","Novel66"
1,13,"Feb 14 2015","11:11:13",29,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",1,NA,TRUE,0,NA,"exposure","Novel39",0,903,"up-left-4sec",1,37,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel39","Novel39"
1,14,"Feb 14 2015","11:11:13",31,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",0,NA,TRUE,2,NA,"exposure","Novel40",1,802,"down-right-4sec",2,37,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel78","Novel78"
1,15,"Feb 14 2015","11:11:13",33,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",1,NA,TRUE,0,NA,"exposure","Novel95",0,1325,"up-left-4sec",1,37,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel95","Novel95"
2,10,"Feb 14 2015","11:11:43",24,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,"Novel60",TRUE,2,NA,"test","Novel60",2,642,"straight-ahead",-1,0.82,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel60","Novel60",TRUE,8,NA,NA
2,11,"Feb 14 2015","11:11:43",26,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel76",TRUE,1,NA,"test","Novel76",0,1849,"straight-ahead",-1,0.82,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel48","Novel48",TRUE,8,NA,NA
2,12,"Feb 14 2015","11:11:43",28,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,"Novel50",TRUE,2,NA,"test","Novel50",2,547,"straight-ahead",-1,0.82,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel50","Novel50",TRUE,8,NA,NA
2,13,"Feb 14 2015","11:11:43",30,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",0,"Novel34",FALSE,0,NA,"test","Novel100",0,823,"straight-ahead",-1,0.82,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel18","Novel18",TRUE,8,NA,NA
2,14,"Feb 14 2015","11:11:43",32,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",1,"Novel40",TRUE,0,NA,"test","Novel40",2,405,"straight-ahead",-1,0.82,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel40","Novel40",TRUE,8,NA,NA
2,15,"Feb 14 2015","11:11:43",34,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel80",FALSE,1,NA,"test","Novel26",1,325,"straight-ahead",-1,0.82,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel2","Novel2",TRUE,8,NA,NA
2,8,"Feb 14 2015","11:11:43",20,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,"Novel130",FALSE,2,NA,"test","Novel35",2,6670,"straight-ahead",-1,0.82,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel35","Novel35",TRUE,8,NA,NA
2,9,"Feb 14 2015","11:11:43",22,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel8",FALSE,2,NA,"test","Novel9",0,3816,"straight-ahead",-1,0.82,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel122","Novel122",TRUE,8,NA,NA
2,8,"Feb 14 2015","11:11:43",19,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,NA,TRUE,2,NA,"exposure","Novel35",2,5755,"down-right-4sec",2,81,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel35","Novel35"
2,9,"Feb 14 2015","11:11:43",21,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,NA,TRUE,2,NA,"exposure","Novel9",0,5988,"down-right-4sec",2,81,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel122","Novel122"
2,10,"Feb 14 2015","11:11:43",23,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,NA,TRUE,2,NA,"exposure","Novel60",2,1651,"down-left-4sec",0,81,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel60","Novel60"
2,11,"Feb 14 2015","11:11:43",25,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,NA,TRUE,2,NA,"exposure","Novel76",0,2025,"down-right-4sec",2,81,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel48","Novel48"
2,12,"Feb 14 2015","11:11:43",27,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,NA,TRUE,2,NA,"exposure","Novel50",2,1884,"down-right-4sec",2,81,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel50","Novel50"
2,13,"Feb 14 2015","11:11:43",29,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",0,NA,TRUE,2,NA,"exposure","Novel100",0,2541,"down-right-4sec",2,81,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel18","Novel18"
2,14,"Feb 14 2015","11:11:43",31,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",1,NA,TRUE,2,NA,"exposure","Novel40",2,1472,"down-right-4sec",2,81,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel40","Novel40"
2,15,"Feb 14 2015","11:11:43",33,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,NA,TRUE,2,NA,"exposure","Novel26",1,697,"down-left-4sec",0,81,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel2","Novel2"
3,10,"Feb 14 2015","11:15:14",24,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Switch",1,"Novel127",FALSE,1,NA,"test","Novel20",1,7151,"straight-ahead",-1,0.73,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel109","Novel109",TRUE,6,NA,NA
3,11,"Feb 14 2015","11:15:14",26,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Same",1,"Novel98",TRUE,1,NA,"test","Novel98",2,1287,"straight-ahead",-1,0.73,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel98","Novel98",TRUE,6,NA,NA
3,13,"Feb 14 2015","11:15:14",30,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Same",1,"Novel119",TRUE,1,NA,"test","Novel119",0,778,"straight-ahead",-1,0.73,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel119","Novel119",TRUE,6,NA,NA
3,14,"Feb 14 2015","11:15:14",32,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Switch",1,"Novel93",FALSE,0,NA,"test","Novel131",0,5536,"straight-ahead",-1,0.73,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel94","Novel94",TRUE,6,NA,NA
3,15,"Feb 14 2015","11:15:14",34,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Same",0,"Novel67",TRUE,1,NA,"test","Novel67",2,1085,"straight-ahead",-1,0.73,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel67","Novel67",TRUE,6,NA,NA
3,9,"Feb 14 2015","11:15:14",22,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Same",1,"Novel16",TRUE,0,NA,"test","Novel16",2,945,"straight-ahead",-1,0.73,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel16","Novel16",TRUE,6,NA,NA
3,8,"Feb 14 2015","11:15:14",19,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Switch",1,NA,TRUE,0,NA,"exposure","Novel128",1,3948,"up-left-4sec",1,72,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel118","Novel118"
3,9,"Feb 14 2015","11:15:14",21,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Same",1,NA,TRUE,2,NA,"exposure","Novel16",2,8678,"down-left-4sec",0,72,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel16","Novel16"
3,10,"Feb 14 2015","11:15:14",23,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Switch",1,NA,TRUE,0,NA,"exposure","Novel20",1,7220,"up-left-4sec",1,72,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel109","Novel109"
3,11,"Feb 14 2015","11:15:14",25,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Same",1,NA,TRUE,2,NA,"exposure","Novel98",2,9335,"down-left-4sec",0,72,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel98","Novel98"
3,12,"Feb 14 2015","11:15:14",27,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Switch",0,NA,TRUE,1,NA,"exposure","Novel42",0,4825,"up-right-4sec",3,72,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel40","Novel40"
3,13,"Feb 14 2015","11:15:14",29,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Same",1,NA,TRUE,0,NA,"exposure","Novel119",0,4475,"up-left-4sec",1,72,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel119","Novel119"
3,14,"Feb 14 2015","11:15:14",31,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Switch",1,NA,TRUE,1,NA,"exposure","Novel131",0,6739,"up-right-4sec",3,72,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel94","Novel94"
3,15,"Feb 14 2015","11:15:14",33,"Live","25%_reliable","Zero",4,"Chrome","                Very interesting survey.","Same",0,NA,TRUE,2,NA,"exposure","Novel67",2,7747,"down-right-4sec",2,72,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel67","Novel67"
4,10,"Feb 14 2015","11:15:35",24,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel53",FALSE,2,NA,"test","Novel21",1,987,"straight-ahead",-1,0.69,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel10","Novel10",TRUE,8,NA,NA
4,11,"Feb 14 2015","11:15:35",26,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",1,"Novel137",TRUE,0,NA,"test","Novel137",1,891,"straight-ahead",-1,0.69,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel137","Novel137",TRUE,8,NA,NA
4,12,"Feb 14 2015","11:15:35",28,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel102",TRUE,1,NA,"test","Novel102",0,1427,"straight-ahead",-1,0.69,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel47","Novel47",TRUE,8,NA,NA
4,13,"Feb 14 2015","11:15:35",30,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,"Novel86",TRUE,1,NA,"test","Novel86",2,966,"straight-ahead",-1,0.69,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel86","Novel86",TRUE,8,NA,NA
4,14,"Feb 14 2015","11:15:35",32,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel111",FALSE,2,NA,"test","Novel96",0,976,"straight-ahead",-1,0.69,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel103","Novel103",TRUE,8,NA,NA
4,15,"Feb 14 2015","11:15:35",34,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,"Novel25",TRUE,2,NA,"test","Novel25",1,665,"straight-ahead",-1,0.69,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel25","Novel25",TRUE,8,NA,NA
4,8,"Feb 14 2015","11:15:35",20,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",0,"Novel127",FALSE,2,NA,"test","Novel132",0,4172,"straight-ahead",-1,0.69,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel69","Novel69",TRUE,8,NA,NA
4,9,"Feb 14 2015","11:15:35",22,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,"Novel130",TRUE,1,NA,"test","Novel130",2,823,"straight-ahead",-1,0.69,0,TRUE,FALSE,4,"test","25%",0.25,1,"Novel130","Novel130",TRUE,8,NA,NA
4,8,"Feb 14 2015","11:15:35",19,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",0,NA,TRUE,1,NA,"exposure","Novel132",0,5330,"up-right-4sec",3,68,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel69","Novel69"
4,9,"Feb 14 2015","11:15:35",21,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,NA,TRUE,2,NA,"exposure","Novel130",2,3409,"down-left-4sec",0,68,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel130","Novel130"
4,10,"Feb 14 2015","11:15:35",23,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,NA,TRUE,0,NA,"exposure","Novel21",1,3548,"up-left-4sec",1,68,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel10","Novel10"
4,11,"Feb 14 2015","11:15:35",25,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",1,NA,TRUE,1,NA,"exposure","Novel137",1,3126,"up-right-4sec",3,68,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel137","Novel137"
4,12,"Feb 14 2015","11:15:35",27,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,NA,TRUE,2,NA,"exposure","Novel102",0,3277,"down-right-4sec",2,68,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel47","Novel47"
4,13,"Feb 14 2015","11:15:35",29,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,NA,TRUE,2,NA,"exposure","Novel86",2,2097,"down-left-4sec",0,68,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel86","Novel86"
4,14,"Feb 14 2015","11:15:35",31,"Live","25%_reliable","Zero",4,"Chrome","                ","Switch",1,NA,TRUE,2,NA,"exposure","Novel96",0,2801,"down-right-4sec",2,68,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel103","Novel103"
4,15,"Feb 14 2015","11:15:35",33,"Live","25%_reliable","Zero",4,"Chrome","                ","Same",0,NA,TRUE,1,NA,"exposure","Novel25",1,2478,"up-right-4sec",3,68,0,TRUE,FALSE,4,"test","25%",0.25,1,NA,NA,NA,NA,"Novel25","Novel25"
5,10,"Feb 14 2015","11:16:32",24,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",0,"Novel66",FALSE,1,NA,"test","Novel111",0,2051,"straight-ahead",-1,1,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel89","Novel89",TRUE,7,NA,NA
5,11,"Feb 14 2015","11:16:32",26,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",0,"Novel19",TRUE,2,NA,"test","Novel19",1,232,"straight-ahead",-1,1,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel19","Novel19",TRUE,7,NA,NA
5,12,"Feb 14 2015","11:16:32",28,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",0,"Novel9",FALSE,0,NA,"test","Novel65",0,820,"straight-ahead",-1,1,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel104","Novel104",TRUE,7,NA,NA
5,13,"Feb 14 2015","11:16:32",30,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",1,"Novel13",TRUE,1,NA,"test","Novel13",0,608,"straight-ahead",-1,1,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel13","Novel13",TRUE,7,NA,NA
5,14,"Feb 14 2015","11:16:32",32,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel95",TRUE,1,NA,"test","Novel95",0,593,"straight-ahead",-1,1,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel43","Novel43",TRUE,7,NA,NA
5,8,"Feb 14 2015","11:16:32",20,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel72",FALSE,1,NA,"test","Novel108",1,6715,"straight-ahead",-1,1,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel130","Novel130",TRUE,7,NA,NA
5,9,"Feb 14 2015","11:16:32",22,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",1,"Novel10",TRUE,0,NA,"test","Novel10",1,624,"straight-ahead",-1,1,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel10","Novel10",TRUE,7,NA,NA
5,8,"Feb 14 2015","11:16:32",19,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",1,NA,TRUE,2,NA,"exposure","Novel108",1,1576,"down-left-4sec",0,97,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel130","Novel130"
5,9,"Feb 14 2015","11:16:32",21,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",1,NA,TRUE,1,NA,"exposure","Novel10",1,2348,"up-right-4sec",3,97,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel10","Novel10"
5,10,"Feb 14 2015","11:16:32",23,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",0,NA,TRUE,1,NA,"exposure","Novel111",0,798,"up-right-4sec",3,97,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel89","Novel89"
5,11,"Feb 14 2015","11:16:32",25,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",0,NA,TRUE,1,NA,"exposure","Novel19",1,1996,"up-right-4sec",3,97,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel19","Novel19"
5,12,"Feb 14 2015","11:16:32",27,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",0,NA,TRUE,1,NA,"exposure","Novel65",0,1113,"up-right-4sec",3,97,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel104","Novel104"
5,13,"Feb 14 2015","11:16:32",29,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",1,NA,TRUE,0,NA,"exposure","Novel13",0,1023,"up-left-4sec",1,97,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel13","Novel13"
5,14,"Feb 14 2015","11:16:32",31,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",1,NA,TRUE,2,NA,"exposure","Novel95",0,902,"down-left-4sec",0,97,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel43","Novel43"
5,15,"Feb 14 2015","11:16:32",33,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",0,NA,TRUE,1,NA,"exposure","Novel56",1,246,"up-right-4sec",3,97,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel56","Novel56"
6,10,"Feb 14 2015","11:16:59",24,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel95",FALSE,2,NA,"test","Novel65",0,1117,"straight-ahead",-1,0.36,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel65","Novel104",FALSE,2,NA,NA
6,11,"Feb 14 2015","11:16:59",26,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",1,"Novel125",TRUE,0,NA,"test","Novel125",1,581,"straight-ahead",-1,0.36,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel125","Novel125",TRUE,2,NA,NA
6,12,"Feb 14 2015","11:16:59",28,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",0,"Novel123",FALSE,0,NA,"test","Novel90",0,486,"straight-ahead",-1,0.36,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel14","Novel14",TRUE,2,NA,NA
6,13,"Feb 14 2015","11:16:59",30,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",1,"Novel45",TRUE,1,NA,"test","Novel45",0,354,"straight-ahead",-1,0.36,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel34","Novel45",FALSE,2,NA,NA
6,14,"Feb 14 2015","11:16:59",32,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",0,"Novel72",TRUE,2,NA,"test","Novel72",0,434,"straight-ahead",-1,0.36,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel72","Novel73",FALSE,2,NA,NA
6,15,"Feb 14 2015","11:16:59",34,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",0,"Novel24",TRUE,1,NA,"test","Novel24",0,707,"straight-ahead",-1,0.36,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel114","Novel24",FALSE,2,NA,NA
6,9,"Feb 14 2015","11:16:59",22,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",0,"Novel53",TRUE,1,NA,"test","Novel53",0,726,"straight-ahead",-1,0.36,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel58","Novel53",FALSE,2,NA,NA
6,9,"Feb 14 2015","11:16:59",21,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",0,NA,FALSE,0,NA,"exposure","Novel53",0,2759,"down-right-4sec",2,35,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel53","Novel58"
6,10,"Feb 14 2015","11:16:59",23,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",1,NA,FALSE,1,NA,"exposure","Novel65",0,2328,"up-left-4sec",1,35,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel104","Novel65"
6,11,"Feb 14 2015","11:16:59",25,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",1,NA,TRUE,1,NA,"exposure","Novel125",1,4693,"up-right-4sec",3,35,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel125","Novel125"
6,12,"Feb 14 2015","11:16:59",27,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",0,NA,TRUE,1,NA,"exposure","Novel90",0,2164,"up-right-4sec",3,35,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel14","Novel14"
6,13,"Feb 14 2015","11:16:59",29,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",1,NA,FALSE,0,NA,"exposure","Novel45",0,2312,"up-right-4sec",3,35,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel45","Novel34"
6,14,"Feb 14 2015","11:16:59",31,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",0,NA,FALSE,2,NA,"exposure","Novel72",0,3905,"up-left-4sec",1,35,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel73","Novel72"
6,15,"Feb 14 2015","11:16:59",33,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",0,NA,FALSE,0,NA,"exposure","Novel24",0,1596,"up-right-4sec",3,35,0,TRUE,FALSE,4,"test","50%",0.5,1,NA,NA,NA,NA,"Novel24","Novel114"
7,10,"Feb 14 2015","11:19:43",24,"Live","50%_reliable","Zero",4,"Chrome","                ","Switch",1,"Novel80",TRUE,1,NA,"test","Novel80",0,1838,"straight-ahead",-1,0.77,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel74","Novel74",TRUE,6,NA,NA
7,11,"Feb 14 2015","11:19:43",26,"Live","50%_reliable","Zero",4,"Chrome","                ","Same",1,"Novel139",TRUE,0,NA,"test","Novel139",1,954,"straight-ahead",-1,0.77,0,TRUE,FALSE,4,"test","50%",0.5,1,"Novel139","Novel139",TRUE,6,NA,NA
