"subid","itemNum","X.1","X","submit.date","submit.time","trial.num","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt.x","numPic","interval","day.and.time","correct","include","first.trial","numPicN","intervalNum","condition","testTrial","dataset","face","faceIdx","exposureTrial","exampleTrial","choseSocial","rt.y"
"A0607295133OZ2DIJW5P8",2,19563,15,"Apr 07 2014","02:37:40",15,"Same",1,"Novel101",1,"Novel51",2,2721,4,2,"(Apr 07 2014 02:37:40)",FALSE,TRUE,FALSE,4,7,"Social",1,"km","eyescenter",-1,0,0,TRUE,2000
"A0607295133OZ2DIJW5P8",3,19564,16,"Apr 07 2014","02:37:40",16,"Switch",1,"Novel122",2,"Novel133",1,2339,4,2,"(Apr 07 2014 02:37:40)",FALSE,TRUE,FALSE,4,7,"Social",1,"km","eyescenter",-1,0,0,TRUE,1166
"A0607295133OZ2DIJW5P8",4,19565,17,"Apr 07 2014","02:37:40",17,"Same",1,"Novel16",1,"Novel49",2,2697,4,2,"(Apr 07 2014 02:37:40)",FALSE,TRUE,FALSE,4,7,"Social",1,"km","eyescenter",-1,0,0,TRUE,1051
"A0607295133OZ2DIJW5P8",5,19566,18,"Apr 07 2014","02:37:40",18,"Switch",0,"Novel54",3,"Novel52",1,2409,4,2,"(Apr 07 2014 02:37:40)",FALSE,TRUE,FALSE,4,7,"Social",1,"km","eyescenter",-1,0,0,TRUE,1672
"A0607295133OZ2DIJW5P8",6,19567,19,"Apr 07 2014","02:37:40",19,"Same",0,"Novel50",2,"Novel62",3,1387,4,2,"(Apr 07 2014 02:37:40)",FALSE,TRUE,FALSE,4,7,"Social",1,"km","eyescenter",-1,0,0,TRUE,973
"A0607295133OZ2DIJW5P8",7,19568,20,"Apr 07 2014","02:37:40",20,"Switch",1,"Novel119",3,"Novel88",2,1441,4,2,"(Apr 07 2014 02:37:40)",FALSE,TRUE,FALSE,4,7,"Social",1,"km","eyescenter",-1,0,0,TRUE,1107
"A07470353L7983ZPFPYV2",0,7181,13,"May 02 2014","13:17:43",13,"Switch",1,"Novel23",1,"Novel23",1,5680,2,2,"(May 02 2014 13:17:43)",TRUE,TRUE,TRUE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,4611
"A07470353L7983ZPFPYV2",1,7182,14,"May 02 2014","13:17:43",14,"Same",1,"Novel31",0,"Novel31",0,2835,2,2,"(May 02 2014 13:17:43)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,6207
"A07470353L7983ZPFPYV2",2,7183,15,"May 02 2014","13:17:43",15,"Switch",0,"Novel6",1,"Novel6",0,3397,2,2,"(May 02 2014 13:17:43)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,3623
"A07470353L7983ZPFPYV2",3,7184,16,"May 02 2014","13:17:43",16,"Same",0,"Novel134",1,"Novel134",0,2242,2,2,"(May 02 2014 13:17:43)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,3006
"A07470353L7983ZPFPYV2",4,7185,17,"May 02 2014","13:17:43",17,"Switch",0,"Novel95",1,"Novel95",0,1798,2,2,"(May 02 2014 13:17:43)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,4471
"A07470353L7983ZPFPYV2",5,7186,18,"May 02 2014","13:17:43",18,"Same",1,"Novel61",0,"Novel61",0,1387,2,2,"(May 02 2014 13:17:43)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,4577
"A07470353L7983ZPFPYV2",6,7187,19,"May 02 2014","13:17:43",19,"Switch",1,"Novel44",1,"Novel44",1,2204,2,2,"(May 02 2014 13:17:43)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,5004
"A07470353L7983ZPFPYV2",7,7188,20,"May 02 2014","13:17:43",20,"Same",0,"Novel68",1,"Novel68",0,1818,2,2,"(May 02 2014 13:17:43)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,2961
"A0784745QMLL9WSFGA6H",0,7201,33,"May 02 2014","13:17:57",13,"Switch",0,"Novel89",0,"Novel89",1,1070,2,2,"(May 02 2014 13:17:57)",TRUE,TRUE,TRUE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,3325
"A0784745QMLL9WSFGA6H",1,7202,34,"May 02 2014","13:17:57",14,"Same",1,"Novel77",0,"Novel77",0,1208,2,2,"(May 02 2014 13:17:57)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,3239
"A0784745QMLL9WSFGA6H",2,7203,35,"May 02 2014","13:17:57",15,"Switch",1,"Novel14",0,"Novel14",0,1802,2,2,"(May 02 2014 13:17:57)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,1158
"A0784745QMLL9WSFGA6H",3,7204,36,"May 02 2014","13:17:57",16,"Same",0,"Novel125",1,"Novel125",0,1087,2,2,"(May 02 2014 13:17:57)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,1451
"A0784745QMLL9WSFGA6H",4,7205,37,"May 02 2014","13:17:57",17,"Switch",1,"Novel57",1,"Novel57",1,893,2,2,"(May 02 2014 13:17:57)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,3056
"A0784745QMLL9WSFGA6H",5,7206,38,"May 02 2014","13:17:57",18,"Same",1,"Novel104",0,"Novel104",0,1253,2,2,"(May 02 2014 13:17:57)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,1586
"A0784745QMLL9WSFGA6H",6,7207,39,"May 02 2014","13:17:57",19,"Switch",0,"Novel97",1,"Novel97",0,1668,2,2,"(May 02 2014 13:17:57)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,1269
"A0784745QMLL9WSFGA6H",7,7208,40,"May 02 2014","13:17:57",20,"Same",0,"Novel85",1,"Novel85",0,1245,2,2,"(May 02 2014 13:17:57)",TRUE,TRUE,FALSE,2,7,"No-Social",1,"km","eyescenter",-1,0,0,FALSE,1194
"A0877319FSQMNZX627BU",6,22787,19,"Apr 19 2014","15:22:08",19,"Same",0,"Novel109",3,"Novel109",2,2331,4,2,"(Apr 19 2014 15:22:08)",TRUE,TRUE,FALSE,4,7,"Social",1,"km","eyescenter",-1,0,0,TRUE,4593
"A09265903LS1OKAES4KAC",0,9,17,"Apr 03 2013","04:30:47",13,"Switch",0,"Novel75",1,"Novel75",7,3465,8,7,"(Apr 03 2013 04:30:47)",TRUE,TRUE,TRUE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A09265903LS1OKAES4KAC",1,10,18,"Apr 03 2013","04:30:47",14,"Same",1,"Novel103",0,"Novel103",0,1865,8,7,"(Apr 03 2013 04:30:47)",TRUE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A09265903LS1OKAES4KAC",2,11,19,"Apr 03 2013","04:30:47",15,"Switch",1,"Novel140",4,"Novel58",7,3474,8,7,"(Apr 03 2013 04:30:47)",FALSE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A09265903LS1OKAES4KAC",3,12,20,"Apr 03 2013","04:30:47",16,"Same",0,"Novel138",0,"Novel138",1,1456,8,7,"(Apr 03 2013 04:30:47)",TRUE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A09265903LS1OKAES4KAC",4,13,21,"Apr 03 2013","04:30:47",17,"Switch",1,"Novel65",3,"Novel35",2,4801,8,7,"(Apr 03 2013 04:30:47)",FALSE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A09265903LS1OKAES4KAC",5,14,22,"Apr 03 2013","04:30:47",18,"Same",0,"Novel89",2,"Novel9",3,1737,8,7,"(Apr 03 2013 04:30:47)",FALSE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A09265903LS1OKAES4KAC",6,15,23,"Apr 03 2013","04:30:47",19,"Switch",0,"Novel131",1,"Novel131",2,4294,8,7,"(Apr 03 2013 04:30:47)",TRUE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A09265903LS1OKAES4KAC",7,16,24,"Apr 03 2013","04:30:47",20,"Same",1,"Novel15",0,"Novel109",4,2024,8,7,"(Apr 03 2013 04:30:47)",FALSE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A0987913304TQJJ683IBA",0,17,25,"Aug 11 2013","13:11:47",6,"Switch",0,"Novel6",0,"Novel6",1,3225,2,0,"(Aug 11 2013 13:11:47)",TRUE,TRUE,TRUE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A0987913304TQJJ683IBA",1,18,26,"Aug 11 2013","13:11:47",8,"Same",0,"Novel111",0,"Novel111",1,1496,2,0,"(Aug 11 2013 13:11:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A0987913304TQJJ683IBA",2,19,27,"Aug 11 2013","13:11:47",10,"Switch",1,"Novel5",0,"Novel103",1,827,2,0,"(Aug 11 2013 13:11:47)",FALSE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A0987913304TQJJ683IBA",3,20,28,"Aug 11 2013","13:11:47",12,"Same",1,"Novel46",0,"Novel46",0,1105,2,0,"(Aug 11 2013 13:11:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A0987913304TQJJ683IBA",4,21,29,"Aug 11 2013","13:11:47",14,"Switch",1,"Novel94",1,"Novel2",0,1267,2,0,"(Aug 11 2013 13:11:47)",FALSE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A0987913304TQJJ683IBA",5,22,30,"Aug 11 2013","13:11:47",16,"Same",0,"Novel134",0,"Novel134",1,905,2,0,"(Aug 11 2013 13:11:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A0987913304TQJJ683IBA",6,23,31,"Aug 11 2013","13:11:47",18,"Switch",0,"Novel137",1,"Novel137",0,3468,2,0,"(Aug 11 2013 13:11:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A0987913304TQJJ683IBA",7,24,32,"Aug 11 2013","13:11:47",20,"Same",1,"Novel36",1,"Novel36",1,1673,2,0,"(Aug 11 2013 13:11:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A1015EI76K26I3",0,25,33,"Aug 11 2013","12:40:04",13,"Switch",1,"Novel64",3,"Novel4",4,23659,8,7,"(Aug 11 2013 12:40:04)",NA,TRUE,TRUE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A1015EI76K26I3",1,26,34,"Aug 11 2013","12:40:04",14,"Same",0,"Novel121",4,"Novel121",6,5525,8,7,"(Aug 11 2013 12:40:04)",TRUE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A1015EI76K26I3",2,27,35,"Aug 11 2013","12:40:04",15,"Switch",0,"Novel19",7,"Novel16",2,2442,8,7,"(Aug 11 2013 12:40:04)",FALSE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A1015EI76K26I3",3,28,36,"Aug 11 2013","12:40:04",16,"Same",1,"Novel63",5,"Novel65",7,1857,8,7,"(Aug 11 2013 12:40:04)",FALSE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A1015EI76K26I3",4,29,37,"Aug 11 2013","12:40:04",17,"Switch",0,"Novel29",7,"Novel123",7,2011,8,7,"(Aug 11 2013 12:40:04)",FALSE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A1015EI76K26I3",5,30,38,"Aug 11 2013","12:40:04",18,"Same",0,"Novel122",1,"Novel98",0,1453,8,7,"(Aug 11 2013 12:40:04)",FALSE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A1015EI76K26I3",6,31,39,"Aug 11 2013","12:40:04",19,"Switch",1,"Novel77",4,"Novel44",6,1520,8,7,"(Aug 11 2013 12:40:04)",FALSE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A1015EI76K26I3",7,32,40,"Aug 11 2013","12:40:04",20,"Same",1,"Novel37",4,"Novel105",0,1290,8,7,"(Aug 11 2013 12:40:04)",FALSE,TRUE,FALSE,8,7,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A101KWAN3V926J",0,33,41,"Aug 11 2013","23:57:47",6,"Switch",1,"Novel52",0,"Novel52",0,2526,2,0,"(Aug 11 2013 23:57:47)",TRUE,TRUE,TRUE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A101KWAN3V926J",1,34,42,"Aug 11 2013","23:57:47",8,"Same",0,"Novel135",1,"Novel135",0,2523,2,0,"(Aug 11 2013 23:57:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A101KWAN3V926J",2,35,43,"Aug 11 2013","23:57:47",10,"Switch",1,"Novel45",0,"Novel45",0,1918,2,0,"(Aug 11 2013 23:57:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A101KWAN3V926J",3,36,44,"Aug 11 2013","23:57:47",12,"Same",1,"Novel73",0,"Novel73",0,1221,2,0,"(Aug 11 2013 23:57:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A101KWAN3V926J",4,37,45,"Aug 11 2013","23:57:47",14,"Switch",0,"Novel41",1,"Novel41",0,1271,2,0,"(Aug 11 2013 23:57:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A101KWAN3V926J",5,38,46,"Aug 11 2013","23:57:47",16,"Same",1,"Novel128",1,"Novel128",1,931,2,0,"(Aug 11 2013 23:57:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A101KWAN3V926J",6,39,47,"Aug 11 2013","23:57:47",18,"Switch",0,"Novel23",0,"Novel23",1,1200,2,0,"(Aug 11 2013 23:57:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A101KWAN3V926J",7,40,48,"Aug 11 2013","23:57:47",20,"Same",0,"Novel55",0,"Novel55",1,903,2,0,"(Aug 11 2013 23:57:47)",TRUE,TRUE,FALSE,2,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102RC1Y60DUS4",0,41,49,"Aug 11 2013","18:22:51",7,"Same",1,"Novel44",1,"Novel49",0,5408,2,1,"(Aug 11 2013 18:22:51)",FALSE,TRUE,TRUE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102RC1Y60DUS4",1,42,50,"Aug 11 2013","18:22:51",8,"Switch",1,"Novel83",0,"Novel31",1,2306,2,1,"(Aug 11 2013 18:22:51)",FALSE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102RC1Y60DUS4",2,43,51,"Aug 11 2013","18:22:51",11,"Same",1,"Novel20",1,"Novel20",1,2365,2,1,"(Aug 11 2013 18:22:51)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102RC1Y60DUS4",3,44,52,"Aug 11 2013","18:22:51",12,"Switch",0,"Novel130",1,"Novel130",0,4549,2,1,"(Aug 11 2013 18:22:51)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102RC1Y60DUS4",4,45,53,"Aug 11 2013","18:22:51",15,"Same",0,"Novel5",0,"Novel5",1,1682,2,1,"(Aug 11 2013 18:22:51)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102RC1Y60DUS4",5,46,54,"Aug 11 2013","18:22:51",16,"Switch",0,"Novel129",1,"Novel129",0,1732,2,1,"(Aug 11 2013 18:22:51)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102RC1Y60DUS4",6,47,55,"Aug 11 2013","18:22:51",19,"Same",0,"Novel64",1,"Novel82",1,1809,2,1,"(Aug 11 2013 18:22:51)",FALSE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102RC1Y60DUS4",7,48,56,"Aug 11 2013","18:22:51",20,"Switch",1,"Novel7",1,"Novel7",1,2124,2,1,"(Aug 11 2013 18:22:51)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102Z6M3FALPXT",0,49,57,"Aug 11 2013","23:01:20",9,"Same",0,"Novel82",2,"Novel82",1,1804,4,3,"(Aug 11 2013 23:01:20)",TRUE,TRUE,TRUE,4,3,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102Z6M3FALPXT",1,50,58,"Aug 11 2013","23:01:20",10,"Switch",0,"Novel56",1,"Novel77",3,1864,4,3,"(Aug 11 2013 23:01:20)",FALSE,TRUE,FALSE,4,3,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102Z6M3FALPXT",2,51,59,"Aug 11 2013","23:01:20",11,"Same",0,"Novel53",0,"Novel53",2,2412,4,3,"(Aug 11 2013 23:01:20)",TRUE,TRUE,FALSE,4,3,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102Z6M3FALPXT",3,52,60,"Aug 11 2013","23:01:20",12,"Switch",1,"Novel133",2,"Novel99",1,1488,4,3,"(Aug 11 2013 23:01:20)",FALSE,TRUE,FALSE,4,3,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102Z6M3FALPXT",4,53,61,"Aug 11 2013","23:01:20",17,"Same",1,"Novel83",2,"Novel68",1,1034,4,3,"(Aug 11 2013 23:01:20)",FALSE,TRUE,FALSE,4,3,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102Z6M3FALPXT",5,54,62,"Aug 11 2013","23:01:20",18,"Switch",1,"Novel104",1,"Novel123",3,1052,4,3,"(Aug 11 2013 23:01:20)",FALSE,TRUE,FALSE,4,3,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102Z6M3FALPXT",6,55,63,"Aug 11 2013","23:01:20",19,"Same",1,"Novel61",1,"Novel61",1,1422,4,3,"(Aug 11 2013 23:01:20)",TRUE,TRUE,FALSE,4,3,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A102Z6M3FALPXT",7,56,64,"Aug 11 2013","23:01:20",20,"Switch",0,"Novel7",2,"Novel59",2,1770,4,3,"(Aug 11 2013 23:01:20)",FALSE,TRUE,FALSE,4,3,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104336318AW2NFOC4SE3",0,57,65,"Aug 11 2013","16:04:40",7,"Same",0,"Novel121",0,"Novel121",1,1885,2,1,"(Aug 11 2013 16:04:40)",TRUE,TRUE,TRUE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104336318AW2NFOC4SE3",1,58,66,"Aug 11 2013","16:04:40",8,"Switch",1,"Novel130",1,"Novel130",1,3804,2,1,"(Aug 11 2013 16:04:40)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104336318AW2NFOC4SE3",2,59,67,"Aug 11 2013","16:04:40",11,"Same",0,"Novel17",0,"Novel17",1,1552,2,1,"(Aug 11 2013 16:04:40)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104336318AW2NFOC4SE3",3,60,68,"Aug 11 2013","16:04:40",12,"Switch",1,"Novel76",0,"Novel76",0,1159,2,1,"(Aug 11 2013 16:04:40)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104336318AW2NFOC4SE3",4,61,69,"Aug 11 2013","16:04:40",15,"Same",1,"Novel40",0,"Novel40",0,3401,2,1,"(Aug 11 2013 16:04:40)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104336318AW2NFOC4SE3",5,62,70,"Aug 11 2013","16:04:40",16,"Switch",0,"Novel25",0,"Novel25",1,1084,2,1,"(Aug 11 2013 16:04:40)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104336318AW2NFOC4SE3",6,63,71,"Aug 11 2013","16:04:40",19,"Same",1,"Novel67",1,"Novel67",1,3453,2,1,"(Aug 11 2013 16:04:40)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104336318AW2NFOC4SE3",7,64,72,"Aug 11 2013","16:04:40",20,"Switch",0,"Novel69",0,"Novel69",1,1174,2,1,"(Aug 11 2013 16:04:40)",TRUE,TRUE,FALSE,2,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104N820YHGZDI",0,65,73,"Aug 11 2013","18:04:41",7,"Same",0,"Novel73",3,"Novel73",0,2559,4,1,"(Aug 11 2013 18:04:41)",TRUE,TRUE,TRUE,4,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104N820YHGZDI",1,66,74,"Aug 11 2013","18:04:41",8,"Switch",1,"Novel121",0,"Novel101",2,2713,4,1,"(Aug 11 2013 18:04:41)",FALSE,TRUE,FALSE,4,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104N820YHGZDI",2,67,75,"Aug 11 2013","18:04:41",11,"Same",0,"Novel131",2,"Novel131",3,2913,4,1,"(Aug 11 2013 18:04:41)",TRUE,TRUE,FALSE,4,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104N820YHGZDI",3,68,76,"Aug 11 2013","18:04:41",12,"Switch",0,"Novel67",0,"Novel139",3,2787,4,1,"(Aug 11 2013 18:04:41)",FALSE,TRUE,FALSE,4,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104N820YHGZDI",4,69,77,"Aug 11 2013","18:04:41",15,"Same",1,"Novel106",3,"Novel106",3,2376,4,1,"(Aug 11 2013 18:04:41)",TRUE,TRUE,FALSE,4,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104N820YHGZDI",5,70,78,"Aug 11 2013","18:04:41",16,"Switch",1,"Novel20",0,"Novel64",1,2164,4,1,"(Aug 11 2013 18:04:41)",FALSE,TRUE,FALSE,4,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104N820YHGZDI",6,71,79,"Aug 11 2013","18:04:41",19,"Same",1,"Novel37",2,"Novel138",3,3003,4,1,"(Aug 11 2013 18:04:41)",FALSE,TRUE,FALSE,4,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A104N820YHGZDI",7,72,80,"Aug 11 2013","18:04:41",20,"Switch",0,"Novel43",1,"Novel21",3,2942,4,1,"(Aug 11 2013 18:04:41)",FALSE,TRUE,FALSE,4,1,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A10A1AU0JBL6Z3",0,14954,26,"Mar 28 2014","10:03:38",6,"Switch",1,"Novel3",2,"Novel44",1,4148,4,4,"(Mar 28 2014 10:03:38)",FALSE,TRUE,TRUE,4,0,"Social",1,"km","eyescenter",-1,0,0,TRUE,2916
"A10A1AU0JBL6Z3",1,14956,28,"Mar 28 2014","10:03:38",8,"Same",1,"Novel80",2,"Novel80",2,1434,4,4,"(Mar 28 2014 10:03:38)",TRUE,TRUE,FALSE,4,0,"Social",1,"km","eyescenter",-1,0,0,TRUE,3925
"A10A1AU0JBL6Z3",2,14958,30,"Mar 28 2014","10:03:38",10,"Switch",0,"Novel85",2,"Novel109",2,3831,4,4,"(Mar 28 2014 10:03:38)",FALSE,TRUE,FALSE,4,0,"Social",1,"km","eyescenter",-1,0,0,TRUE,1990
